year,age,event,category1,category2,Name
1919,30,"Adolf Hitler was decorated during Adolf Hitler's service in the German Army in World War I. In 1919, Adolf Hitler joined the German Workers' Party (DAP), the precursor of the Nazi Party, and in 1921 was appointed leader of the Nazi Party.",summary,,Adolf Hitler
1939,50,"Adolf Hitler directed large-scale rearmament and, on 1 September 1939, invaded Poland, resulting in Britain and France declaring war on Germany.",summary,,Adolf Hitler
1889,0,"Adolf Hitler was born on 20 April 1889 in Braunau am Inn, a town in Austria-Hungary (present-day Austria), close to the border with the German Empire.",Early years,Childhood and education,Adolf Hitler
1907,18,"On 21 December 1907, his mother died of breast cancer at the age of 47, when Adolf Hitler was 18.",Early years,Early adulthood in Vienna and Munich,Adolf Hitler
1914,25,"When Adolf Hitler was conscripted into the Austro-Hungarian Army, Adolf Hitler journeyed to Salzburg on 5 February 1914 for medical assessment.",Early years,Early adulthood in Vienna and Munich,Adolf Hitler
1924,35,"According to a 1924 report by the Bavarian authorities, allowing Adolf Hitler to serve was most likely an administrative error, because as an Austrian citizen, Adolf Hitler should have been returned to Austria.",Early years,World War I,Adolf Hitler
1916,27,"During the Battle of the Somme in October 1916, Adolf Hitler was wounded in the left thigh when a shell exploded in the Bavarian Reserve Infantry Regiment 16 (1st Company of the List Regiment)'s dugout.",Early years,World War I,Adolf Hitler
1917,28,"Adolf Hitler spent almost two months recovering in hospital at Beelitz, returning to the Bavarian Reserve Infantry Regiment 16 (1st Company of the List Regiment) on 5 March 1917.",Early years,World War I,Adolf Hitler
1918,29,"Adolf Hitler received the Black Wound Badge on 18 May 1918 and in August 1918, on a recommendation by Lieutenant Hugo Gutmann, Adolf Hitler's Jewish superior, Adolf Hitler received the Iron Cross, First Class, a decoration rarely awarded to one of Adolf Hitler's Gefreiter rank.",Early years,World War I,Adolf Hitler
1918,29,"On 15 October 1918, Adolf Hitler was temporarily blinded in a mustard gas attack and was hospitalised in Pasewalk.",Early years,World War I,Adolf Hitler
1918,29,"Adolf Hitler's wartime experience reinforced Adolf Hitler's German patriotism, and Adolf Hitler was shocked by Germany's's capitulation in November 1918.",Early years,World War I,Adolf Hitler
1919,30,"In July 1919, Adolf Hitler was appointed Verbindungsmann (intelligence agent) of an Aufklärungskommando (reconnaissance unit) of the Reichswehr, assigned to influence other soldiers and to infiltrate the German Workers' Party (DAP).",Entry into politics,,Adolf Hitler
1924,35,"Pardoned by the Bavarian Supreme Court, Adolf Hitler was released from jail on 20 December 1924, against the state prosecutor's objections.",Entry into politics,Beer Hall Putsch and Landsberg Prison,Adolf Hitler
1925,36,"In response, Adolf Hitler formally renounced Adolf Hitler's Austrian citizenship on 7 April 1925.",Entry into politics,Beer Hall Putsch and Landsberg Prison,Adolf Hitler
1933,44,"In a meeting with German military leaders on 3 February 1933, Adolf Hitler spoke of ""conquest for Lebensraum in the East and Lebensraum in the East's ruthless Germanisation"" as Adolf Hitler's ultimate foreign policy objectives.",Nazi Germany,Rearmament and new alliances,Adolf Hitler
1938,49,"From early 1938 onwards, Adolf Hitler was carrying out a foreign policy ultimately aimed at war.",Nazi Germany,Rearmament and new alliances,Adolf Hitler
1938,49,"As a result of a one-day conference in Munich that led to the Munich Agreement, which handed over the Sudetenland districts to Germany, Adolf Hitler was selected Time magazine's Man of the Year for 1938.In late 1938 and early 1939, the continuing economic crisis caused by rearmament forced Adolf Hitler to make major defence cuts.",World War II,Early diplomatic successes,Adolf Hitler
1939,50,"In Adolf Hitler's ""Export or die"" speech of 30 January 1939, Adolf Hitler called for an economic offensive to increase German foreign exchange holdings to pay for raw materials such as high-grade iron needed for military weapons.",World War II,Early diplomatic successes,Adolf Hitler
1939,50,"Adolf Hitler unsuccessfully tried to manoeuvre them into neutrality by offering them a non-aggression guarantee on 25 August 1939; Adolf Hitler then instructed Hitler's foreign minister and former Ambassador to London, Joachim von Ribbentrop, to present a last-minute peace plan with an impossibly short time limit in an effort to blame the imminent war on British and Polish inaction.",World War II,Start of World War II,Adolf Hitler
1938,49,"Adolf Hitler strengthened Adolf Hitler's control of the armed forces in 1938, and subsequently made all major decisions regarding his country's's military strategy.",Leadership style,,Adolf Hitler
1941,52,"Adolf Hitler deepened Adolf Hitler's involvement in World War II by appointing Adolf Hitler commander-in-chief of the Army in December 1941; from this point forward, Adolf Hitler personally directed the war against the Soviet Union, while Adolf Hitler's military commanders facing the Western Allies retained a degree of autonomy.",Leadership style,,Adolf Hitler
1929,40,"Adolf Hitler met his lover, Eva Braun, in 1929, and married his lover, Eva Braun, on 29 April 1945, one day before they both committed suicide.",Personal life,Family,Adolf Hitler
1944,55,"Adolf Hitler suffered ruptured eardrums as a result of the 20 July plot bomb blast in 1944, and 200 wood splinters had to be removed from Adolf Hitler's legs.",Personal life,Health,Adolf Hitler
