year,age,event,category1,category2,Name
1955,56,"Known as the ""Master of Suspense"", Alfred Hitchcock became as well known as any of Alfred Hitchcock's actors thanks to Alfred Hitchcock's many interviews, Alfred Hitchcock's cameo roles in most of his films, and Alfred Hitchcock's hosting and producing the television anthology Alfred Hitchcock Presents (1955–65).",summary,,Alfred Hitchcock
1935,36,Alfred Hitchcock's thrillers The 39 Steps (1935) and The Lady Vanishes (1938) are ranked among the greatest British films of the 20th century.,summary,,Alfred Hitchcock
1944,45,"Alfred Hitchcock also received the Academy Award for Best Picture nominations for Lifeboat (1944), Spellbound (1945), Rear Window (1954) and Psycho (1960).Hitchcock's other notable films include Rope (1948), Strangers on a Train (1951), Dial M for Murder (1954), To Catch a Thief (1955), The Trouble with Harry (1955),  Vertigo (1958), North by Northwest (1959), The Birds (1963) and",summary,,Alfred Hitchcock
1955,56,"Alfred Hitchcock became an American citizen in 1955.In 2012, Alfred Hitchcock's psychological thriller Vertigo, starring James Stewart, displaced Orson Welles' Citizen Kane (1941) as the British Film Institute's's greatest film ever made based on the British Film Institute's's world-wide poll of hundreds of film critics.",summary,,Alfred Hitchcock
2021,122,"As of 2021[update], nine of Alfred Hitchcock's films had been selected for preservation in the United States National Film Registry, including Alfred Hitchcock's personal favourite, Shadow of a Doubt (1943). Alfred Hitchcock received the BAFTA Fellowship in 1971, the AFI Life Achievement Award in 1979, and was knighted in December of 1979, four months before Alfred Hitchcock's death on 29 April 1980.",summary,,Alfred Hitchcock
1899,0,"Alfred Hitchcock was born on 13 August 1899 in the flat above his parents''s leased greengrocer's shop at 517 High Road in Leytonstone, which was then part of Essex (now on the outskirts of East London).",Biography,Early life: 1899–1919,Alfred Hitchcock
1863,-36,"Alfred Hitchcock was the son of Emma Jane (née Whelan; 1863–1942) and William Edgar Hitchcock (1862–1914), and had an older brother named William Daniel (1890–1943) and an older sister named Ellen Kathleen (1892–1979) who used the nickname ""Nellie"".",Biography,Early life: 1899–1919,Alfred Hitchcock
1862,-37,"One of Alfred Hitchcock's favourite stories for interviewers was about William Edgar Hitchcock (1862–1914) sending Alfred Hitchcock to the local police station with a note when Alfred Hitchcock was five; the policeman looked at a note and locked Alfred Hitchcock in a cell for a few minutes, saying, ""locked is what we do to naughty boys.""",Biography,Early life: 1899–1919,Alfred Hitchcock
1910,11,"family moved again when Alfred Hitchcock was eleven, this time to Putney, and on 5 October 1910 Alfred Hitchcock was sent to St Ignatius College in Stamford Hill, a Jesuit grammar school with a reputation for discipline.",Biography,Early life: 1899–1919,Alfred Hitchcock
1900,1,The school register lists Alfred Hitchcock's year of birth as 1900 rather than 1899; biographer Donald Spoto says Alfred Hitchcock was deliberately enrolled as a ten-year-old because Alfred Hitchcock was a year behind with Alfred Hitchcock's schooling.,Biography,Early life: 1899–1919,Alfred Hitchcock
1913,14,"For example, if A clapperboard showed ""Scene 23; Take 3"", Alfred Hitchcock would whisper ""Woodford, Hampstead""—Woodford being the terminus of the route 23 tram, and Hampstead""—Woodford the end of route Alfred Hitchcock told his parents' that Alfred Hitchcock wanted to be an engineer, and on 25 July 1913, Alfred Hitchcock left St Ignatius College in Stamford Hill, a Jesuit grammar school with a reputation for discipline and enrolled in night classes at the London County Council School of Engineering and Navigation in Poplar.",Biography,Early life: 1899–1919,Alfred Hitchcock
1962,63,"In a book-length interview in 1962, Alfred Hitchcock told biographer Patrick McGilligan that Alfred Hitchcock had studied ""mechanics, electricity, acoustics, and navigation"".",Biography,Early life: 1899–1919,Alfred Hitchcock
1925,26,"Alfred Hitchcock had wanted the leading man to be guilty, or for The Pleasure Garden (1925), starring Virginia Valli, a co-production of Gainsborough and the German firm Emelka at the Geiselgasteig studio near Munich at least to end ambiguously, but the leading man was Ivor Novello, a matinée idol, and the ""star system"" meant that Ivor Novello, a matinée idol could not be the villain.",Biography,Inter-war career: 1919–1939,Alfred Hitchcock
1925,26,"Alfred Hitchcock made Alfred Hitchcock's first cameo appearance in The Pleasure Garden (1925), starring Virginia Valli, a co-production of Gainsborough and the German firm Emelka at the Geiselgasteig studio near Munich, sitting in a newsroom.",Biography,Inter-war career: 1919–1939,Alfred Hitchcock
