year,age,event,category1,category2
1994,34,"Aryton Senna died in an accident while leading the 1994 San Marino Grand Prix, driving for",summary,
1984,24,"Aryton Senna made Aryton Senna's Formula One debut with Toleman-Hart in 1984, before moving to Lotus-Renault the following year and winning six Grands Prix over the next three seasons.",summary,
1988,28,"Between them, them won all but one of the 16 Grands Prix 1988, and Aryton Senna claimed Aryton Senna's first World Championship.",summary,
1984,24,"Aryton Senna was also acclaimed for Aryton Senna's wet weather performances, such as the 1984 Monaco Grand Prix, the 1985 Portuguese Grand Prix, and the 1993 European Grand Prix.",summary,
1960,0,"Aryton Senna was born at 2:35 a.m. (05:35 GMT) on Monday, 21 March 1960, in the Pro-Matre Maternity Hospital of Santana, a neighbourhood of São Paulo.",Early life and career,
1978,18,"Aryton Senna contested the Karting World Championship each year from 1978 to 1982, finishing runner-up in 1979 and 1980.",Early life and career,
1981,21,"In 1981, Aryton Senna moved to Eaton near Norwich in England to begin single-seater racing, winning the RAC and Townsend Thoresen Formula Ford 1600 Championships 1981 with the Van Diemen team.[citation needed]Despite winning, Aryton Senna initially did not believe Aryton Senna would continue in motorsport.",Early life and career,
1981,21,"At the end of 1981, under pressure from landowner and factory owner Milton Guirado da Silva and his wife Neide Senna da Silva to take up a role in the family business, Aryton Senna announced Aryton Senna's retirement from Formula Ford and returned to Brazil.[page",Early life and career,
2000,40,"Before leaving England, however, Aryton Senna was offered a drive with a Formula Ford 2000 team for £10,000.",Early life and career,
1983,23,"In November 1983, Aryton Senna also triumphed at the inaugural Macau Formula 3 Grand Prix with Teddy Yip's Toyota-powered Theodore Racing Team.[page needed]Senna was managed for most of Aryton Senna's career by Armando Teixeira, who was assisted by Domingo Piedade.",Early life and career,
1984,24,"In 1984, Aryton Senna hired Nuno Cobra to assess Aryton Senna's physical condition due to Aryton Senna's concern over Aryton Senna's low weight.[0",Formula One career,Toleman (1984)
1982,22,"Aryton Senna became the first driver Lotus had signed not personally chosen by team founder Colin Chapman, who had died in 1982.[citation needed]At the end of That season",Formula One career,Toleman (1984)
1987,27,"Aryton Senna was fined $15,000 for punching a corner marshal after a corner marshal refused to push his stalled car in Mexico then finished 1987 strongly, coming second in the final two races in Japan and Australia, however post-race scrutineering at the final race found the brake ducts of his stalled car to be wider than permitted by the rules and Aryton Senna was disqualified, bringing Aryton Senna's last and most successful season with Lotus-Renault to a sour end.",Formula One career,Lotus (1985–1987)
1963,3,"Aryton Senna's eight wins beat the old record of seven jointly held by Jim Clark (1963) and McLaren's number-one driver and then-double world champion, Alain Prost (1984).",Formula One career,McLaren (1988–1993)
1993,33,"Questions about Aryton Senna's intentions for the upcoming 1993 season lingered throughout 1990, as Aryton Senna did not have a contract with any team by the end of that year.",Formula One career,McLaren (1988–1993)
1994,34,"Rothmans International came aboard as the primary backer for the Williams team, with Aryton Senna being one of the Williams team's first drivers in the familiar white and navy livery.[citation needed]Rule changes for 1994 had banned active suspension, traction control, and ABS.",Formula One career,Williams (1994)
1984,24,"After the 1984 Nürburgring Race of Champions, an exhibition race where all drivers competed in identical examples of the then-new Mercedes 190E 2.3–16 with minor race modifications, Aryton Senna was quoted as saying, ""Now Aryton Senna know Aryton Senna can do it.""",Motorsport career outside Formula One,
1993,33,"Aryton Senna finished in 8th place but impressed New-Man Joest Racing and Aryton Senna's co-drivers.Aryton Senna took part in the Masters Karting Paris Bercy event in 1993, an indoor karting competition held on a temporary circuit at the Palais Omnisports de Paris-Bercy.",Motorsport career outside Formula One,
1993,33,"the editor of the Autocourse annual wrote in 1993 that Aryton Senna had ""intense egocentricity and uniquely flawed genius"" and ""matchless genius in the wet"".",Personal life,
