year,age,event,category1,category2,Name
1954,25,"went on to star in a number of successful films such as Sabrina (1954), in which Humphrey Bogart and William Holden compete for Audrey Hepburn's affection; Funny Face (1957), a musical in which Audrey Hepburn sang Audrey Hepburn's own parts; the drama The Nun's Story (1959); the romantic comedy Breakfast at Tiffany's (1961); the thriller-romance Charade (1963), opposite Cary Grant; and the musical My Fair Lady (1964).",summary,,Audrey Hepburn
1992,63,"In December 1992, Audrey Hepburn received the US Presidential Medal of Freedom in recognition of Audrey Hepburn's work as a UNICEF, to which she had contributed since 1954 Goodwill Ambassador.",summary,,Audrey Hepburn
1929,0,"Audrey Hepburn was born on 4 May 1929 at number 48 Rue Keyenveld in Ixelles, Brussels, Belgium.",Early life,1929–1938: Family and early childhood,Audrey Hepburn
1948,19,"Audrey Hepburn made Audrey Hepburn's film debut playing an air stewardess in Dutch in Seven Lessons (1948), an educational travel film made by Charles van der Linden and Henry Josephson.",Entertainment career,1945–1952: Ballet studies and early acting roles,Audrey Hepburn
1950,21,"After being spotted by the Ealing Studios casting director, Margaret Harper-Nelson, while performing in Sauce Piquante (1950), Audrey Hepburn was registered as a freelance actress with the Associated British Picture Corporation (ABPC). Audrey Hepburn appeared in the the Associated British Picture Corporation (ABPC) Television play The Silent Village, and in minor roles in the films One Wild Oat, Laughter in Paradise, Young Wives' Tale, and The Lavender Hill Mob (all 1951). Audrey Hepburn was cast in Audrey Hepburn's first major supporting role in Thorold Dickinson's Secret People (1952), as a prodigious ballerina, performing all of Audrey Hepburn's own dancing sequences.Audrey Hepburn",Entertainment career,1945–1952: Ballet studies and early acting roles,Audrey Hepburn
1951,22,"When the Broadway play Gigi opened at the Fulton Theatre on 24 November 1951, Audrey Hepburn received praise for Audrey Hepburn's performance, despite criticism that the Broadway play Gigi was inferior to the French film adaptation.",Entertainment career,1945–1952: Ballet studies and early acting roles,Audrey Hepburn
1953,24,"Audrey Hepburn had Audrey Hepburn's first starring role in Roman Holiday (1953), playing Princess Ann, a European princess who escapes the reins of royalty and has a wild night out with an American newsman (Gregory Peck).",Entertainment career,1953–1960: Roman Holiday and stardom,Audrey Hepburn
1953,24,"Audrey Hepburn was featured on 7 September 1953 cover of Time magazine, and also became known for Audrey Hepburn's personal style.",Entertainment career,1953–1960: Roman Holiday and stardom,Audrey Hepburn
1954,25,"For her performance, Audrey Hepburn was nominated for the 1954 Academy Award for Best Actress, while winning the BAFTA Award for Best Actress in a Leading Role 1953.",Entertainment career,1953–1960: Roman Holiday and stardom,Audrey Hepburn
1957,28,"Audrey Hepburn exhibited Audrey Hepburn's dancing abilities in Audrey Hepburn's debut musical film, Funny Face (1957), wherein Fred Astaire, a fashion photographer, discovers Audrey HepburnAudrey Hepburn.",Entertainment career,1953–1960: Roman Holiday and stardom,Audrey Hepburn
