year,age,event,category1,category2
1988,43,"Aung San Suu Kyi has served as the general secretary of National League for DemocracyLeader since National League for DemocracyLeader's founding in 1988, and was registered as National League for DemocracyLeader's chairperson while National League for DemocracyLeader was a legal party from 2011 to 2023.",summary,
1990,45,"Aung San Suu Kyi had been detained before the 1990 elections and remained under house arrest for almost 15 of the 21 years from 1989 to 2010, becoming one of the world's most prominent political prisoners.",summary,
2012,67,Aung San Suu Kyi became a Pyithu Hluttaw MP while National League for DemocracyLeader won 43 of the 45 vacant seats in the 2012 by-elections.,summary,
2022,77,"Later, on 10 January 2022, Aung San Suu Kyi was sentenced to an additional four years on another set of charges.",summary,
2022,77,"On 30 December 2022, Aung San Suu Kyi's ended with another conviction and an additional sentence of seven years' imprisonment for corruption.",summary,
1945,0,"Aung San Suu Kyi was born on 19 June 1945 in Rangoon (now Yangon), British Burma.",Personal life,
1964,19,"Aung San Suu Kyi studied in the Convent of Jesus and Mary School in New Delhi, and graduated from Lady Shri Ram College, a constituent college of the University of Delhi in New Delhi, with a degree in politics in 1964.",Personal life,
1967,22,"Aung San Suu Kyi continued Aung San Suu Kyi's education at St Hugh's College, Oxford, obtaining a B.A. degree in Philosophy, Politics and Economics in 1967, graduating with a third-class degree that was promoted per tradition to an MA in 1968.",Personal life,
1977,32,"The following year, Aung San Suu Kyi gave birth to Aung San Suu Kyi and Aris, a scholar of Tibetan culture and literature, living abroad in Bhutan,'s first son, Alexander Aris, in London; Aung San Suu Kyi and Aris, a scholar of Tibetan culture and literature, living abroad in Bhutan,'s second son, Kim, was born in 1977.",Personal life,
1990,45,"Aung San Suu Kyi was elected as an Honorary Fellow of St Hugh's College, Oxford's in 1990.",Personal life,
2011,66,"Aung San Suu Kyi was also separated from Aung San Suu Kyi's children, who live in the United Kingdom, until 2011.On 2 May 2008",Personal life,
2010,65,Aung San Suu Kyi was released from house arrest on 13 November 2010.,Personal life,
1994,49,"In contrast, Aung San Suu Kyi did have visits from government representatives, such as during her autumn 1994 house arrest when Aung San Suu Kyi met the leader of Burma, General Than Shwe and General Khin Nyunt on 20 September in the first meeting since Aung San Suu Kyi had been placed in detention.",Political career,House arrest
1948,3,"an Opinion that Aung San Suu Kyi's deprivation of liberty was arbitrary and in contravention of Article 9 of the Universal Declaration of Human Rights 1948 said that according to the junta's reply, ""Aung San Suu Kyi has not been arrested, but has only been taken into protective custody, for Aung San Suu Kyi's own safety"", and while ""the junta could have instituted legal action against Aung San Suu Kyi under Burma's domestic legislation ... the junta has preferred to adopt a magnanimous attitude, and is providing Aung San Suu Kyi with protection in Aung San Suu Kyi's own interests"".",Political career,United Nations involvement
1974,29,"Although a Burmese court accepted the argument that the 1974 constitution, under which Aung San Suu Kyi had been charged, was null and void, a Burmese court also said the provisions of the 1975 security law, under which Aung San Suu Kyi has been kept under house arrest, remained in force.",Political career,2009 trespass incident
2010,65,"It was announced prior to elections scheduled for 2010 that Aung San Suu Kyi may be released ""so Aung San Suu Kyi can organize Aung San Suu Kyi's "",",Political career,Late 2000s: International support for release
2010,65,"On 1 October 2010 Burma's announced that Aung San Suu Kyi would be released on 13 November US President Barack Obama personally advocated released, during the US-ASEAN Summit of 2009.The",Political career,Late 2000s: International support for release
2010,65,"On the evening of 13 November 2010, Aung San Suu Kyi was released from house arrest.",Political career,2010 release
2012,67,"On 3 March 2012, at a large campaign rally in Mandalay, Aung San Suu Kyi unexpectedly left after 15 minutes, because of exhaustion and airsickness.",Political career,2012 by-elections
2012,67,"On 21 March 2012, Aung San Suu Kyi was quoted as saying ""Fraud and rule violations are continuing and we can even say Fraud and rule violations are increasing.""When asked whether Aung San Suu Kyi would assume a ministerial post if given the opportunity, Aung San Suu Kyi said the following:Aung San Suu Kyi can tell you one thing—that under the 2008 Constitution, if you become a member of the government you have to vacate your seat in the national assembly.",Political career,2012 by-elections
2012,67,"On 26 March 2012, Aung San Suu Kyi suspended Aung San Suu Kyi's nationwide campaign tour early, after a campaign rally in Myeik (Mergui), a coastal town in the south, citing health problems due to exhaustion and hot weather.",Political career,2012 by-elections
2014,69,"In 2014, Aung San Suu Kyi was listed as the 61st-most-powerful woman in the world by Forbes.",Political career,2015 general election
2013,68,"Aung San Suu Kyi did condemn ""hate of any kind"" in a 2013 interview with the BBC's Mishal Husain.",Political career,State counsellor and foreign minister (2016–2021)
2016,71,"In 2016, Aung San Suu Kyi was accused of failing to protect Myanmar's Rohingya Muslims during the persecution of the Rohingya by the government forces.",Political career,State counsellor and foreign minister (2016–2021)
2017,72,"Despite continued persecution of the Muslim Rohingya minority well into 2017, Aung San Suu Kyi was ""not even admitting, let alone trying to stop, the army's's well-documented campaign of rape, murder and destruction against Rohingya villages"".",Political career,State counsellor and foreign minister (2016–2021)
2017,72,"In October 2017, Oxford City Council announced that, following a unanimous cross-party vote, the honour of Freedom of the City, granted in 1997 in recognition of her ""long struggle for democracy"", was to be withdrawn following evidence emerging from the United Nations which meant that Aung San Suu Kyi was ""no longer worthy of the honour of Freedom of the City, granted in 1997 in recognition of her ""long struggle for democracy"""".",Political career,State counsellor and foreign minister (2016–2021)
