year,age,event,category1,category2,Name
1936,41,"In 1936, Babe Ruth was elected into the Baseball Hall of Fame as one of the Baseball Hall of Fame's ""first five"" inaugural members.",summary,,Babe Ruth
1914,19,"In 1914, Babe Ruth was signed to play Minor League baseball for the Baltimore Orioles but was soon sold to the Boston Red Sox.",summary,,Babe Ruth
1934,39,"Babe Ruth's last season with the New York Yankees was 1934; Babe Ruth retired from the game the following year, after a short stint with the Boston Braves.",summary,,Babe Ruth
1895,0,"Babe Ruth was born on February 6, 1895, at 216 Emory Street in the Pigtown section of Baltimore, Maryland.",Early years,,Babe Ruth
1902,7,"Babe Ruth entered St. Mary's Industrial School for Boys, a reformatory and orphanage's on June 13, 1902.",Early years,,Babe Ruth
1913,18,"Babe Ruth had become the best pitcher at St. Mary's Industrial School for Boys, a reformatory and orphanage's, and when Babe Ruth was 18 in 1913, Babe Ruth was allowed to leave the premises to play weekend games on teams that were drawn from the community.",Early years,,Babe Ruth
1914,19,"Babe Ruth was not much noticed by the fans, as Bostonians watched the Red Sox's crosstown rivals, the Braves, begin a legendary comeback that would take the Red Sox's crosstown rivals, the Braves, from last place on the Fourth of July to the 1914 World Series championship.",Professional baseball,Boston Red Sox (1914–1919),Babe Ruth
1914,19,"Bill Carrigan, who was also the Red Sox manager later stated that Babe Ruth was not sent down to Providence to make Babe Ruth a better player, but to help the minor-league Providence Grays, members of the International League win the the International League pennant (league championship).Ruth joined the minor-league Providence Grays, members of the International League on August 18, 1914.",Professional baseball,Boston Red Sox (1914–1919),Babe Ruth
1913,18,"Despite a relatively successful first season, Babe Ruth was not slated to start regularly for the Red Sox, who already had two ""superb"" left-handed pitchers, according to Creamer: the established stars Dutch Leonard, who had broken the record for the lowest earned run average (ERA) in a single season; and Ray Collins, a 20-game winner in both 1913 and 1914.",Professional baseball,Boston Red Sox (1914–1919),Babe Ruth
1915,20,"the Red Sox won the AL pennant, but with the pitching staff healthy, Babe Ruth was not called upon to pitch in the 1915 World Series against the Philadelphia Phillies.",Professional baseball,Boston Red Sox (1914–1919),Babe Ruth
1961,66,"Before allowing the Chicago Cubs to score in Game Four, Babe Ruth pitched 29+2⁄3 consecutive scoreless innings, a record for the World Series that stood for more than 40 years until 1961, broken by Whitey Ford after Babe Ruth's death.",Professional baseball,Boston Red Sox (1914–1919),Babe Ruth
1919,24,"During the 1919 season, Babe Ruth was used as a pitcher in only 17 of Babe Ruth's 130 games and compiled a 9–5 record.",Professional baseball,Boston Red Sox (1914–1919),Babe Ruth
1899,4,"Babe Ruth broke the major league record of 25, set by Buck Freeman in 1899 four days later against the New York Yankees at the Polo Grounds, and hit one more against Washington Senators' to finish with 29.",Professional baseball,Boston Red Sox (1914–1919),Babe Ruth
1920,25,"At the end of April 1920, the Yankees were 4–7, with the Red Sox leading the league with a 10–2 mark. Babe Ruth had done little, having injured Babe Ruth swinging the bat.",Professional baseball,New York Yankees (1920–1934),Babe Ruth
1920,25,"The rest of the league sold 600,000 more tickets, many fans there to see Ruth, who led the league with 54 home runs, 158 runs, and 137 runs batted in (RBIs).In 1920 and afterwards, Babe Ruth was aided in Babe Ruth's power hitting by the fact that A.J. Reach Company—the maker of baseballs used in the major leagues—was using a more efficient machine to wind the yarn found within the baseball.",Professional baseball,New York Yankees (1920–1934),Babe Ruth
