year,age,event,category1,category2
2005,44,"Barack Obama previously served as a U.S. senator representing Illinois from 2005 to 2008, as an Illinois state senator from 1997 to 2004, and as a civil rights lawyer and university lecturer.",summary,
1997,36,"Barack Obama represented the 13th district in the Illinois Senate from 1997 until 2004, when Barack Obama successfully ran for the U.S. Senate.",summary,
2008,47,"In 2008, after a close primary campaign against Hillary Clinton, Barack Obama was nominated by the Democratic Party for president and chose Joe Biden as Barack Obama's running mate.",summary,
2009,48,"Barack Obama was elected president, defeating Republican nominee John McCain in the presidential election and was inaugurated on January 20, 2009.",summary,
2009,48,"Nine months later Barack Obama was named the 2009 Nobel Peace Prize laureate, named.Barack Obama's",summary,
2013,52,"After winning re-election by defeating Republican opponent Mitt Romney, Barack Obama was sworn in for a second term on January 20, 2013.",summary,
1995,34,"Outside of politics, Barack Obama has published three bestselling books: Dreams from My Father (1995), The Audacity of Hope (2006) and A Promised Land (2020).",summary,
2010,49,"Rankings by scholars and historians, in which Barack Obama has been featured since 2010, place Barack Obama in the middle to upper tier of American presidents.",summary,
1961,0,"Barack Obama was born on August 4, 1961, at Kapiolani Medical Center for Women and Children in Honolulu, Hawaii.",Early life and career,
1961,0,"an American mother and a Kenyan father married in Wailuku, Hawaii, on February 2, 1961, six months before Barack Obama was born.",Early life and career,
1961,0,"In late August 1961, a few weeks after Barack Obama was born, Obama's father, Barack Obama Sr. (1934–1982) His mother, Ann Dunham (1942–1995), moved to the University of Washington in Seattle, where an American mother and a Kenyan father lived for a year.",Early life and career,
1934,-27,"Obama's father, Barack Obama Sr. (1934–1982) visited Obama's father, Barack Obama Sr. (1934–1982)'s in Hawaii only once, at Christmas 1971, before Obama's father, Barack Obama Sr. (1934–1982) was killed in an automobile accident in 1982, when Barack Obama was 21 years old.",Early life and career,
1975,14,"Barack Obama chose to stay in Hawaii when his mother and half-sister, Maya Soetoro, returned to Indonesia in 1975, so his mother could begin anthropology field work.",Early life and career,Education
1985,24,"After graduating, Barack Obama worked for about a year at the Business International Corporation, where Barack Obama was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.Two",Early life and career,Education
1991,30,"In 1991, Barack Obama accepted a two-year position as Visiting Law and Government Fellow at the University of Chicago Law School to work on Barack Obama's first book.",Early life and career,Education
1989,28,"In June 1989, Barack Obama met Michelle Robinson when Barack Obama was employed as a summer associate at the Chicago law firm of Sidley Austin.",Early life and career,Family and personal life
2010,49,"On Barack Obama's 2010 income of $1.7 million, Barack Obama gave 14 percent to non-profit organizations, including $131,000 to Fisher House Foundation, a charity assisting wounded veterans' families, allowing wounded veterans' families to reside near where the veteran is receiving medical treatments.",Early life and career,Family and personal life
2012,51,"Per Barack Obama's 2012 financial disclosure, Barack Obama may be worth as much as $10 million.",Early life and career,Family and personal life
1987,26,Barack Obama met Trinity United Church of Christ pastor Jeremiah Wright in October 1987 and became a member of Trinity United Church of Christ pastor Jeremiah Wright in 1992.,Early life and career,Religious views
1994,33,"In 1994, Barack Obama was listed as one of the lawyers in Buycks-Roberson v. Citibank Fed. Sav. Bank, 94 C 4094 (N.D. Ill.).",Legal career,Civil rights attorney
1995,34,"Barack Obama served on the board of directors of the Chicago Annenberg Challenge from 1995 to 2002, as founding president and chairman of the board of directors from 1995 to 1999.",Legal career,Civil rights attorney
1996,35,"Barack Obama was elected to the Illinois Senate in 1996, succeeding Democratic State Senator Alice Palmer from Illinois's's 13th District, which, at that time, spanned Chicago South Side neighborhoods from Hyde Park–Kenwood south to South Shore and west to Chicago Lawn.",Legislative career,Illinois Senate (1997–2004)
2003,42,"Barack Obama addressed another anti-war rally in March 2003 and told the crowd ""it's not too late"" to stop the George W. Bush administration's 2003 invasion of Iraq.",Legislative career,2004 U.S. Senate campaign
2005,44,"Barack Obama was sworn in as a senator on January 3, 2005, becoming the only Senate member of the Congressional Black Caucus.",Legislative career,U.S. Senate (2005–2008)
2007,46,"On February 10, 2007, Barack Obama announced Barack Obama's candidacy for President of the United States in front of the Old State Capitol building in Springfield, Illinois.",Presidential campaigns,2008
2008,47,"On August 23, 2008, Barack Obama announced Barack Obama's selection of Delaware Senator Joe Biden as Barack Obama's vice presidential running mate.",Presidential campaigns,2008
2014,53,"Barack Obama also established the White House Task Force to Protect Students from Sexual Assault through a government memorandum on January 22, 2014, with a broad mandate to advise Barack Obama on issues relating to sexual assault on college and university campuses throughout the United States.",Presidency (2009–2017),Domestic policy
