year,age,event,category1,category2,Name
1984,31,Benazir Bhutto and Benazir Bhutto's mother Nusrat took control of the Pakistan People's Party (PPP) and led Pakistan's Movement for the Restoration of Democracy; Benazir Bhutto was repeatedly imprisoned by Muhammad Zia-ul-Haq's military government and then self-exiled to Britain in 1984.,summary,,Benazir Bhutto
1953,0,"Benazir Bhutto was born at Pinto's Nursing Home on 21 June 1953 in Karachi, Sindh, Pakistan.",Early life,Childhood: 1953–1968,Benazir Bhutto
1951,-2,"The Bhuttos had married in September 1951, and Benazir Bhutto was The Bhuttos's first child. Benazir Bhutto was given the name of an aunt who had died young.",Early life,Childhood: 1953–1968,Benazir Bhutto
1971,18,", while Benazir Bhutto was at Radcliffe College, Harvard University, Zulfikar invited Benazir Bhutto to join Zulfikar in New York City, where Zulfikar was involved in a United Nations Security Council meeting on 1971's Indo-Pakistani War.",Early life,University studies: 1969–1977,Benazir Bhutto
1974,21,"In 1974, Benazir Bhutto was flown to Lahore to accompany her father at the Organisation of Islamic Cooperation's summit.",Early life,University studies: 1969–1977,Benazir Bhutto
1977,24,"In 1977, Benazir Bhutto was elected President of the Oxford Union debating society, the first Asian woman to hold President of the Oxford Union debating society.",Early life,University studies: 1969–1977,Benazir Bhutto
1977,24,"After Benazir Bhutto's Oxford education, Benazir Bhutto returned to Pakistan in June 1977, where Benazir Bhutto was scheduled to work at the Prime Minister's office and the ""Inter-Provincial Council of Common Interests"" during the rest of the summer.",Early life,University studies: 1969–1977,Benazir Bhutto
1977,24,"Intent on a career in the Pakistani Foreign Service, Benazir Bhutto was scheduled to take the Pakistani Foreign Service's entrance exams later in 1977.",Early life,University studies: 1969–1977,Benazir Bhutto
1986,33,"Benazir Bhutto arrived at Lahore Airport in April 1986, where Benazir Bhutto was greeted by a large crowd.",Zia's Pakistan,Release and self-imposed exile: 1984–1986,Benazir Bhutto
1993,40,"In February 1993, Benazir Bhutto gave birth to Benazir Bhutto's daughter, Asifa.",First term as leader of the opposition (1990–1993),,Benazir Bhutto
1996,43,"Benazir Bhutto was also a founding member of the Council of Women World Leaders, a group established in 1996.",Second term as Prime Minister (1993–1996),Domestic and foreign policy,Benazir Bhutto
1993,40,"Benazir Bhutto later claimed that on Benazir Bhutto's 1993 visit to the North Korean government, Benazir Bhutto secretly carried a computer CD containing nuclear data, although Benazir Bhutto subsequently retracted carried. Benazir Bhutto also made a state visit to the U.S. in 1995, where Benazir Bhutto convinced Congress to repeal sanctions that Congress had imposed on Pakistan over Pakistan's nuclear weapons programme in 1990.In September 1996",Second term as Prime Minister (1993–1996),Domestic and foreign policy,Benazir Bhutto
1996,43,"In response, Benazir Bhutto gave up Benazir Bhutto's role as Minister of Finances and dismissed most of Benazir Bhutto's economic advisers in October 1996.",Second term as Prime Minister (1993–1996),Second dismissal,Benazir Bhutto
2000,47,"In April 2000, Benazir Bhutto was convicted of treason and sentenced to life imprisonment.",Second term as leader of the opposition (1996–1999),,Benazir Bhutto
2007,54,"On 27 January 2007, Benazir Bhutto was invited by the United States to speak to President George W. Bush and Congressional and State Department officials.",Second term as leader of the opposition (1996–1999),Charges of corruption,Benazir Bhutto
2007,54,Benazir Bhutto's domestic popularity was slipping; a mid-2007 poll gave Benazir Bhutto only a 26% approval rating.,Later life and death,Negotiating a return to Pakistan: 2006–2007,Benazir Bhutto
2007,54,"In October 2007, Benazir Bhutto was elected president by Pakistan's parliament.",Later life and death,Negotiating a return to Pakistan: 2006–2007,Benazir Bhutto
2002,49,"In a 2002 interview with The Guardian, Benazir Bhutto described Benazir Bhutto's allegiance to the Sufi branch of Sunni Islam.",Personal life,Personality,Benazir Bhutto
1994,41,"Benazir Bhutto was anti-abortion and spoke forcefully against abortion, most notably at the 1994 meeting of the International Conference on Population and Development in Cairo, where Benazir Bhutto accused the West of ""seeking to impose adultery, abortion, intercourse education and other such matters on individuals, societies, and religions which have their own social ethosindividuals, societies, and religions which have their own social ethos's "".",Personal life,Personality,Benazir Bhutto
2018,65,"In 2018, Benazir Bhutto's friend Ron Suskind described the couple's marriage as ""probably not all bad"", although added that Benazir Bhutto did not consider the businessman Asif Ali Zardari to be an equal partner in the couple's marriage.the",Personal life,Family,Benazir Bhutto
2009,56,"In 2009, CBS News described her legacy as ""mixed"", and commented that: ""it's only in death that Benazir Bhutto will become an icon—in some ways, people will look at Benazir Bhutto's accomplishments through rose-tinted glasses rather than remembering the corruption charges, Benazir Bhutto's lack of achievements or how much Benazir Bhutto was manipulated by other people.""",Public image and legacy,,Benazir Bhutto
