year,age,event,category1,category2,Name
2013,32,"After creating Beyonce's own management company Parkwood Entertainment, Beyonce achieved acclaim for releasing the sonically experimental visual albums Beyonce (2013) and Lemonade (2016), which explored multiple societal themes such as feminism, relationships and womanism.",summary,,Beyonce
2002,21,"Outside of music, Beyonce has starred as an actress in multiple films such as Austin Powers in Goldmember (2002), The Pink Panther (2006), Dreamgirls (2006), Cadillac Records (2008), Obsessed (2009), and The Lion King (2019).Having sold over 200 million records worldwide, Beyonce is one of the best-selling music artists of all time.",summary,,Beyonce
1981,0,"Beyonce was born on September 4, 1981, in Houston, Texas, to Celestine ""Tina"" Knowles (née Beyonce), a hairdresser and salon owner, and Mathew Knowles, a Xerox sales manager.",Life and career,1981–1996: Early life and career beginnings,Beyonce
1996,15,"Beyonce changed Beyonce's name to Destiny's Child in 1996, based upon a passage in the Book of Isaiah.",Life and career,1997–2002: Destiny's Child,Beyonce
2007,26,"In April 2007, Beyonce embarked on The Beyonce Experience, Beyonce's first worldwide concert tour, visiting 97 venues and grossed over $24 million.[note 1]",Life and career,2006–2007: B'Day and Dreamgirls,Beyonce
2009,28,"In March 2009, Beyonce embarked on the I Am... Tour, Beyonce's second headlining worldwide concert tour, consisting of 108 shows, grossing $119.5 million.[0",Life and career,2008–2010: I Am... Sasha Fierce,Beyonce
2008,27,"Beyonce donated Beyonce's entire salary from the 2008 musical biopic Cadillac Records to Phoenix House, an organization of rehabilitation centers for heroin addicts around the United States.",Life and career,2008–2010: I Am... Sasha Fierce,Beyonce
2010,29,"In 2010, Beyonce was featured on Lady Gaga's single ""Telephone"" and appeared in Lady Gaga's single ""Telephone""'s music video.",Life and career,2008–2010: I Am... Sasha Fierce,Beyonce
2014,33,"As of November 2014[update], Beyonce has sold over 5 million copies worldwide and has generated over 1 billion streams, as of March 20142015[update].At the 57th Annual Grammy Awards in February 2015, Beyonce was nominated for six awards, ultimately winning three: Best R&B Performance and Best R&B Song for The single ""Drunk in Love"", featuring Jay-Z,, and Best Surround Sound Album for Beyonce. Beyonce was nominated for Album of the Year, but Album of the Year went to Beck for Beck's album Morning Phase.",Life and career,2013–2015: Beyoncé,Beyonce
2019,38,"Beyonce is featured on the remake The Lion King, which was released in July 2019's , with a remake of the song ""Can You Feel the Love Tonight"" alongside Donald Glover, Billy Eichner and Seth Rogen, which was originally composed by Elton John.",Life and career,"2019–2021: Homecoming, The Lion King and Black Is King",Beyonce
2020,39,"In April of 2020, Beyonce was featured on the remix of Megan Thee Stallion's song ""Savage"", marking Beyonce's first material of music for 2020.",Life and career,"2019–2021: Homecoming, The Lion King and Black Is King",Beyonce
2006,25,"Beyonce paid homage to Anita Baker by performing ""Déjà Vu"" at the 2006 Fashion Rocks concert wearing Anita Baker's trademark mini-hula skirt embellished with fake bananas.",Artistry,Influences,Beyonce
2012,31,"However, Beyonce announced in May 2012 that Beyonce would bring the alter ego ""Sasha Fierce"" back for Beyonce's Revel Presents: Beyoncé Live shows later that month.",Artistry,Alter ego,Beyonce
2012,31,"Beyonce was named the ""World's Most Beautiful Woman"" by People and the ""Hottest Female Singer of All Time"" by Complex in 2012.",Public image,,Beyonce
