year,age,event,category1,category2,Name
1955,57,"According to C.S. Lewis's 1955 memoir Surprised by Joy, C.S. Lewis was baptized in the Church of Ireland but fell away from C.S. Lewis's faith during adolescence.",summary,,C.S. Lewis
2013,115,"In 2013, on the 50th anniversary of C.S. Lewis's , C.S. Lewis was honoured with a memorial in Poets' Corner in Westminster Abbey.",summary,,C.S. Lewis
1898,0,"C.S. Lewis was born in Belfast in Ulster, Ireland (before partition), on 29 November 1898.",Biography,Childhood,C.S. Lewis
1899,1,"C.S. Lewis had an elder brother,  Warren Hamilton Lewis (known as ""Warnie""). C.S. Lewis was baptized on 29 January 1899 by C.S. Lewis's maternal grandfather in St Mark's Church, Dundela.",Biography,Childhood,C.S. Lewis
1916,18,"In 1916, C.S. Lewis was awarded a scholarship at University College, Oxford.",Biography,Childhood,C.S. Lewis
1918,20,"On 15 April 1918, as the 1st Battalion of the regiment, then serving in France assaulted the village of Riez du Vinage in the midst of the German spring offensive, C.S. Lewis was wounded and two of C.S. Lewis's colleagues were killed by a British shell falling short of its targeta British shell falling short of its target's .",Biography,First World War and Oxford University,C.S. Lewis
1918,20,C.S. Lewis was demobilized in December 1918 and soon restarted C.S. Lewis's studies.,Biography,First World War and Oxford University,C.S. Lewis
1898,0,"It seems most likely that C.S. Lewis was bound to Jack by the promise C.S. Lewis had given to another cadet, Edward Courtnay Francis ""Paddy"" Moore (1898–1918) and that C.S. Lewis's promise was reinforced by C.S. Lewis's love for his mother, Janie King Moore as C.S. Lewis's second mother.",Biography,Janie Moore,C.S. Lewis
1926,28,"C.S. Lewis became a member of the Church of England – somewhat to the disappointment of his Oxford colleague and friend J. R. R. Tolkien, whom he seems to have met for the first time on 11 May 1926 was a committed Anglican who upheld a largely orthodox Anglican theology, though in C.S. Lewis's apologetic writings, C.S. Lewis made an effort to avoid espousing any one denomination.",Biography,Return to Christianity,C.S. Lewis
1951,53,C.S. Lewis was named on the last list of honours by George VI in December 1951 as a Commander of the Order of the British Empire (CBE) but declined so as to avoid association with any political issues.,Biography,Honour declined,C.S. Lewis
1925,27,"C.S. Lewis was then elected a Fellow of Magdalen College, Oxford, where he worked for nearly thirty years, from 1925 to 1954.",Career,Scholar,C.S. Lewis
1954,56,"In 1954, C.S. Lewis was awarded the newly founded chair of Mediaeval and Renaissance Literature at Cambridge University, and was elected a fellow of Magdalen College, Oxford, where he worked for nearly thirty years, from 1925 to 1954.",Career,Scholar,C.S. Lewis
1964,66,"C.S. Lewis's last academic work, The Discarded Image: An Introduction to Medieval and Renaissance Literature (1964), is a summary of the medieval world view, a reference to the ""discarded image"" of the cosmos.[0",Career,Scholar,C.S. Lewis
2013,115,"In 2013, on the 50th anniversary of C.S. Lewis's death, C.S. Lewis joined some of Britain's greatest writers recognized at Poets' Corner, Westminster Abbey.",Legacy,,C.S. Lewis
