year,age,event,category1,category2,Name
1961,0,"Carl Lewis was born in Birmingham, Alabama, on July 1, 1961, the son of William Lewis (1927–1987) and Evelyn née Lawler Lewis.",Athletic career,Fame as a competitive athlete,Carl Lewis
1979,18,"By the end of 1979, Carl Lewis was ranked fifth in the world for the long jump, according to Track and Field News.",Athletic career,Fame as a competitive athlete,Carl Lewis
1980,19,"Carl Lewis worked with Tom Tellez and adapted Carl Lewis's technique so that Carl Lewis was able to jump without pain, and Carl Lewis went on to win the 1980 National Collegiate Athletic Association (NCAA) title with a wind-assisted jump of 8.35 m (27 ft 4+1⁄2 in).Though Carl Lewis's focus was on the long jump, Carl Lewis was now starting to emerge as a talent in the sprints.",Athletic career,Fame as a competitive athlete,Carl Lewis
1982,21,"In response to a question about Carl Lewis's skipping a 1982 long jump competition at altitude, Carl Lewis said, ""Carl Lewis want the record and Carl Lewis plan to get the record, but not at altitude.",Athletic career,Breakthrough in 1981 and 1982,Carl Lewis
1979,18,Carl Lewis's relatively modest best from 1979 (10.67 s) improved to a world-class 10.21 the next year.,Athletic career,Breakthrough in 1981 and 1982,Carl Lewis
1984,23,"At the 1984 Olympic Games in Los Angeles, Carl Lewis was entered into four events with realistic prospects of winning each of four events and thereby matching the achievement of Jesse Owens at the 1936 Games in Berlin.[0",Athletic career,1984 Summer Olympics: emulating Jesse Owens,Carl Lewis
1984,23,"Coca-Cola had offered a lucrative deal to Carl Lewis before the 1984 Olympic Games, but Carl Lewis and Lewis's agent Joe Douglas turned a lucrative deal down, confident that Carl Lewis would be worth more after the 1984 Olympic Games.",Athletic career,1984 Summer Olympics: emulating Jesse Owens,Carl Lewis
1984,23,"Similarly, Carl Lewis was drafted by the Dallas Cowboys as a wide receiver in the 12th round of the 1984 NFL Draft, even though Carl Lewis did not play football in college.",Athletic career,1984 Summer Olympics: emulating Jesse Owens,Carl Lewis
1984,23,"After the 1984 Olympics, Carl Lewis continued to dominate track and field, especially in the long jump, in which Carl Lewis would remain undefeated for the next seven years, but others started to challenge Carl Lewis's dominance in the 100 m sprint.",Athletic career,Ben Johnson and the 1987 World Championships,Carl Lewis
1984,23,"In response to the accusations, Canadian Ben Johnson, the bronze medalist behind Lewis at the 1984 Olympics replied ""When Carl Lewis was winning everything, Canadian Ben Johnson, the bronze medalist behind Lewis at the 1984 Olympics never said a word against Carl Lewis.",Athletic career,Ben Johnson and the 1987 World Championships,Carl Lewis
1988,27,Carl Lewis was deemed to be the world record holder for Carl Lewis's 1988 Olympic performance and declared the 1987 100 m World Champion.,Athletic career,1988 Summer Olympics,Carl Lewis
1991,30,"Carl Lewis's 1991 outstanding results earned Carl Lewis the ABC's Wide World of Sports Athlete of the Year, an award Carl Lewis shared with gymnastics star Kim Zmeskal.",Athletic career,1991 World Championships: Lewis' greatest performances,Carl Lewis
2016,55,"Carl Lewis became the third Olympian to win the same individual event four times, joining Danish sailor Paul Elvstrøm and American discus thrower Al Oerter; Danish sailor Paul Elvstrøm and American discus thrower Al Oerter would be joined by American swimmer Michael Phelps in 2016.",Athletic career,Final years and retirement,Carl Lewis
1999,38,"In 1999, Carl Lewis was voted ""Sportsman of the Century"" by the International Olympic Committee, elected ""World Athlete of the Century"" by the International Association of Athletics Federations and named ""Olympian of the Century"" by Sports Illustrated.",Achievements and honors,Honors,Carl Lewis
2000,39,"In 2000 Carl Lewis's alma mater University of Houston named the Carl Lewis International Complex after Carl Lewis.In 2010, Carl Lewis was inducted into the New Jersey Hall of Fame.",Achievements and honors,Honors,Carl Lewis
2016,55,"In 2016, Carl Lewis was inducted into the Texas Track and Field Coaches Association Hall of Fame.",Achievements and honors,Honors,Carl Lewis
2018,57,"As of 2018, Carl Lewis serves as an assistant track coach at Carl Lewis's alma mater, the University of Houston.",Career after retiring from athletics,Coaching,Carl Lewis
