year,age,event,category1,category2,Name
1890,0,"Charles de Gaulle was born on 22 November 1890 in Lille in the Nord department, the third of five children.",Early life,Childhood and origins,Charles de Gaulle
1930,40,"At the age of fifteen Charles de Gaulle wrote an essay imagining ""General de Gaulle"" leading the French Army to victory over Germany in 1930; Charles de Gaulle later wrote that in Charles de Gaulle's youth Charles de Gaulle had looked forward with somewhat naive anticipation to the inevitable future war with Germany to avenge the French defeat of 1870.France during Charles de Gaulle's teenage years was a divided society, with many developments which were unwelcome to the de Gaulle family: the growth of socialism and syndicalism, the legal separation of Church and state in 1905, and the reduction in the term of military service to two years.",Early life,Education and intellectual influences,Charles de Gaulle
1909,19,Charles de Gaulle won a place at Saint-Cyr in 1909.,Early career,Officer cadet and lieutenant,Charles de Gaulle
1909,19,"Accordingly, in October 1909, Charles de Gaulle enlisted (for four years, as required, rather than the normal two-year term for conscripts) in the 33rd Infantry Regiment [fr] of the French Army, based at Arras.",Early career,Officer cadet and lieutenant,Charles de Gaulle
1910,20,In April 1910 Charles de Gaulle was promoted to corporal.,Early career,Officer cadet and lieutenant,Charles de Gaulle
1910,20,"Charles de Gaulle's company commander declined to promote Charles de Gaulle to sergeant, the usual rank for a potential officer, commenting that Charles de Gaulle clearly felt that nothing less than Constable of France would be good enough for Charles de Gaulle. Charles de Gaulle was eventually promoted to sergeant in September 1910.De",Early career,Officer cadet and lieutenant,Charles de Gaulle
1922,32,Charles de Gaulle studied at the École de Guerre (staff college) from November 1922 to October 1924.,Early career,Between the wars,Charles de Gaulle
1926,36,"There was at least one stormy meeting late in 1926 after which Charles de Gaulle was seen to emerge, white with anger, from his instructor Colonel Moyrand's office.",Early career,Between the wars,Charles de Gaulle
1927,37,"After spending twelve years as a captain, a normal period, Charles de Gaulle was promoted to commandant (major) on 25 September 1927.",Early career,Between the wars,Charles de Gaulle
1926,36,Charles de Gaulle wanted a teaching post at the École de Guerre (staff college) in 1926.,Early career,Between the wars,Charles de Gaulle
1931,41,"Charles de Gaulle was posted to SGDN in November 1931, initially as a ""drafting officer"".",Early career,Between the wars,Charles de Gaulle
1940,50,"Charles de Gaulle's service at SGDN gave Charles de Gaulle six years' experience of the interface between army planning and government, enabling Charles de Gaulle to take on ministerial responsibilities in 1940.:",Early career,Between the wars,Charles de Gaulle
1934,44,"There is no evidence that Charles de Gaulle was tempted by fascism, and there is little evidence of Charles de Gaulle's views either on domestic upheavals in 1934 and 1936 or the many foreign policy crises of 1934 and 1936.",Early career,Between the wars,Charles de Gaulle
1936,46,"Charles de Gaulle approved of the rearmament drive which the Popular Front government began in 1936, although French military doctrine remained that tanks should be used in penny packets for infantry support (ironically, in 1940 it would be German panzer units that would be used in a manner similar to what Charles de Gaulle had advocated).",Early career,Between the wars,Charles de Gaulle
1937,47,"Charles de Gaulle was put in command of the 507th Tank Regiment (consisting of a battalion of medium Char D2s and a battalion of R35 light tanks) at Metz on 13 July 1937, and Charles de Gaulle's promotion to full colonel took effect on 24 December 1937.",Early career,Between the wars,Charles de Gaulle
1940,50,"In late-February 1940, Reynaud told Charles de Gaulle that Charles de Gaulle had been earmarked for command of an armoured division as soon as one became available.",World War II,Early war,Charles de Gaulle
1940,50,"15 May 1940, with three tank battalions assembled, less than a third of Charles de Gaulle's paper strength, Charles de Gaulle was summoned to headquarters and told to attack to gain time for General Robert Touchon's's Sixth Army to redeploy from the Maginot Line to the Aisne.",World War II,Battle of France,Charles de Gaulle
1946,56,"Although Charles de Gaulle had moved quickly to consolidate French control of French Indochina (now Vietnam, Laos, and Cambodia), colonised by France during the mid-19th century, during Charles de Gaulle's brief first tenure as president in the 1940s, the communist Vietminh under Ho Chi Minh began a determined campaign for independence from 1946 onwards.",1946–1958: Out of power,,Charles de Gaulle
1959,69,"On 21 December, Charles de Gaulle was elected President of France; Charles de Gaulle was inaugurated in January 1959.",1958–1962: Founding of the Fifth Republic,,Charles de Gaulle
1960,70,"Charles de Gaulle hosted a superpower summit on 17 May 1960 for arms limitation talks and détente efforts in the wake of the 1960 U-2 incident between United States President Dwight Eisenhower, Soviet Premier Nikita Khrushchev, and United Kingdom Prime Minister Harold Macmillan.",1962–1968: Politics of grandeur,Foreign policy,Charles de Gaulle
1967,77,"Charles de Gaulle vetoed Britain's's entry into the European Economic Community (EEC) a second time, in June 1967.In January 1964",1962–1968: Politics of grandeur,Foreign policy,Charles de Gaulle
