year,age,event,category1,category2
1954,0,"Condoleezza Rice (/ˌkɒndəˈliːzə/ KON-də-LEE-zə; born November 14, 1954) is an American diplomat and political scientist who is the current director of the Hoover Institution at Stanford University.",summary,
2008,54,"Until the election of Barack Obama as president in 2008, Condoleezza Rice and her predecessor, Colin Powell, were the highest-ranking African Americans in the history of the federal executive branch (by virtue of the secretary of state standing fourth in the presidential line of succession).",summary,
1989,35,Condoleezza Rice worked at the State Department under the Carter administration and served on the National Security Council as the Soviet and Eastern Europe affairs advisor to President George H. W. Bush during the dissolution of the Soviet Union and German reunification from 1989 to 1991.,summary,
1971,17,"Condoleezza Rice attended St. Mary's Academy, an all-girls Catholic high school in Cherry Hills Village, Colorado, and graduated at age 16 in 1971.",Early life,Education
1974,20,"In 1974, at age 19, Condoleezza Rice was inducted into the Phi Beta Kappa Society, and was awarded a B.A., cum laude, in political science by Denver, Colorado.",Early life,Education
1975,21,Condoleezza Rice obtained a master's degree in political science from the University of Notre Dame in 1975.,Early life,Education
1981,27,"In 1981, at age 26, Condoleezza Rice received Condoleezza Rice's Ph.D. in political science from the Josef Korbel School of International Studies at Denver, Colorado.",Early life,Education
1981,27,"Condoleezza Rice was hired by Stanford University as an assistant professor of political science (1981–1987). Condoleezza Rice was promoted to associate professor in 1987, a post Condoleezza Rice held until 1993.",Academic career,
1982,28,"Condoleezza Rice was taken under the wing of George Shultz (Ronald Reagan's secretary of state from 1982 to 1989), who was a fellow at the Hoover Institution.",Academic career,
1991,37,"During this period, Condoleezza Rice was also appointed to the boards of Transamerica Corporation (1991) and Hewlett-Packard (1993).",Academic career,
2008,54,"During a farewell interview in early December 2008, Condoleezza Rice indicated Condoleezza Rice would return to Stanford and the Hoover Institution, ""back west of the Mississippi where Condoleezza Rice belong,"" but beyond writing and teaching did not specify what Condoleezza Rice's role would be. Condoleezza Rice's plans for a return to campus were elaborated in an interview with the Stanford Report in January 2009. Condoleezza Rice returned to Stanford as a political science professor and senior fellow at the Hoover Institution on March 1, 2009. Condoleezza Rice is currently the Denning Professor in Global Business and the Economy at the Stanford Graduate School of Business; the Thomas and Barbara Stephenson Senior Fellow on Public Policy at the Hoover Institution; and a professor of political science at Stanford.",Academic career,Return to Stanford
1986,32,"In 1986, Condoleezza Rice was appointed special assistant to the director of the Joint Chiefs of Staff to work on nuclear strategic planning as part of a Council on Foreign Relations fellowship.",Role in nuclear strategy,
2009,55,"After Condoleezza Rice's tenure as secretary of state, Condoleezza Rice was approached in February 2009 to fill an open position as a Pac-10 Commissioner, but chose instead to return to Stanford University as a political science professor and the Thomas and Barbara Stephenson Senior Fellow on Public Policy at Stanford University.",Private sector,
2022,68,"On July 11, 2022, the Denver Broncos announced that Condoleezza Rice had joined the Walton-Penner ownership group (consisting of S. Robson Walton, Greg Penner, Carrie Walton Penner, Mellody Hobson, and Sir Lewis Hamilton), which recently agreed to buy the Denver Broncos for $4.65 billion.",Private sector,
2000,46,"The group of advisors she led called The group of advisors she led the Vulcans in honor of the monumental Vulcan statue, which sits on a hill overlooking Condoleezza Rice's hometown of Birmingham, Alabama. Condoleezza Rice would later go on to give a noteworthy speech at the 2000 Republican National Convention.",Early political career,
2000,46,"On December 16, 2000, Condoleezza Rice was named as National Security Advisor, upon which Condoleezza Rice stepped down from Condoleezza Rice's position at Stanford.",National Security Advisor (2001–2005),
2003,49,"On January 18, 2003, The Washington Post reported that Condoleezza Rice was involved in crafting Bush's position on race-based preferences.",National Security Advisor (2001–2005),
2001,47,"During the summer of 2001, Condoleezza Rice met with CIA director George Tenet to discuss the possibilities and prevention of terrorist attacks on American targets.",National Security Advisor (2001–2005),Terrorism
2001,47,"On September 11, 2001, Condoleezza Rice was scheduled to outline a new national security policy that included missile defense as a cornerstone and played down the threat of stateless terrorism.",National Security Advisor (2001–2005),Terrorism
2003,49,"In 2003, Condoleezza Rice received the U.S. Senator John Heinz Award for Greatest Public Service by an Elected or Appointed Official, an award given out annually by Jefferson Awards.",National Security Advisor (2001–2005),Terrorism
2010,56,"In August 2010, Condoleezza Rice received the U.S. Air Force Academy's 2009 Thomas D. White National Defense Award for contributions to the defense and security of US.",National Security Advisor (2001–2005),Terrorism
