year,age,event,category1,category2,Name
2016,41,"David Beckham held the England appearance record for an outfield player until 2016.A global ambassador of football, David Beckham is considered to be a British cultural icon.",summary,,David Beckham
2008,33,"David Beckham was inducted into the English Football Hall of Fame in 2008, and the Premier League Hall of Fame in 2021.",summary,,David Beckham
1975,0,"David Beckham was born on 2 May 1975 at Whipps Cross University Hospital in Leytonstone, London, England.",Early life,,David Beckham
1949,-26,"David Beckham is the son of Sandra Georgina (née West; b. 1949), a hairdresser, and David Edward Alan ""Ted"" Beckham (b. Edmonton, London, 1948), a kitchen fitter; the couple married in 1969 in the London Borough of Hackney.",Early life,,David Beckham
1986,11,David Beckham was a their team mascot for a match against West Ham United in 1986.,Early life,,David Beckham
1990,15,"During a two-year period in which David Beckham played for Brimsdown Rovers' youth team, David Beckham was named Under-15 Player of the Year in 1990.",Early life,,David Beckham
1992,17,David Beckham scored Manchester United's second goal in the 30th minute of Manchester United's 3–1 first-leg win of the final against Crystal Palace on 14 April 1992.,Club career,Manchester United,David Beckham
1994,19,"On 7 December 1994, David Beckham made David Beckham's UEFA Champions League debut, scoring a goal in a 4–0 victory at home to Galatasaray in the final game of the group stage.",Club career,Manchester United,David Beckham
1994,19,"At the beginning of the 1994–95 season, David Beckham was given the number 10 shirt that had most recently been worn by Mark Hughes.",Club career,Manchester United,David Beckham
1996,21,"On 17 August 1996 (the first day of the Premier League season), David Beckham became something of a household name when David Beckham scored a spectacular goal in a match against Wimbledon.",Club career,Manchester United,David Beckham
1994,19,"Despite David Beckham's achievements in the 1994–95 season, David Beckham was still unpopular among some opposition fans and journalists, and David Beckham was criticised after being sent off for a deliberate foul in Manchester United's World Club Championship match against Necaxa.",Club career,Manchester United,David Beckham
1999,24,"David Beckham helped Manchester United retain the Premier League title in the 1999–2000 season by an 18-point margin, after being pushed by Arsenal and Leeds United for much of the season.",Club career,Manchester United,David Beckham
2000,25,"In 2000, David Beckham was given permission to miss training to look after his son Brooklyn, who had gastroenteritis, but Alex Ferguson's was furious when Victoria Beckham was photographed at a London Fashion Week event on the same night, claiming that David Beckham would have been able to train if Victoria Beckham had looked after his son Brooklyn, who had gastroenteritis that day.",Club career,Manchester United,David Beckham
2002,27,"David Beckham scored nine Premier League goals, and had the most assists in Premier League with 12.On 10 April 2002",Club career,Manchester United,David Beckham
2003,28,"The way David Beckham runs for everything, the way David Beckham tries David Beckham's best. David Beckham has everyone's respect.""—Ronaldo speaking about David Beckham in October 2003.In late-August 2003",Club career,Real Madrid,David Beckham
2003,28,"In July 2003, while David Beckham was in pre-season training in Spain, an intruder scaled a wall at the Beckham home while carrying a can of petrol.",Club career,Real Madrid,David Beckham
2005,30,"On 3 December 2005, David Beckham was sent off for the third time that season in a league match against Getafe.",Club career,Real Madrid,David Beckham
1996,21,"an empty-net goal marked the second time in David Beckham's career that David Beckham had scored from David Beckham's own half, the other being a 1996-goal from the half-way line against Wimbledon at Selhurst Park.",Club career,LA Galaxy,David Beckham
2008,33,"In 2008, David Beckham's success in the England national team under Fabio Capello led to speculation that David Beckham might return to Europe to retain match fitness for the World Cup qualifying matches in 2009.",Club career,LA Galaxy,David Beckham
2010,35,"rumours were confirmed on 4 February, when David Beckham stated that David Beckham was seeking a permanent transfer to AC Milan, in a bid to sustain David Beckham's the States career through the 2010 World Cup.",Club career,LA Galaxy,David Beckham
