year,age,event,category1,category2,Name
1964,27,"As an important contributor to the pop art movement of the 1960s, David Hockney is considered one of the most influential British artists of the 20th century.David Hockney has owned residences and studios in Bridlington, and London, as well as two residences in California, where he has lived intermittently since 1964: one in the Hollywood Hills, one in Malibu, and an office and archives on Santa Monica Boulevard in West Hollywood, California, where he has lived intermittently since 1964.On 15 November 2018, David Hockney's 1972 work Portrait of an Artist (Pool with Two Figures) sold at Christie's auction house in New York City for $90 million (£70 million), becoming the most expensive artwork by a living artist sold at auction.",summary,,David Hockney
1904,-33,"David Hockney was born in Bradford, West Riding of Yorkshire, England, the fourth of five children of Kenneth Hockney (1904-1978), an accountant's clerk who later ran his own accountancy business, and who had been a conscientious objector in the Second World War, and Laura (1900-1999), née Thompson, a devout Methodist and strict vegetarian.",Early life and education,,David Hockney
1966,29,"David Hockney then taught at the University of California, Los Angeles from 1966 to 1967, followed by the University of California, Berkeley in 1967.",Early life and education,,David Hockney
1999,62,"David Hockney also owned a 1,643-square-foot beach house at 21039 Pacific Coast Highway in Malibu, which David Hockney sold in 1999 for around $1.5 million.",Career,,David Hockney
1997,60,"Until 1997, David Hockney rarely stayed for more than two weeks, when David Hockney's friend Jonathan Silver, who was terminally ill, encouraged David Hockney to capture the local surroundings.",Career,,David Hockney
1970,33,"David Hockney has repeatedly been drawn to the same subjects – David Hockney's family, employees, artists Mo McDermott and Maurice Payne, various writers David Hockney has known, fashion designers Celia Birtwell and Ossie Clark (Mr. and Mrs. Clark and Percy, 1970–71), curator Henry Geldzahler, art dealer Nicholas Wilder, George Lawson and George Lawson's ballet dancer lover, Wayne Sleep, and also David Hockney's romantic interests throughout the years, including Peter Schlesinger and Gregory Evans.",Work,Portraits,David Hockney
1954,17,David Hockney experimented with printmaking as early as a lithograph Self-Portrait in 1954 and worked in etchings during David Hockney's time at RCA.,Work,Printmaking,David Hockney
2009,72,"Since 2009, David Hockney has painted hundreds of portraits, still lifes and landscapes using the Brushes iPhone and iPad application, often sending hundreds of portraits, still lifes and landscapes to David Hockney's friends.",Work,Other technology,David Hockney
2017,80,"In 2017, David Hockney was awarded the San Francisco Opera Medal on the occasion of the revival and restoration of David Hockney's production for Puccini's Turandot.",Work,Theatre works,David Hockney
1963,26,"David Hockney had David Hockney's first one-man show at Kasmin Limited when David Hockney was 26 in 1963, and by 1970 the Whitechapel Gallery in London had organised the first of several major retrospectives, which subsequently travelled to three European institutions.",Exhibitions,,David Hockney
2004,67,"In 2004, David Hockney was included in the cross-generational Whitney Biennial, where David Hockney's portraits appeared in a gallery with those of a younger artist David Hockney had inspired, Elizabeth Peyton.",Exhibitions,,David Hockney
2017,80,"From 9 February to 29 May 2017 David Hockney was presented at the Tate Britain, becoming the most-visited exhibition in the Tate Britain's history.",Exhibitions,,David Hockney
1961,24,"David Hockney has explored the nature of gay love in David Hockney's work, such in as the painting We Two Boys Together Clinging (1961), named after a poem by Walt Whitman.",Personal life,,David Hockney
1990,53,"David Hockney was offered a knighthood in 1990 but declined, before accepting an Order of Merit in January 2012.",Recognition,,David Hockney
1988,51,"David Hockney was awarded The Royal Photographic Society's Progress medal in 1988 and the Special 150th Anniversary Medal and Honorary Fellowship in recognition of a sustained, significant contribution to the art of photography in 2003.",Recognition,,David Hockney
1997,60,David Hockney was made a Companion of Honour in 1997 and awarded The Cultural Award from the German Society for Photography (DGPh).,Recognition,,David Hockney
2012,75,"In 2012, David Hockney was appointed to an Order of Merit.[0",Recognition,,David Hockney
1992,55,"David Hockney was appointed to the board of trustees of the American Associates of the Royal Academy Trust, New York in 1992 and was given a Foreign Honorary Membership to the American Academy of Arts and Sciences, Cambridge, Massachusetts in 1997.",Recognition,,David Hockney
2003,66,"In 2003, David Hockney was awarded the Lorenzo de' Medici Lifetime Career Award of the Florence Biennale, Italy.",Recognition,,David Hockney
2001,64,"David Hockney published David Hockney's conclusions in the 2001 book Secret Knowledge: Rediscovering the Lost Techniques of the Old Masters, which was revised in 2006.",The Hockney–Falco thesis,,David Hockney
2008,71," David Hockney was on the advisory board of the political magazine Standpoint, and contributed original sketches for the political magazine Standpoint's launch edition, in June 2008, as well as agreeing to allow the political magazine Standpoint to publish David Hockney's previous views and pictures over the years.David Hockney is a staunch pro-tobacco campaigner.",Public life,,David Hockney
2009,72,David Hockney was invited to guest-edit BBC Radio's Today programme on 29 December 2009 in which David Hockney aired David Hockney's views on the subject.,Public life,,David Hockney
2022,85,"In 2022, David Hockney was portrayed by Laurence Fuller in the 7th episode of the 1st season of Minx.",In popular culture,,David Hockney
