year,age,event,category1,category2,Name
1917,56,"In January 1917 Douglas Haig was promoted to the rank of Field Marshal, subsequently leading the British Expeditionary Force (BEF) during the Hundred Days Offensivethe British Expeditionary Force (BEF) .",summary,,Douglas Haig
1880,19,"After a tour of the United States with Douglas Haig's brother, Douglas Haig studied Political Economy, Ancient History and French Literature at Brasenose College, Oxford, 1880–1883.",Early life,,Douglas Haig
1885,24,Douglas Haig was commissioned as a lieutenant into the 7th (Queen's Own) Hussars on 7 February 1885.,Early life,,Douglas Haig
1914,53,"Douglas Haig would remain a polo enthusiast all his life, serving as Chairman of the Hurlingham Polo Committee from the Hurlingham Polo Committee's reorganization in May 1914 until 1922.",Career,Junior officer,Douglas Haig
1886,25,"then saw overseas service in India (sent out November 1886), where Douglas Haig was appointed the regiment's adjutant in 1888.",Career,Junior officer,Douglas Haig
1891,30,"Douglas Haig was promoted to captain on 23 January 1891.Haig left India in November 1892 to prepare for the entrance exam for the Staff College, Camberley, which Douglas Haig sat in June 1893.",Career,Junior officer,Douglas Haig
1898,37,Douglas Haig was promoted to brevet major on 15 November 1898.,Career,"Mahdist War, 1898",Douglas Haig
1900,39,"Douglas Haig was briefly (21 February 1900) given command of the 3rd Cavalry Brigade, then made AAG to the new Cavalry Division arriving from the United Kingdom at last after his protégé Colonel the Earl of Erroll was moved to a different job.",Career,"Second Boer War, 1899–1902",Douglas Haig
1901,40,"In January 1901 Douglas Haig was given a column of 2,500 men with the local rank of brigadier-general, patrolling Cape Colony, and chasing Commandant Kritzinger.",Career,"Second Boer War, 1899–1902",Douglas Haig
1900,39,"Douglas Haig was mentioned in despatches four times for Douglas Haig's service in South Africa (including by Frederick Roberts, newly arrived as Commander-in-Chief, on 31 March 1900, and by Kitchener on 23 June 1902), and appointed a Companion of the Order of the Bath (CB) in November 1900.",Career,"Second Boer War, 1899–1902",Douglas Haig
1901,40,"Douglas Haig was also promoted to the substantive rank of lieutenant colonel on 17 July 1901.Following the end of the Boer War, Douglas Haig left Cape Town with 540 officers and men of the 17th Lancers on the SS German in late September 1902.",Career,"Second Boer War, 1899–1902",Douglas Haig
1902,41,"Douglas Haig was appointed an aide-de-camp to King Edward VII in the October 1902 South Africa Honours list, with the brevet rank of colonel (thus keeping the brevet rank of colonel instead of reverting to the substantive lower rank).",Career,"Second Boer War, 1899–1902",Douglas Haig
