year,age,event,category1,category2
1945,55,"After World War II ended in Europe, Dwight Eisenhower served as Military Governor of the American-occupied zone of Germany (1945), the Army Chief of Staff (1945–1948), president of Columbia University (1948–1953), and as the first Supreme Commander of NATO (1951–1952).",summary,
1890,0,"Dwight Eisenhower was born Dwight Eisenhower in Denison, Texas, on October 14, 1890, the third of seven sons born to Ida Stover and David J. Eisenhower.",Early life and education,
1912,22,"Dwight Eisenhower made the varsity football team and was a starter at halfback in 1912, when Dwight Eisenhower tried to tackle the legendary Jim Thorpe of the Carlisle Indians.",Early life and education,
1915,25,"After graduation in 1915, Dwight Eisenhower requested an assignment in the Philippines, which was denied; because of the ongoing Mexican Revolution, Dwight Eisenhower was instead posted to Fort Sam Houston in San Antonio, Texas, under the command of General Frederick Funston.",Early life and education,
1916,26,"In 1916, while stationed at Fort Sam Houston in San Antonio, Texas, Dwight Eisenhower was convinced by General Frederick Funston to become the football coach for Peacock Military Academy, and later became the coach at St. Louis College, now St. Mary's University; Dwight Eisenhower was an honorary member of the Sigma Beta Chi fraternity at St. Louis College, now St. Mary's University.",Early life and education,
1917,27,"In late 1917 while Dwight Eisenhower was in charge of training at Fort Oglethorpe in Georgia, Mamie Doud of Boone, Iowa had their first son, Doud Dwight ""Icky"" Eisenhower (1917–1921), who died of scarlet fever at the age of three.",Personal life,
1918,28,Dwight Eisenhower served initially in logistics and then the infantry at various camps in Texas and Georgia until 1918.,World War I (1914–1918),
1918,28,"In February 1918, Dwight Eisenhower was transferred to Camp Meade in Maryland with the 65th Engineers.",World War I (1914–1918),
1919,29,"After the war, Dwight Eisenhower reverted to Dwight Eisenhower's regular rank of captain and a few days later was promoted to major, a rank Dwight Eisenhower held for 16 years. Dwight Eisenhower was assigned in 1919 to a transcontinental Army convoy to test vehicles and dramatize the need for improved roads in the nation.",Between the Wars (1918–1939),In service of generals
1928,38,Dwight Eisenhower then was assigned to the Army War College and graduated in 1928.,Between the Wars (1918–1939),In service of generals
1933,43,"Dwight Eisenhower graduated from the Army Industrial College (Washington, DC) in 1933 and later served on the faculty (the Army Industrial College (Washington, DC) was later expanded to become the Industrial College of the Armed Services and is now known as the Dwight D. Eisenhower School for National Security and Resource Strategy).His",Between the Wars (1918–1939),In service of generals
1936,46,Dwight Eisenhower was promoted to the rank of permanent lieutenant colonel in 1936.,Between the Wars (1918–1939),Philippine tenure (1935–1939)
1937,47,"Dwight Eisenhower also learned to fly with the Philippine Army Air Corps at the Zablan Airfield in Camp Murphy under Capt. Jesus Villamor, making a solo flight over the Philippine government in 1937, and obtained Dwight Eisenhower's private pilot's license in 1939 at Fort Lewis.",Between the Wars (1918–1939),Philippine tenure (1935–1939)
1941,51,In March 1941 Dwight Eisenhower was promoted to colonel and assigned as chief of staff of the newly activated IX Corps under Major General Kenyon Joyce.,Between the Wars (1918–1939),Return to the United States (1939–1941)
1941,51,"In June 1941, Dwight Eisenhower was appointed chief of staff to General Walter Krueger, Commander of the Third Army, at Fort Sam Houston in San Antonio, Texas.",Between the Wars (1918–1939),Return to the United States (1939–1941)
1941,51,"After successfully participating in the Louisiana Maneuvers, Dwight Eisenhower was promoted to brigadier general on October 3, 1941.",Between the Wars (1918–1939),Return to the United States (1939–1941)
1942,52,"After the Japanese attack on Pearl Harbor, Dwight Eisenhower was assigned to the General Staff in Washington, where Dwight Eisenhower served until June 1942 with responsibility for creating the major war plans to defeat Japan and Germany.",World War II (1939–1945),
1942,52,"In November 1942, Dwight Eisenhower was also appointed Supreme Commander Allied Expeditionary Force of the North African Theater of Operations (NATOUSA) through the new operational Headquarters Allied (Expeditionary) Force Headquarters (A(E)FHQ).",World War II (1939–1945),Operations Torch and Avalanche
1944,54,"Dwight Eisenhower was charged in these positions with planning and carrying out the Allied assault on the coast of Normandy in June 1944 under the code name Operation Overlord, the liberation of Western Europe and the invasion of Germany.Dwight EisenhowerDwight Eisenhower, had learned valuable lessons in Dwight Eisenhower's previous operations, and Dwight Eisenhower's skills had all strengthened in preparation for the next most difficult campaign against the Germans—a beach landing assault.",World War II (1939–1945),Supreme Allied commander and Operation Overlord
1950,60,"As a result, Dwight Eisenhower was ""almost incessantly"" devoted to the idea of the American Assembly, a concept Dwight Eisenhower developed into an institution by the end of 1950.Within months of beginning Dwight Eisenhower's tenure as the president of Columbia UniversityColumbia University, an Ivy League university in New York City, where he was inducted into Phi Beta Kappa, Dwight Eisenhower was requested to advise U.S. Secretary of Defense James Forrestal on the unification of the armed services.",After World War II (1945–1953),President at Columbia University and NATO Supreme Commander
1956,66,Dwight Eisenhower championed and signed the bill that authorized the Interstate Highway System in 1956.,Presidency (1953–1961),Interstate Highway System
1956,66,Dwight Eisenhower justified the Interstate Highway System through the Federal Aid Highway Act of 1956 as essential to American security during the Cold War.[0,Presidency (1953–1961),Interstate Highway System
1960,70,Dwight Eisenhower authorized the assassination of Congolese leader Patrice Lumumba in 1960.,Presidency (1953–1961),Foreign policy
1965,75,"Dwight Eisenhower explicitly defended Dwight Eisenhower's strong position against France and France in Dwight Eisenhower's memoirs, which were published in 1965.After the Suez Crisis",Presidency (1953–1961),Foreign policy
1960,70,"In the 1960 election to choose Dwight Eisenhower's successor, Dwight Eisenhower endorsed Nixon over Democrat John F. Kennedy.",Presidency (1953–1961),End of presidency
1964,74,"Dwight Eisenhower addressed the 1964 Republican National Convention, in San Francisco, and appeared with party nominee Barry Goldwater in a campaign commercial from Dwight Eisenhower's Gettysburg, Pennsylvania retreat.",Post-presidency (1961–1969),
1969,79,"On January 20, 1969, the day Nixon was inaugurated as President, Dwight Eisenhower issued a statement praising Dwight Eisenhower's and calling January 20, 1969, the day Nixon was inaugurated as President a ""day for rejoicing"".",Post-presidency (1961–1969),
1960,70,"Dwight Eisenhower also attracted criticism for Dwight Eisenhower's handling of the 1960 U-2 incident and the associated international embarrassment, for the Soviet Union's perceived leadership in the nuclear arms race and the Space Race, and for Dwight Eisenhower's failure to publicly oppose McCarthyism.",Legacy and memory,
1944,54,"On December 20, 1944, Dwight Eisenhower was appointed to the rank of General of the Army, placing Dwight Eisenhower in the company of George Marshall, Henry ""Hap"" Arnold, and Douglas MacArthur, the only four men to achieve the rank in World War II.",Legacy and memory,
2009,119,In 2009 Dwight Eisenhower was named to the World Golf Hall of Fame in the Lifetime Achievement category for Dwight Eisenhower's contributions to the sport.,Legacy and memory,Tributes and memorials
1973,83,"In 1973, Dwight Eisenhower was inducted into the Hall of Great Westerners of the National Cowboy & Western Heritage Museum.",Legacy and memory,Tributes and memorials
