year,age,event,category1,category2,Name
1958,23,"Drafted into military service in 1958, Elvis Presley relaunched Elvis Presley's recording career two years later with some of Elvis Presley's most commercially successful work.",summary,,Elvis Presley
2018,83,"In 2018, Elvis Presley was posthumously awarded the Presidential Medal of Freedom.",summary,,Elvis Presley
1935,0,"Elvis Presley was born on January 8, 1935, in Tupelo, Mississippi, to Vernon Presley and Gladys Love (née Smith) Presley in a two-room shotgun house that Vernon Presley built for the occasion.",Life and career,1935–1953: early years,Elvis Presley
1953,18,"By the time Elvis Presley graduated from high school in June 1953, Elvis Presley had already singled out music as Elvis Presley's future.",Life and career,1935–1953: early years,Elvis Presley
1958,23,"On March 24, 1958, Elvis Presley was drafted into the United States Army at Fort Chaffee in Arkansas.",Life and career,1958–1960: military service and mother's death,Elvis Presley
1958,23,"Elvis Presley announced that Elvis Presley was looking forward to Elvis Presley's military service, saying that Elvis Presley did not want to be treated any differently from anyone else: ""the United States Army can do anything the United States Army wants with Elvis Presley.""Between March 28 and September 17, 1958",Life and career,1958–1960: military service and mother's death,Elvis Presley
1958,23,"On October 1, 1958, Elvis Presley was assigned to the 1st Medium Tank Battalion, 32d Armor, 3d Armored Division, at Ray Barracks, West Germany, where Elvis Presley served as an armor intelligence specialist.",Life and career,1958–1960: military service and mother's death,Elvis Presley
1959,24,"On November 27, Elvis Presley was promoted to private first class and on June 1, 1959, to specialist fourth class.",Life and career,1958–1960: military service and mother's death,Elvis Presley
1960,25,"Elvis Presley was promoted to sergeant on February 11, 1960.While in Bad Nauheim, Presley, aged 24 at the time, met 14-year-old Priscilla Beaulieu.",Life and career,1958–1960: military service and mother's death,Elvis Presley
1958,23,"Between Elvis Presley's induction and discharge, Elvis Presley had ten top 40 hits, including ""Wear My Ring Around Your Neck"", the bestselling ""Hard Headed Woman"", and ""One Night"" in 1958, and ""(Now and Then There's) A Fool Such as I"" and the number-one ""A Big Hunk o' Love"" in 1959.",Life and career,1958–1960: military service and mother's death,Elvis Presley
1956,21,"Nonetheless, Elvis Presley was nervous: Elvis Presley's only previous Las Vegas engagement, in 1956, had been dismal.",Life and career,1968–1973: comeback,Elvis Presley
2022,87,"During the first of the year's two-month-long engagements, Elvis Presley was threatened with murder unless US$50,000 (equivalent to $377,000 in 2022) was paid.",Life and career,1968–1973: comeback,Elvis Presley
1958,23,"After the end of Elvis Presley's International engagement on September 7, Elvis Presley embarked on a week-long concert tour, largely of the South, Elvis Presley's first since 1958.",Life and career,1968–1973: comeback,Elvis Presley
1973,38,"Towards the end of 1973, Elvis Presley was hospitalized, semi-comatose from the effects of a pethidine addiction.",Life and career,1973–1977: health deterioration and death,Elvis Presley
1973,38,"Since Elvis Presley's comeback, Elvis Presley had staged more live shows with each passing year, and 1973 saw 168 concerts, Elvis Presley's busiest schedule ever.",Life and career,1973–1977: health deterioration and death,Elvis Presley
1975,40,"Elvis Presley returned to the recording studio in Hollywood in March 1975, but Parker's attempts to arrange another session toward the end of 1974 were unsuccessful.",Life and career,1973–1977: health deterioration and death,Elvis Presley
1977,42,"Presley's cousin, Billy Smith, recalled how Elvis Presley would sit in his room and chat for hours, sometimes recounting favorite Monty Python sketches and Elvis Presley's past escapades, but more often gripped by paranoid obsessions that reminded Presley's cousin, Billy Smith, of the billionaire recluse Howard Hughes.""Way Down"", Presley's last single issued during his lifetime, was released on June 6, 1977.",Life and career,1973–1977: health deterioration and death,Elvis Presley
1984,49,"In 1984, Elvis Presley received the W. C. Handy Award from the Blues Foundation and the Academy of Country Music's first Golden Hat Award.",Life and career,Later developments,Elvis Presley
1987,52,"In 1987, Elvis Presley received the American Music Awards' Award of Merit.",Life and career,Later developments,Elvis Presley
2006,71,"Elvis Presley was placed second in 2006, returned to the top spot the next two years, and ranked fourth in 2009.",Life and career,Later developments,Elvis Presley
2016,81,"Six years later, Elvis Presley ranked fourth with earnings of $35 million, up $8 million from 2016 due in part to the opening of a new entertainment complex, Elvis Presley's Memphis, and hotel, The Guest House at Graceland.",Life and career,Later developments,Elvis Presley
1956,21,"Elvis Presley's worshiped as a god today because in addition to inventing rock and roll Elvis Presley was the greatest ballad singer this side of Frank Sinatra—because the spiritual translucence and reined-in gut sexuality of Elvis Presley's slow weeper and torchy pop blues still activate the hormones and slavish devotion of millions of female human beings worldwide.—Robert Christgau  December 24, Elvis Presley's rise to national attention in 1956 transformed the field of popular music and had a huge effect on the broader scope of popular culture.",Legacy,,Elvis Presley
2012,77,"Elvis Presley has the 9th-most gold singles (54, tied with Justin Bieber), and the 16th-most platinum singles (27).In 2012",Achievements,,Elvis Presley
