year,age,event,category1,category2,Name
1938,37,Enrico Fermi was awarded the 1938 Nobel Prize in Physics for Enrico Fermi's work on induced radioactivity by neutron bombardment and for the discovery of transuranium elements.,summary,,Enrico Fermi
1938,37,"Although Enrico Fermi was awarded the 1938 Nobel Prize in Physics for created, new elements were later revealed to be nuclear fission products.[0",summary,,Enrico Fermi
1942,41,"Enrico Fermi led the team at the University of Chicago that designed and built Chicago Pile-1, which went critical on 2 December 1942, demonstrating the first human-created, self-sustaining nuclear chain reaction.",summary,,Enrico Fermi
1943,42,"Enrico Fermi was on hand when the X-10 Graphite Reactor at Oak Ridge, Tennessee went critical in 1943, and when the B Reactor at the Hanford Site did so the next year.",summary,,Enrico Fermi
1954,53,Enrico Fermi was among the scientists who testified on J. Robert Oppenheimer's behalf at the 1954 hearing that resulted in the denial of J. Robert Oppenheimer's security clearance.,summary,,Enrico Fermi
1901,0,"Enrico Fermi was born in Rome, Italy, on 29 September 1901.",Early life,,Enrico Fermi
1920,19,"In September 1920, Enrico Fermi was admitted to the physics department.",Scuola Normale Superiore in Pisa,,Enrico Fermi
1936,35,"Enrico Fermi was immediately offered positions at five universities, and accepted one at Columbia University, where he had already given summer lectures in 1936.",Manhattan Project,,Enrico Fermi
1945,44,"Enrico Fermi became the Charles H. Swift Distinguished Professor of Physics at the University of Chicago on 1 July 1945, although Enrico Fermi did not depart the Los Alamos Laboratory with Enrico Fermi's family until 31 December 1945.",Postwar work,,Enrico Fermi
1945,44,Enrico Fermi was elected a member of the US National Academy of Sciences in 1945.,Postwar work,,Enrico Fermi
1954,53,Enrico Fermi was among the scientists who testified on Robert Oppenheimer's behalf at the Robert Oppenheimer security hearing in 1954 that resulted in the denial of Robert Oppenheimer's security clearance.,Postwar work,,Enrico Fermi
1946,45,Enrico Fermi was awarded the Medal for Merit in 1946 for Enrico Fermi's contribution to the Manhattan Project.,Impact and legacy,Legacy,Enrico Fermi
1939,38,Enrico Fermi was elected member of the American Philosophical Society in 1939 and a Foreign Member of the Royal Society (FRS) in 1950.,Impact and legacy,Legacy,Enrico Fermi
