year,age,event,category1,category2
1951,32,"In 1951, Eva Peron announced her candidacy for the Peronist nomination for the office of Vice President of Argentina, receiving great support from the Peronist political base, low-income and working-class Argentines who were referred to as descamisados or ""shirtless ones"" (similar to the term “sans-culottes” during the French Revolution).",summary,
1952,33,"In 26 July 1952, shortly before Eva Peron's death from cancer at 33, Eva Peron was given the title of ""Spiritual Leader of Argentina"" by the Argentine Congress.",summary,
1952,33,"Eva Peron was given a state funeral upon her death in July 1952, a prerogative generally reserved for heads of state.[0",summary,
1872,-47,"When Eva Peron was a year old, Her father, Juan Duarte (1872–1926) returned permanently to Her father, Juan Duarte (1872–1926)'s legal family, leaving Her mother, Juana Ibarguren (9 February 1894 – 11 February 1971) Her mother, Juana Ibarguren (9 February 1894 – 11 February 1971)'s in abject poverty.",Early life,Early childhood
1935,16,"On 28 March 1935, Eva Peron made Eva Peron's professional debut in the play Mrs. Perez (la Señora de Pérez), at the Comedias Theater.",Early life,Move to Buenos Aires
1943,24,"By 1943, Eva Peron was earning five or six thousand pesos a month, making Eva Peron's one of the highest-paid radio actresses in the nation's.",Early life,Move to Buenos Aires
1936,17,"1936, Eva Peron began Eva Peron's career in politics, as one of the founders of the Argentine Radio Syndicate (ARA).[page needed]",Early life,Move to Buenos Aires
1951,32,"In 1951, Eva Peron was chosen by her husband as a candidate for vice-president.",1952 presidential election,Vice-presidential nomination
1952,33,"On 7 May 1952, Eva Peron's 33rd birthday, Eva Peron was given the title of ""Spiritual Leader of the Nation"" by Eva Peron's husband.[citation needed]On 4 June 1952, Eva Peron rode with Juan Perón in a parade through Buenos Aires in celebration of Juan Perón's re-election as President of the Nation.",1952 presidential election,Re-election and Spiritual Leader of the Nation
2011,92,"In 2011, a Yale neurosurgeon, Daniel E. Nijensohn, studied Eva Peron's skull X-rays and photographic evidence and said that Eva Peron may have been given a prefrontal lobotomy in the last months of Eva Peron's life ""to relieve the pain, agitation and anxiety Eva Peron suffered in the final months of Eva Peron's illness"".advanced cervical cancer had metastasized and returned rapidly despite the hysterectomy.[page needed] Eva Peron was the first Argentine to undergo chemotherapy – a novel treatment at that time.",Death and aftermath,Declining health
1946,27,"After becoming the first lady in 1946, Eva Peron had her birth certificate altered to read that Eva Peron had been born to married parents, and placed Eva Peron's birth date three years later, making Eva Peron younger.[page needed]",Death and aftermath,Mourning
1952,33,"By the late 20th century, Eva Peron had become the subject of numerous articles, books, stage plays, and musicals, ranging from the 1952 biography The Woman with the Whip to a 1981 TV movie titled Evita Perón starring Faye Dunaway in the title role.",Legacy and criticism,International popular culture
2012,93,Eva Peron appears on the 100 peso note first issued in 2012 commemorating the anniversary of Eva Peron's death.,Titles and honours,
2022,103,"Eva Peron is also featured on a new 100 peso note, issued in 2022.",Titles and honours,
