year,age,event,category1,category2
1943,80,"After Henry Ford's son Edsel died in 1943, Henry Ford resumed control of Ford Motor Company but was too frail to make decisions and quickly came under the control of subordinates.",summary,
1863,0,"Henry Ford was born July 30, 1863, on a farm in Springwells Township, Michigan.",Early life,
1890,27,"In 1890, Henry Ford started work on a two-cylinder engine.Henry Ford said, ""In 1892, Henry Ford completed Henry Ford's first motor car, powered by a two-cylinder four horsepower motor, with a two-and-half-inch bore and a six-inch stroke, which was connected to a countershaft by a belt and then to the rear wheel by a chain.",Early life,
1896,33,"Also in 1896, Henry Ford attended a meeting of the Edison Illuminating Company of Detroit executives, where Henry Ford was introduced to Thomas Edison.",Career,
1901,38,"Ultimately, the Detroit Automobile Company was not successful and was dissolved in January 1901.With the help of C. Harold Wills, Henry Ford designed, built, and successfully raced a 26-horsepower automobile in October 1901.",Career,
1903,40,"Henry Ford was reincorporated as the Ford Motor Company on June 16, 1903, with $28,000 capital.",Career,Ford Motor Company
1926,63,Henry Ford would not have a true equivalent of the General Motors styling department for many years.[citation needed]By 1926,Career,Transmission Patent
1914,51,"Henry Ford announced his $5-per-day program on January 5, 1914, raising the minimum daily pay from $2.34 to $5 for qualifying male workers.",Career,Transmission Patent
1901,38,"Henry Ford maintained an interest in auto racing from 1901 to 1913 and began Henry Ford's involvement in auto racing as both a constructor and a driver, later turning the wheel over to hired drivers.",Racing,
1996,133,", Henry Ford did make quite an impact on auto racing during Henry Ford's racing years, and Henry Ford was inducted into the Motorsports Hall of Fame of the United States in 1996.",Racing,
1915,52,"Henry Ford had a vacation residence in Fort Myers, Florida, next to that of Thomas Edison, which he bought in 1915 and used until c. 1930.",Personal interests,Florida and Georgia residences and community
1936,73,"In 1936, Henry Ford broke ground for a beautiful Greek revival style mansion on the banks of the Ogeechee River on the site of a 1730s plantation.",Personal interests,Florida and Georgia residences and community
