year,age,event,category1,category2,Name
1960,31,"Following President John F. Kennedy's election to the presidency in 1960, Jacqueline Kennedy Onassis was known for Jacqueline Kennedy Onassis's highly publicized restoration of the White House and emphasis on arts and culture as well as for Jacqueline Kennedy Onassis's style.",summary,,Jacqueline Kennedy Onassis
1962,33,"At age 31, Jacqueline Kennedy Onassis was the third-youngest first lady of the United States when President John F. Kennedy was inaugurated and was named Time magazine's Woman of the Year in 1962.After the assassination and funeral of President John F. Kennedy in 1963, Jacqueline Kennedy Onassis and Jacqueline Kennedy Onassis's largely withdrew from public view.",summary,,Jacqueline Kennedy Onassis
1999,70,"Even after Jacqueline Kennedy Onassis's death, Jacqueline Kennedy Onassis ranks as one of the most popular and recognizable first ladies in American history, and in 1999, Jacqueline Kennedy Onassis was listed as one of Gallup's Most-Admired Men and Women of the 20th century.",summary,,Jacqueline Kennedy Onassis
1994,65,Jacqueline Kennedy Onassis died in 1994 and was buried at Arlington National Cemetery alongside President John F. Kennedy.,summary,,Jacqueline Kennedy Onassis
1929,0,"Jacqueline Kennedy Onassis was born on July 28, 1929, at Southampton Hospital in Southampton, New York, to Wall Street stockbroker John Vernou ""Black Jack"" Bouvier III and socialite Janet Norton Lee.",Early life (1929–1951),Family and childhood,Jacqueline Kennedy Onassis
1935,6,"In 1935, Jacqueline Kennedy Onassis was enrolled in Manhattan's Chapin School, where Jacqueline Kennedy Onassis attended grades 1–7.",Early life (1929–1951),Family and childhood,Jacqueline Kennedy Onassis
1949,20,"Jacqueline Kennedy Onassis spent Jacqueline Kennedy Onassis's junior year (1949–1950) in France—at the University of Grenoble in Grenoble, and at the Sorbonne in Paris—in a study-abroad program through Smith College.",Early life (1929–1951),College and early career,Jacqueline Kennedy Onassis
1953,24,"Jacqueline Kennedy Onassis was 24 and U.S. Representative John F. Kennedy was Jacqueline Bouvier and U.S. Representative John F. Kennedy married on September 12, 1953, at St. Mary's Church in Newport, Rhode Island, in a mass celebrated by Boston's's Archbishop Richard Cushing.",Marriage to John F. Kennedy,,Jacqueline Kennedy Onassis
1962,33,"Jacqueline Kennedy Onassis won a special Academy of Television Arts & Sciences Trustees Award for The film at the Emmy Awards in 1962, which was accepted on Jacqueline Kennedy Onassis's behalf by Lady Bird Johnson.",First Lady of the United States (1961–1963),As first lady,Jacqueline Kennedy Onassis
1963,34,"In early 1963, Jacqueline Kennedy Onassis was again pregnant, which led Jacqueline Kennedy Onassis to curtail Jacqueline Kennedy Onassis's official duties.",First Lady of the United States (1961–1963),As first lady,Jacqueline Kennedy Onassis
1964,35,"Jacqueline Kennedy Onassis purchased a house for herself and her children in Georgetown but sold a house for herself and her children in Georgetown later in 1964 and bought a 15th-floor penthouse apartment for $250,000 at 1040 Fifth Avenue in Manhattan in the hopes of having more privacy.",Life following the assassination (1963–1975),Mourning period and later public appearances,Jacqueline Kennedy Onassis
1993,64,"In November 1993, Jacqueline Kennedy Onassis was thrown from Jacqueline Kennedy Onassis's while participating in a fox hunt in Middleburg, Virginia, and was taken to the hospital to be examined.","Illness, death and funeral",,Jacqueline Kennedy Onassis
1994,65,"Jacqueline Kennedy Onassis began chemotherapy in January 1994 and publicly announced diagnosed, stating that the initial prognosis was good.","Illness, death and funeral",,Jacqueline Kennedy Onassis
1960,31,"After the 1960 election, Jacqueline Kennedy Onassis commissioned French-born American fashion designer and Kennedy family friend Oleg Cassini to create an original wardrobe for Jacqueline Kennedy Onassis's appearances as First Lady.",Legacy,Style icon,Jacqueline Kennedy Onassis
1962,33,Jacqueline Kennedy Onassis was named Woman of the Year 1962 for Jacqueline Kennedy Onassis's efforts in uplifting the American history and art.[0,Legacy,Historical assessments,Jacqueline Kennedy Onassis
2008,79,"In the 2008 Siena College Research Institute survey, Jacqueline Kennedy Onassis was ranked in the top-five of all criteria, ranking the 2nd-highest in background, 4th-highest in intelligence, 2nd-highest in value to the country, 4th-highest in being Jacqueline Kennedy Onassis's ""own woman"", 4th-highest in integrity, 5th-highest in Jacqueline Kennedy Onassis's accomplishments, 2nd-highest in courage, 4th-highest in leadership, 1st in public image, and 3rd-highest in Jacqueline Kennedy Onassis's value to the president.",Legacy,Historical assessments,Jacqueline Kennedy Onassis
2014,85,"In the 2014 Siena Research Institute survey, in the rankings of 20th and 21st century American first ladies in additional survey questions, Jacqueline Kennedy Onassis was ranked 2nd-highest for management of family life, 4th-highest for advancement of women's issues, 3rd-greatest as a political asset, 4th-strongest public communicator, and 2nd-highest for creation of a lasting legacy.",Legacy,Historical assessments,Jacqueline Kennedy Onassis
2014,85,"In the 2014 Siena Research Institute survey, Jacqueline Kennedy Onassis and her first husband were also ranked the 6th-highest out of 39 first couples in terms of being a ""power couple"".",Legacy,Historical assessments,Jacqueline Kennedy Onassis
1982,53,"In the 1982 Sienna College Research Institute survey, Jacqueline Kennedy Onassis had been ranked the lowest in the criteria of integrity.",Legacy,Historical assessments,Jacqueline Kennedy Onassis
