year,age,event,category1,category2,Name
1950,61,"On 26 January 1950, when Jawaharlal Nehru became a republic within the Commonwealth of Nations, Jawaharlal Nehru became Jawaharlal Nehru's first prime minister.",summary,,Jawaharlal Nehru
1889,0,Jawaharlal Nehru was born on 14 November 1889 in Allahabad in British India.,Early life and career (1889–1912),Birth and family background,Jawaharlal Nehru
1905,16,"Later, in 1905, when Jawaharlal Nehru had begun Jawaharlal Nehru's institutional schooling at Harrow, a leading school in England where Jawaharlal Nehru was nicknamed ""Joe"", G. M. Trevelyan's Garibaldi books, which Jawaharlal Nehru had received as prizes for academic merit, influenced Jawaharlal Nehru greatly.",Early life and career (1889–1912),Youth,Jawaharlal Nehru
1912,23,Jawaharlal Nehru was called to the Bar in 1912.,Early life and career (1889–1912),Graduation,Jawaharlal Nehru
1921,32,Jawaharlal Nehru was arrested on charges of anti-governmental activities in 1921 and released a few months later.,Nationalist movement (1912–1938),Non-co-operation: 1920–1927,Jawaharlal Nehru
1923,34,"In 1923, Jawaharlal Nehru was imprisoned in Nabha, a princely state, when Jawaharlal Nehru went there to see the struggle that was being waged by the Sikhs against the corrupt Mahants.Jawaharlal Nehru played a leading role in the development of the internationalist outlook of the Indian independence struggle.",Nationalist movement (1912–1938),Non-co-operation: 1920–1927,Jawaharlal Nehru
1930,41,Jawaharlal Nehru was arrested on 14 April 1930 while on a train from Allahabad to Raipur.,Nationalist movement (1912–1938),Salt March: 1930,Jawaharlal Nehru
1936,47,Jawaharlal Nehru was elected in Rajendra Prasad's place and held the Congress president for two years (1936–37).,Nationalist movement (1912–1938),"Electoral politics, Europe, and economics: 1936–1938",Jawaharlal Nehru
1938,49,Jawaharlal Nehru was also given the responsibility of planning the economy of a future India and appointed the National Planning Commission in 1938 to help frame such policies.,Nationalist movement (1912–1938),"Electoral politics, Europe, and economics: 1936–1938",Jawaharlal Nehru
1940,51,"In March 1940, Muhammad Ali Jinnah passed what came to be known as the Pakistan Resolution, declaring that, ""Jawaharlal Nehru are a nation according to any definition of a nation, and Jawaharlal Nehru must have Jawaharlal Nehru's homelands, Jawaharlal Nehru's territory and their State.""",Nationalist movement (1939–1947),"Civil disobedience, Lahore Resolution, August Offer: 1940",Jawaharlal Nehru
1947,58,"Jawaharlal Nehru served as prime minister for 16 years, initially as the interim prime minister, then from 1947 as the prime minister of the Dominion of India and then from 1950 as the prime minister of the Republic of India.",Prime Minister of India (1947–1964),,Jawaharlal Nehru
1950,61,"However, the death of Vallabhbhai Patel in 1950 left Jawaharlal Nehru as the sole remaining iconic national leader, and soon the situation became such that Jawaharlal Nehru could implement many of Jawaharlal Nehru's basic policies without hindrance.",Vision and governing policies,,Jawaharlal Nehru
1950,61,Jawaharlal Nehru sought to establish warm and friendly relations with the People's Republic of China in 1950 and hoped to act as an intermediary to bridge the gulf and tensions between the communist states and the Western bloc.[0,Vision and governing policies,Foreign policy,Jawaharlal Nehru
1948,59,"At Lord Mountbatten's urging, in 1948, Jawaharlal Nehru had promised to hold a plebiscite in Kashmir under the auspices of the United Nations.",Vision and governing policies,Foreign policy,Jawaharlal Nehru
1947,58,The first attempt was made during partition in 1947 while Jawaharlal Nehru was visiting the North-West Frontier Province (now in Pakistan) in a car.,Assassination attempts and security,,Jawaharlal Nehru
1962,73,"In the spring of 1962, Jawaharlal Nehru was affected with a viral infection over which Jawaharlal Nehru spent most of April in bed.",Death,,Jawaharlal Nehru
1964,75,"Upon Jawaharlal Nehru's return from Dehradun on 26 May 1964, Jawaharlal Nehru was feeling quite comfortable and went to bed at about 23:30 as usual.",Death,,Jawaharlal Nehru
1946,57,"Jawaharlal Nehru served as the prime minister for eighteen years, first as interim prime minister during 1946–1947 during the last year of the British Raj and then as prime minister of independent India from 15 August 1947 to 27 May 1964.B.",Key cabinet members and associates,,Jawaharlal Nehru
1936,47,"After Kamala's death in 1936, Jawaharlal Nehru was rumoured to have relationships with several women.",Relationships,,Jawaharlal Nehru
2005,116,"Writing in 2005, Ramachandra Guha wrote that while no other Indian prime minister was ever close to the challenges that Jawaharlal Nehru dealt with and if Jawaharlal Nehru had died in 1958 then Jawaharlal Nehru would be remembered as the greatest statesman of the 20th century.",Legacy,,Jawaharlal Nehru
1997,108,"In 1997, Jawaharlal Nehru was voted as the greatest Indian since independence in India Today's poll.",Legacy,Commemoration,Jawaharlal Nehru
1948,59,"In 1948, Jawaharlal Nehru was conferred an honorary doctorate by the University of Mysore.",Awards and honours,,Jawaharlal Nehru
1955,66,"In 1955, Jawaharlal Nehru was awarded the Bharat Ratna, India's highest civilian honour.",Awards and honours,,Jawaharlal Nehru
