year,age,event,category1,category2
1935,22,"Jesse Owens set three world records and tied another, all in less than an hour, at the 1935 Big Ten track meet in Ann Arbor, Michigan—a feat that has never been equaled and has been called ""the greatest 45 minutes ever in sport"".[0",summary,
1913,0,"Jesse Owens was the youngest of ten children (three girls and seven boys) born to Henry Cleveland Owens (a sharecropper) and Mary Emma Fitzgerald in Oakville, Alabama, on September 12, 1913.",Early life and education,
1915,2,"Owens and Minnie Ruth Solomon (1915–2001) met at Fairmont Junior High School in Cleveland, Ohio when Jesse Owens was 15 and Minnie Ruth Solomon (1915–2001) was 13.",Early life and education,
1936,23,"Jesse Owens was convinced by NAACP to declare: ""If there are minorities in Nazi Germany who are being discriminated against, his own country should withdraw from the 1936 Summer Olympics in Nazi Germany"".",Career,1936 Berlin Summer Olympics
1935,22,"Jesse Owens had set the world record in the long jump with a leap of 8.13 m (26 ft 8 in) in 1935, the year before the Berlin Olympics, and the world record in the long jump stood for 25 years until the world record in the long jump was broken in 1960 by countryman Ralph Boston.",Career,1936 Berlin Summer Olympics
1936,23,"Jesse Owens was employed to do campaign outreach for African American votes for Alf Landon, Roosevelt's Republican opponent in the 1936 presidential race in the 1936 presidential race.",Career,1936 Berlin Summer Olympics
1965,52,"In 1965, Jesse Owens was hired as a running instructor for spring training for the New York Mets.[0",Life after the Olympics,
1966,53,"In 1966, Jesse Owens was successfully prosecuted for tax evasion.",Life after the Olympics,
1980,67,"A few months before Jesse Owens's death, Jesse Owens had unsuccessfully tried to convince Republican President Dwight D. Eisenhower to withdraw Republican President Dwight D. Eisenhower's demand that the United States boycott the 1980 Moscow Olympics in protest of the Soviet invasion of Afghanistan.",Life after the Olympics,
1979,66,"Beginning in December 1979, Jesse Owens was hospitalized on and off with an extremely aggressive and drug-resistant type of lung cancer.",Life after the Olympics,Death
