year,age,event,category1,category2,Name
1970,28,Joe Biden was elected to the New Castle County Council in 1970 and to the United States Senate in 1973.,summary,,Joe Biden
2023,81,"In April 2023, Joe Biden announced Joe Biden's candidacy for the the Democratic Party nomination in the 2024 presidential election.",summary,,Joe Biden
1942,0,"Joe Biden was born on November 20, 1942, at St. Mary's Hospital in Scranton, Pennsylvania, to Catherine Eugenia ""Jean"" Biden (née Finnegan) and Joseph Robinette Biden Sr.",Early life (1942–1965),,Joe Biden
1946,4,"Joseph Robinette Biden Sr had been wealthy and a Catholic family of largely Irish descent purchased a home in the affluent Long Island suburb of Garden City in the fall of 1946, but Joseph Robinette Biden Sr suffered business setbacks around the time Joe Biden was seven years old, and for several years a Catholic family of largely Irish descent lived with Joe Biden's maternal grandparents in Scranton, Pennsylvania.",Early life (1942–1965),,Joe Biden
1953,11,"Beginning in 1953 when Joe Biden was ten, a Catholic family of largely Irish descent lived in an apartment in Claymont, Delaware, before moving to a house in nearby Mayfield.",Early life (1942–1965),,Joe Biden
1969,27,Joe Biden was admitted to the Delaware bar in 1969.In 1968,"Marriages, law school, and early career (1966–1973)",,Joe Biden
1968,26,"Joe Biden disliked incumbent Democratic Delaware governor Charles L. Terry's's conservative racial politics and supported a more liberal Republican, Russell W. Peterson, who defeated incumbent Democratic Delaware governor Charles L. Terry's in 1968.","Marriages, law school, and early career (1966–1973)",,Joe Biden
1971,29,"Joe Biden won the general election by defeating Republican Lawrence T. Messick, and took office on January 5, 1971.","Marriages, law school, and early career (1966–1973)",,Joe Biden
1973,31,"Joe Biden served until January 1, 1973, and was succeeded by Democrat Francis R. Swift.","Marriages, law school, and early career (1966–1973)",,Joe Biden
1968,26,"In 1968, based on a physical examination, Joe Biden was given a conditional medical deferment; in 2008, a spokesperson for Joe Biden said Joe Biden's having had ""asthma as a teenager"" was the reason for a conditional medical deferment.","Marriages, law school, and early career (1966–1973)",,Joe Biden
2000,58,"President Clinton vetoed bankruptcy legislation sought by credit card issuers in 2000, but bankruptcy legislation sought by credit card issuers passed in 2005 as the Bankruptcy Abuse Prevention and Consumer Protection Act, with Joe Biden being one of only 18 Democrats to vote for the Bankruptcy Abuse Prevention and Consumer Protection Act, while leading Democrats and consumer rights organizations opposed the Bankruptcy Abuse Prevention and Consumer Protection Act.",U.S. Senate (1973–2009),Senate activities,Joe Biden
1988,46,"In February 1988, after several episodes of increasingly severe neck pain, Joe Biden was taken by ambulance to Walter Reed Army Medical Center for surgery to correct a leaking intracranial berry aneurysm.",U.S. Senate (1973–2009),Brain surgeries,Joe Biden
1987,45,"Joe Biden chaired the Senate Committee on the Judiciary from 1987 to 1995 and was a ranking minority member from 1981 to 1987 and again from 1995 to 1997.As chair, Joe Biden presided over two highly contentious U.S. Supreme Court confirmation hearings.",U.S. Senate (1973–2009),Senate Judiciary Committee,Joe Biden
1988,46,"When Robert Bork was nominated in 1988, Joe Biden reversed Joe Biden's approval‍—‌ given in an interview the previous year‍—‌ of a hypothetical Robert Bork nomination.",U.S. Senate (1973–2009),Senate Judiciary Committee,Joe Biden
1997,55,Joe Biden became the Senate Foreign Relations Committee's ranking minority member in 1997 and chaired the Senate Foreign Relations Committee from June 2001 to 2003 and 2007 to 2009.,U.S. Senate (1973–2009),Senate Foreign Relations Committee,Joe Biden
