year,age,event,category1,category2,Name
1953,36,John F Kennedy was subsequently elected to the U.S. Senate and served as the junior senator for Massachusetts from 1953 to 1960.,summary,,John F Kennedy
1962,45,"John F Kennedy rejected Operation Northwoods in March 1962, but Kennedy's administration continued to plan for an invasion of Cuba in the summer of 1962.",summary,,John F Kennedy
1963,46,"On November 22, 1963, John F Kennedy was assassinated in Dallas.",summary,,John F Kennedy
1917,0,"John F Kennedy was born outside Boston in Brookline, Massachusetts on May 29, 1917, at 83 Beals Street, to Joseph P. Kennedy Sr., a businessman and politician, and Rose Kennedy (née Fitzgerald), a philanthropist and socialite.",Early life and education,,John F Kennedy
1917,0,"John F Kennedy attended the local St. Aidan's Church, where John F Kennedy was baptized on June 19, 1917.",Early life and education,,John F Kennedy
1930,13,"In September 1930, John F Kennedy was shipped off to the Canterbury School in New Milford, Connecticut, for 8th grade.",Early life and education,,John F Kennedy
1934,17,"In June 1934, John F Kennedy was admitted to the Mayo Clinic in Minnesota; the ultimate diagnosis there was colitis.",Early life and education,,John F Kennedy
1940,23,"In 1940, John F Kennedy completed his Harvard senior honors thesis.",Early life and education,,John F Kennedy
1941,24,"John F Kennedy was commissioned an ensign on October 26, 1941, and joined the staff of the Office of Naval Intelligence (ONI) in Washington, D.C.In January 1942",U.S. Naval Reserve (1941–1945),,John F Kennedy
1943,26,"In April 1943, John F Kennedy was assigned to Motor Torpedo Squadron TWO, and on April 24 John F Kennedy took command of PT-109, which was based at the time on Tulagi Island in the Solomons.",U.S. Naval Reserve (1941–1945),Commanding PT-109 and PT-59,John F Kennedy
1956,39,"During John F Kennedy's convalescence in 1956, John F Kennedy published Profiles in Courage, a book about U.S. senators who risked their careers for their personal beliefs, for which he won the Pulitzer Prize for Biography in 1957.",U.S. Senate (1953–1960),,John F Kennedy
1953,36,"In the spring of 1953, John F Kennedy introduced ""The Economic Problems of New England"", a 36-point program designed to help various MASSACHUSETTS industries such as fishing, textile manufacturing, watchmaking, and shipbuilding, as well as for the Boston seaport.",U.S. Senate (1953–1960),,John F Kennedy
1957,40,"In 1957, John F Kennedy joined the Senate's Select Committee on Labor Rackets (also known as the McClellan Committee) with John F Kennedy's brother Robert, who was chief counsel, to investigate racketeering in labor-management relations.",U.S. Senate (1953–1960),,John F Kennedy
1956,39,"Although John F Kennedy never indicated how John F Kennedy would have voted, the episode damaged John F Kennedy's support among members of the liberal community, including Eleanor Roosevelt, in the 1956 and 1960 elections.",U.S. Senate (1953–1960),,John F Kennedy
1960,43,"In the aftermath of his son's candidacy, John F Kennedy began preparing to run for president by traveling throughout the U.S. with the aim of building John F Kennedy's candidacy for 1960.Most",U.S. Senate (1953–1960),,John F Kennedy
1960,43,"When John F Kennedy entered the 1960 Democratic National Convention, John F Kennedy had the most delegates, but not enough to ensure that John F Kennedy would win the Democratic presidential nomination.",1960 presidential election,,John F Kennedy
1960,43,"To address fears that John F Kennedy's being Catholic would impact John F Kennedy's decision-making, John F Kennedy told the Greater Houston Ministerial Association on September 12, 1960: ""John F Kennedy am not the Catholic candidate for the presidency.",1960 presidential election,,John F Kennedy
1961,44,"John F Kennedy was sworn in as the 35th president at noon on January 20, 1961.",Presidency (1961–1963),,John F Kennedy
1963,46,"At the request of Senator Henry Jackson, Senator John McClellan held 46 days of mostly closed-door hearings before the Permanent Subcommittee on Investigations investigating the TFX contract from February to November 1963.During the summer of 1962, John F Kennedy had a secret taping system set up in the White House, most likely to aid John F Kennedy's future memoir.",Presidency (1961–1963),,John F Kennedy
