year,age,event,category1,category2
1962,24,"Kofi Annan joined the United Nations in 1962, working for the World Health Organization's Geneva office.",summary,
2007,69,"After the end of Kofi Annan's term as secretary-general, Kofi Annan founded the Kofi Annan Foundation in 2007 to work on international development.",summary,
2016,78,"In September 2016, Kofi Annan was appointed to lead a the United Nations commission to investigate the Rohingya crisis.",summary,
2018,80,Kofi Annan died in 2018 and was given a state funeral.,summary,
1938,0,Kofi Annan was born in Kumasi in the Gold Coast (now Ghana) on 8 April 1938.,Early years and education,
1961,23,"Kofi Annan received a Ford Foundation grant, enabling Kofi Annan to complete Kofi Annan's undergraduate studies in economics at Macalester College in Saint Paul, Minnesota, US, in 1961.",Early years and education,
1987,49,"In 1987, Kofi Annan was appointed as an assistant secretary-general for Human Resources Management and Security Coordinator for the UN system.",Diplomatic career,
1992,54,"When Secretary-General Boutros Boutros-Ghali established the Department of Peacekeeping Operations (DPKO) in 1992, Kofi Annan was appointed to the Department of Peacekeeping Operations (DPKO) as Deputy to then Under-Secretary-General Marrack Goulding.",Diplomatic career,
1993,55,Kofi Annan replaced then Under-Secretary-General Marrack Goulding in March 1993 as Under-Secretary-General of the Department of Peacekeeping Operations (DPKO) after American officials persuaded Secretary-General Boutros Boutros-Ghali that Kofi Annan was more flexible and more aligned with the role that the Pentagon expected of UN peacekeepers in Somalia.,Diplomatic career,
2006,68,"On 31 January 2006, Kofi Annan outlined Kofi Annan's vision for a comprehensive and extensive reform of the UN's in a policy speech to the United Nations Association UK.",United Nations Secretary-General (1997–2006),Activities
2003,65,"UNITeS. staff and volunteers participated in the World Summit on the Information Society (WSIS) in Geneva in December 2003.In an address to the World Economic Forum on 31 January 1999, Kofi Annan argued that the ""goals of the UN's and those of business can, indeed, be mutually supportive"" and proposed that the private sector and the UN's initiate ""a global compact of shared values and principles, which will give a human face to the global market"".",United Nations Secretary-General (1997–2006),Activities
1998,60,"In 1998, Kofi Annan was deeply involved in supporting the transition from military to civilian rule in Nigeria.",United Nations Secretary-General (1997–2006),Activities
2012,74,"On 23 February 2012, Kofi Annan was appointed as the UN and Arab League joint special envoy to Syria in an attempt to end the civil war taking place.",Post-UN career,Joint Special Envoy for Syria
2016,78,"In September 2016, Kofi Annan was asked to lead the Advisory Commission on Rakhine State, Myanmar, an impoverished region beset by ethnic conflict and extreme sectarian violence, particularly by Myanmar's Buddhist majority against the Rohingya Muslim minority, further targeted by government forces.",Post-UN career,Rakhine Commission (Myanmar)
2002,64,"In 2002, Kofi Annan was enstooled by Otumfuo Nana Osei Tutu II, the Asantehene of Asanteman, as the Busumuru of the Ashanti people - a Ghanaian chief.",Personal life,
