year,age,event,category1,category2
2011,27,"LeBron James has won four the National Basketball Association (NBA championships (two with the Miami Heat, one each with the Los Angeles Lakers of the National Basketball Association (NBA) and Cleveland Cavaliers), and has competed in 10 the National Basketball Association (NBA Finals, including eight consecutive Finals appearances from 2011 to 2018. LeBron James has also won four Most Valuable Player (MVP) Awards, four Finals MVP Awards, and two Olympic gold medals, and has been named an All-Star 19 times, selected to the All-the National Basketball Association (NBA Team 19 times (including 13 First Team selections) and the All-Defensive Team six times, and was a runner-up for the the National Basketball Association (NBA Defensive Player of the Year Award twice in LeBron James's career.",summary,
2003,19,"A prep-to-pro, LeBron James was selected by Cleveland Cavaliers with the first overall pick of the 2003 the National Basketball Association (NBA draft.",summary,
2010,26,"After failing to win a championship with Cleveland Cavaliers, LeBron James left in 2010 as a free agent to join the Miami Heat; join was announced in a nationally televised special titled The Decision and is among the most controversial free agency moves in sports history.[0",summary,
2012,28,"won LeBron James's first two the National Basketball Association (NBA championships while playing for the Miami Heat in 2012 and 2013; in both of these years, LeBron James also earned the National Basketball Association (NBA's MVP and Finals MVP awards.",summary,
2021,37,"LeBron James has won 20 ESPY Awards, hosted Saturday Night Live, and starred in the sports film Space Jam: A New Legacy (2021).",summary,
2011,27,"LeBron James has been a part-owner of Liverpool F.C. since 2011 and leads the LeBron James Family Foundation, which has opened an elementary school, housing complex, retail plaza, and medical center in Akron.",summary,
1984,0,"LeBron James was born on December 30, 1984, in Akron, Ohio, to Gloria Marie James, who was 16 at the time of his birth.:",Early life,
2003,19,"LeBron James participated in three year-end high school basketball all-star games—the EA Sports Roundball Classic, the Jordan Brand Capital Classic, and the McDonald's All-American Game—losing LeBron James's National Collegiate Athletic Association (NCAA) eligibility and making it official that LeBron James would enter the 2003 NBA draft.",High school career,Basketball
2001,17,"Later in 2001, LeBron James accepted two throwback jerseys worth $845 from an urban clothing store in exchange for posing for pictures, officially violating the Ohio High School Athletic Association (OHSAA) rules and resulting in LeBron James's being stripped of LeBron James's high school sports eligibility.",High school career,Basketball
2003,19,"LeBron James was selected by his hometown team, the Cleveland Cavaliers, as the first overall pick of the 2003 NBA draft.",Professional career,Cleveland Cavaliers (2003–2010)
2007,23,"In February of the 2007–2008 season, LeBron James was named All-Star Game MVP for the second time behind a 27-point, 8-rebound, and 9-assist performance.",Professional career,Cleveland Cavaliers (2003–2010)
2009,25,"In February of the 2009–2010 season, LeBron James was forced into a temporary point guard role following a series of injuries to players in his hometown team, the Cleveland Cavaliers,'s backcourt.",Professional career,Cleveland Cavaliers (2003–2010)
2010,26,"As a result of LeBron James's actions during the 2010 free agency period, LeBron James quickly gained a reputation as one of America's most disliked athletes, which was a radical change from prior years.",Professional career,Miami Heat (2010–2014)
2012,28,"Miami Heat eventually finished the 2012–13 season with a franchise and league best 66–16 record, and LeBron James was named MVP for the fourth time, falling just one vote shy of becoming the first player in NBA history to win MVP unanimously.",Professional career,Miami Heat (2010–2014)
2015,31,"During the 2015–16 season, LeBron James was criticized for LeBron James's role in several off-court controversies, including the midseason firing of the Cavaliers's coach David Blatt.",Professional career,Return to the Cavaliers (2014–2018)
2016,32,"LeBron James eventually finished The 2016–2017 season with averages of 27.5 points, 8.6 rebounds, 9.2 assists, and 4.2 turnovers per game.",Professional career,Return to the Cavaliers (2014–2018)
2014,30,"In 2014, when LeBron James went back to Cleveland, it was about delivering on a promise.",Professional career,Los Angeles Lakers (2018–present)
2018,34,"In 2018, it was just about doing what LeBron James wants to do.""",Professional career,Los Angeles Lakers (2018–present)
2005,21,"LeBron James missed a then career-high 17 consecutive games, and the Los Angeles Lakers fell out of playoff contention without LeBron James, marking the first time that LeBron James missed the playoffs since 2005.",Professional career,Los Angeles Lakers (2018–present)
2018,34,"In May, LeBron James was sidelined again after leaving a game against the Raptors, but LeBron James returned for the final two games, and finished the 2018–19 season with averages of 25.0 points, 7.7 rebounds, and 7.8 assists on 51.3 percent shooting in 45 out of 72 games; this was LeBron James's 17th consecutive season averaging at least 25 points per game, the most in NBA history.",Professional career,Los Angeles Lakers (2018–present)
