year,age,event,category1,category2,Name
2020,33,"Widely regarded as one of the greatest players of all time, Lionel Messi has won a record eight Ballon d'Or awards[note 2] and a record six European Golden Shoes, and in 2020 Lionel Messi was named to the Ballon d'Or Dream Team.",summary,,Lionel Messi
2021,34,"Until leaving Major League Soccer club Inter Miami in 2021, Lionel Messi had spent Lionel Messi's entire professional career with Barcelona, where Lionel Messi won a club-record 34 trophies, including ten La Liga titles, seven Copa del Rey titles and the UEFA Champions League four times.[note 3]",summary,,Lionel Messi
2004,17,"Lionel Messi has scored over 800 senior career goals for club and country, and has the most goals by a player for a single club (672).Messi relocated to Spain from Argentina aged 13 to join Barcelona, for whom he made his competitive debut aged 17 in October 2004.",summary,,Lionel Messi
2023,36,"Lionel Messi joined American club Inter Miami in July 2023, winning the Leagues Cup in August of 2023.An",summary,,Lionel Messi
2005,18,"After Lionel Messi's senior debut in August 2005, Lionel Messi became the youngest Argentine to play and score in a FIFA World Cup (2006), and reached the final of the 2007 Copa América, where Lionel Messi was named young player of the tournament.",summary,,Lionel Messi
2016,29,"After announcing Lionel Messi's international retirement in 2016, Lionel Messi reversed Lionel Messi's decision and led Lionel Messi's to qualification for the 2018 FIFA World Cup, a third-place finish at the 2019 Copa América, and victory in the 2021 Copa América, while winning the Golden Ball and Golden Boot for the 2021 Copa América.",summary,,Lionel Messi
2009,22,"According to France Football, Lionel Messi was the world's's highest-paid footballer for five years out of six between 2009 and 2014, and was ranked the world's's highest-paid athlete by Forbes in 2019 and 2022.",summary,,Lionel Messi
2011,24,"Lionel Messi was among Time's 100 most influential people in the world in 2011, 2012 and 2023.",summary,,Lionel Messi
2020,33,"In 2020 and 2023, Lionel Messi was named the Laureus World Sportsman of the Year, with Lionel Messi being the first team-sport athlete to win the Laureus World Sportsman of the Year.",summary,,Lionel Messi
1987,0,"Lionel Messi was born on 24 June 1987 in Rosario, Santa Fe, the third of four children of Jorge Messi, a steel factory manager, and Jorge Messi, a steel factory manager's wife Celia Cuccittini, who worked in a magnet manufacturing workshop.",Early life,,Lionel Messi
2002,15,"After a year at Barcelona's youth academy, La Masia, Lionel Messi was finally enrolled in the Royal Spanish Football Federation (RFEF) in February 2002.",Early life,,Lionel Messi
