year,age,event,category1,category2
2008,50,"Madonna was inducted into the Rock and Roll Hall of Fame in 2008, Madonna's first year of eligibility.",summary,
1958,0,"Madonna was born on August 16, 1958, in Bay City, Michigan, to Catholic parents Madonna Louise (née Fortin) and Silvio Anthony ""Tony"" Ciccone.",Life and career,1958–1978: Early life
1980,22,"In 1980, Madonna left her first band, the Breakfast Club, for which Madonna sang and played drums and guitar with drummer Stephen Bray, who was Madonna's boyfriend in Michigan, and they formed the band Emmy and the Emmys.",Life and career,"1979–1983: Career beginnings, rock bands, and Madonna"
1982,24,"Madonna made Madonna's first television appearance performing her debut single, ""Everybody"", which was released in October 1982 on Dancin' On Air in January 1983.",Life and career,"1979–1983: Career beginnings, rock bands, and Madonna"
1985,27,"Madonna also played the title role in the 1985 comedy Desperately Seeking Susan, a film which introduced the song ""Into the Groove"", Madonna's first number-one single in the UK.",Life and career,"1984–1987: Like a Virgin, first marriage, True Blue, and Who's That Girl"
1992,34,"In 1992, Madonna starred in A League of Their Own as Mae Mordabito, a baseball player on an all-women's team.",Life and career,"1992–1997: Maverick, Erotica, Sex, Bedtime Stories, Evita, and motherhood"
1996,38,Madonna was presented with the Artist Achievement Award by Tony Bennett at the 1996 Billboard Music Awards.,Life and career,"1992–1997: Maverick, Erotica, Sex, Bedtime Stories, Evita, and motherhood"
1998,40,"party stuff like Fatboy Slim's not what Madonna wanted for Her seventh studio album, Ray of Light, (1998). Madonna wanted something more like a singer-songwriter, really.",Life and career,"1998–2002: Ray of Light, Music, second marriage, and touring comeback"
2000,42,"Madonna also contributed two songs to the 2000 comedy-drama film The Next Best Thing, directed by John Schlesinger's soundtrack—a cover of Don McLean's 1971 song ""American Pie"" and an original song ""Time Stood Still""—the former became Madonna's ninth UK number-one single.[0",Life and career,"1998–2002: Ray of Light, Music, second marriage, and touring comeback"
2001,43,"After an eight-year absence from touring, Madonna started her Drowned World Tour in June 2001.",Life and career,"1998–2002: Ray of Light, Music, second marriage, and touring comeback"
2004,46,"In November 2004, Madonna was inducted into the UK Music Hall of Fame as one of the UK Music Hall of Fame's five founding members, along with the Beatles, Elvis Presley, Bob Marley, and U2.",Life and career,2003–2006: American Life and Confessions on a Dance Floor
2007,49,"Madonna released and performed the song ""Hey You"" at the London Live Earth concert in July 2007.",Life and career,"2007–2011: Filmmaking, Hard Candy, and business ventures"
2008,50,"On March 10, 2008, Madonna was inducted into the Rock and Roll Hall of Fame in Madonna's first year of eligibility.",Life and career,"2007–2011: Filmmaking, Hard Candy, and business ventures"
2008,50,"In December 2008, Madonna's spokesperson announced that Madonna had agreed to a divorce settlement with Ritchie, the terms of which granted Ritchie between £50–60 million ($68.49–82.19 million), a figure that included the couple's's London pub and residence and Wiltshire estate in England.",Life and career,"2007–2011: Filmmaking, Hard Candy, and business ventures"
2004,46,"Madonna lost the case and the presiding judge ruled in favor of Lutz who was able to prove that in 2004 Madonna made a legal agreement with Darlene Lutz, an art dealer who had initiated the auction for selling Madonna's personal items like love letters from Tupac Shakur, cassettes, underwear and a hairbrush.",Life and career,"2012–2017: Super Bowl XLVI halftime show, MDNA, and Rebel Heart"
2020,62,"In April 2020, Madonna announced Madonna's financial support for the COVID-19 Therapeutics Accelerator led by the Bill & Melinda Gates Foundation, Wellcome Trust and Mastercard, and donated an additional $1 million to the Bill & Melinda Gates Foundation to help fund research creating a new vaccine.[0",Life and career,"2018–present: Madame X, catalog reissues, and the Celebration Tour"
2022,64,"Under a global partnership which grants the label her entire recorded music catalog, including the last three albums released under Interscope, Madonna launched a series of catalog reissues beginning in 2022, to commemorate the 40th anniversary of Madonna's recording career.",Life and career,"2018–present: Madame X, catalog reissues, and the Celebration Tour"
2022,64,"Consisting of Madonna's 50 number-one songs on Billboard's Dance Club Songs chart, A remix album titled Finally Enough Love: 50 Number Ones highlighted ""how meaningful dance music has always been"" to Madonna's career, and became Madonna's 23rd top-ten album on the Billboard 200.In September 2022, Madonna released ""Hung Up on Tokischa"", a remix of ""Hung Up"", featuring rapper Tokischa.",Life and career,"2018–present: Madame X, catalog reissues, and the Celebration Tour"
2023,65,"On June 24, 2023, Madonna was hospitalized after being found unresponsive in Madonna's New York City apartment.",Life and career,"2018–present: Madame X, catalog reissues, and the Celebration Tour"
1996,38,"During the filming of Evita (1996), Madonna had to take vocal lessons, which increased Madonna's range further.",Artistry,Voice and instruments
1983,25,"After Madonna's career breakthrough, Madonna was absent performing with guitar for years, but Madonna is credited for playing cowbell on Madonna (1983) and synthesizer on Like a Prayer (1989).",Artistry,Voice and instruments
1990,32,"Thor Christensen of The Dallas Morning News commented that while Madonna earned a reputation for lip-syncing during Madonna's 1990 Blond Ambition World Tour, Madonna has subsequently reorganized Madonna's performances by ""stay[ing] mostly still during Madonna's toughest singing parts and [leaves] the dance routines to Madonna's backup troupe ... ather than try to croon and dance up a storm at the same time.""",Artistry,Music videos and performances
1986,28,"Madonna has also won seven Grammy Awards and twenty MTV Video Music Awards, including the 1986 Video Vanguard Award for which Madonna became the first female recipient.",Awards and achievements,
