year,age,event,category1,category2
2008,90,"In 2008, Maharishi Mahesh Yogi announced Maharishi Mahesh Yogi's retirement from all administrative activities and went into silence until Maharishi Mahesh Yogi's death three weeks later.",summary,
1917,-1,"Authors Paul Mason and William Jefferson say that Maharishi Mahesh Yogi was born 12 January 1917 in Rajim, Central Provinces, India (Chhattisgarh, India).",Life,Birth
1942,24,Maharishi Mahesh Yogi studied physics at Allahabad University and earned a degree in 1942.,Life,Early life
1964,46,"During 1964, Maharishi Mahesh Yogi finished Maharishi Mahesh Yogi's book The Science of Being and Art of Living, which sold more than a million copies and was published in fifteen languages.Maharishi Mahesh Yogi",Life,World tours (1958–1968)
1962,44,"1962, an article in Time magazine reported that Maharishi Mahesh Yogi ""has been sharply criticised by other Indian sages, who complain that Maharishi Mahesh Yogi's programme for spiritual peace without either penance or asceticism contravenes every traditional Hindu belief"".",Life,World tours (1958–1968)
1992,74,"In 1992, George Harrison gave a benefit concert for the Maharishi-associated Natural Law Party and later apologised for the way Maharishi Mahesh Yogi had been treated, by saying, ""the Beatles were very young"" and ""It's probably in the history books that Maharishi Mahesh Yogi 'tried to attack Mia Farrow' – but it's bullshit, total bullshit.""",Life,Association with the Beatles
1968,50,"In 1968, Maharishi Mahesh Yogi announced that Maharishi Mahesh Yogi would stop Maharishi Mahesh Yogi's public activities and instead begin the training of TM teachers at Maharishi Mahesh Yogi's new global headquarters in Seelisberg, Switzerland.",Life,Further growth of the TM movement (1968–1990)
1975,57,"In October 1975, Maharishi Mahesh Yogi was pictured on the front cover of Time magazine.",Life,Further growth of the TM movement (1968–1990)
1975,57,"Maharishi Mahesh Yogi made Maharishi Mahesh Yogi's last visit to the Spiritual Regeneration Movement centre in Los Angeles in 1975, according to film director David Lynch, who met Maharishi Mahesh Yogi for the first time there.",Life,Further growth of the TM movement (1968–1990)
1975,57,"1975, the Pittsburgh Press reported that ""Maharishi Mahesh Yogi has been criticised by other Eastern yogis for simplifying other Eastern yogis's ancient art."" Maharishi Mahesh Yogi appeared as a guest on The Merv Griffin Show in 1975 and again in 1977, and appeared resulted in ""tens of thousands of new practitioners"" around",Life,Further growth of the TM movement (1968–1990)
1990,72,"In 1990, Maharishi Mahesh Yogi relocated Maharishi Mahesh Yogi's headquarters from Seelisberg, Switzerland, to a former Franciscan monastery in Vlodrop, the Netherlands, which became known as MERU, Holland, on account of the Maharishi European Research University (MERU) campus there.",Life,Years in Vlodrop (1991–2008)
1991,73,"Maharishi Mahesh Yogi is believed to have made Maharishi Mahesh Yogi's final public appearance in 1991, in Maastricht, the Netherlands.",Life,Years in Vlodrop (1991–2008)
1992,74,Maharishi Mahesh Yogi's founded the Natural Law Party (NLP) in 1992.,Life,Years in Vlodrop (1991–2008)
1967,49,"Maharishi Mahesh Yogi had a message of happiness, writing in 1967 that ""being happy is of the utmost importance.",Philosophy and teaching,
2002,84,"During a CNN interview in 2002, Maharishi Mahesh Yogi said, ""Transcendental Meditation is something that can be defined as a means to do what one wants to do in a better way, a right way, for maximum results"".",Philosophy and teaching,Transcendental Meditation
1968,50,"Maharishi Mahesh Yogi was also parodied by comedians Bill Dana and Joey Forman in the 1968 comedy album The Mashuganishi Yogi, by actor Cash Oshman in the film Man on the Moon, by comedian Mike Myers in the film The Love Guru,[citation needed] and in the BBC sketch show Goodness Gracious Me.",Characterizations and criticism,In popular culture
2007,89,Maharishi Mahesh Yogi was portrayed by actor Gerry Bednob in the 2007 film Walk Hard: The Dewey Cox Story.Maharishi Mahesh Yogi,Characterizations and criticism,In popular culture
