year,age,event,category1,category2
2009,12,"In early 2009, when Malala Yousafzai was 11, Malala Yousafzai wrote a blog under Malala Yousafzai's pseudonym Gul Makai for the BBC Urdu to detail Malala Yousafzai's life during the Pakistani Taliban's occupation of her native homeland, Swat, where the Pakistani Taliban had at times banned girls from attending school.",summary,
2013,16,"Deutsche Welle reported in January 2013 that Malala Yousafzai may have become ""the most famous teenager in the world's"".",summary,
1997,0,"Malala Yousafzai was born on 12 July 1997 in the Swat District of Pakistan's northwestern Khyber Pakhtunkhwa province, into a lower-middle-class family.",Early life,Childhood
2012,15,"Even if Pakistani Taliban come to kill Malala Yousafzai, Malala Yousafzai will tell Pakistani Taliban what Pakistani Taliban are trying to do is wrong, that education is our basic right.— Malala Yousafzai envisioning a confrontation with Pakistani Taliban 9 October 2012, a Taliban gunman shot Malala Yousafzai as Malala Yousafzai rode home on a bus after taking an exam in Pakistan's Swat Valley.",Murder attempt,
2013,16,"On 3 January 2013, Malala Yousafzai was discharged from the Queen Elizabeth Hospital to continue Malala Yousafzai's rehabilitation at Malala Yousafzai's family's temporary home in the West Midlands, where Malala Yousafzai had weekly physiotherapy.",Murder attempt,Medical treatment
2012,15,"On 15 October 2012, UN Special Envoy for Global Education, Gordon Brown, the former British Prime Minister, visited Malala Yousafzai while Malala Yousafzai was in the hospital, and launched a petition in Malala Yousafzai's name and ""in support of what Malala Yousafzai fought for"".",Murder attempt,United Nations petition
2016,19,"Also applying to Durham University, the University of Warwick and the London School of Economics (LSE), Malala Yousafzai was interviewed at Lady Margaret Hall, Oxford in December 2016 and received a conditional offer of three As in Malala Yousafzai's A‑Levels; in August 2017, Malala Yousafzai was accepted to study Philosophy, Politics and Economics (PPE).In February 2020",Education,
2014,17,"On 10 October 2014, Malala Yousafzai was announced as the co-recipient of the 2014 Nobel Peace Prize for Malala Yousafzai's struggle against the suppression of children and young people and for the right of all children to education.",Continuing activism,Nobel Peace Prize
2014,17,"After Malala Yousafzai was awarded the 2014 Nobel Peace Prize, there was praise, but also some disapproval of the decision.",Continuing activism,Nobel Peace Prize
2019,22,"On 7 August 2019, following the Indian revocation of the special status of Jammu and Kashmir, Malala Yousafzai expressed Malala Yousafzai's concern about the situation and appealed to the international community to ensure peace in Jammu and Kashmir.",Reception,India
2016,19,"In the 2016 action comedy film Zoolander 2, Malala Yousafzai is depicted as dating/marrying the ""next hot model"" Derek Zoolander Jr. (portrayed by Cyrus Arnold), who earlier had been admiring and reading Malala Yousafzai's various autobiographies.",In popular culture,
