year,age,event,category1,category2
1965,40,"On February 21, 1965, Malcolm X was assassinated in New York City.",summary,
1925,0,"Malcolm X was born May 19, 1925, in Omaha, Nebraska, the fourth of seven children of Grenada-born Louise Helen Little (née Langdon) and Georgia-born Earl Little.",Early years,
1946,21,"In 1946, Malcolm X was arrested while picking up a stolen watch Malcolm X had left at a shop for repairs, and in February began serving a sentence of eight to ten years at Charlestown State Prison for larceny and breaking and entering.",Early years,
1948,23,"Malcolm X showed scant interest at first, but after his brother Reginald wrote in 1948, ""Malcolm X, don't eat any more pork and don't smoke any more cigarettes.",Nation of Islam period,Prison
1953,28,"In June 1953, Malcolm X was named assistant minister of the Nation's's Temple Number One in Detroit.",Nation of Islam period,Early ministry
1954,29,"Later that year Malcolm X established Boston's Temple Number 11; in March 1954, Malcolm X expanded Temple Number 12 in Philadelphia; and two months later Malcolm X was selected to lead Temple Number 7 in Harlem, where he rapidly expanded its membershipTemple Number 7 in Harlem, where he rapidly expanded its membership's",Nation of Islam period,Early ministry
1959,34,"Malcolm X's comments on issues and events were being widely reported in print, on radio, and on television, and Malcolm X was featured in a 1959 New York City television broadcast about the Nation of Islam, The Hate That Hate Produced.",Nation of Islam period,Increasing prominence
1960,35,"In September 1960, at the United Nations General Assembly in New York City, Malcolm X was invited to the official functions of several African nations.",Nation of Islam period,Increasing prominence
1961,36,"In 1961, Malcolm X spoke at a NOI rally alongside George Lincoln Rockwell, the head of the American Nazi Party.",Nation of Islam period,Advocacy and teachings while with Nation
1965,40,Malcolm X was interviewed on the subjects of segregation and the Nation of Islam by Robert Penn Warren for Robert Penn Warren's 1965 book Who Speaks for the Negro?,Activity after leaving Nation of Islam,Return to United States
1964,39,"Throughout 1964, as Malcolm X's conflict with the Nation of Islam intensified, Malcolm X was repeatedly threatened.",Death threats and intimidation from Nation of Islam,
1965,40,"On February 21, 1965, Malcolm X was preparing to address the OAAU in Manhattan's Audubon Ballroom when someone in the 400-person audience yelled,""Nigger! Get your hand outta someone in the 400-person audience's pocket!""As",Assassination,
