year,age,event,category1,category2,Name
1925,0,"Margaret Thatcher was born on 13 October 1925 in Grantham, Lincolnshire.",Early life and education,Family and childhood (1925–1943),Margaret Thatcher
1944,19,"In Margaret Thatcher's upper sixth year, Margaret Thatcher was accepted for a scholarship to study chemistry at Somerville College, Oxford, a women's college, starting in 1944.",Early life and education,Family and childhood (1925–1943),Margaret Thatcher
1943,18,"Margaret Thatcher arrived at Oxford in 1943 and graduated in 1947 with a second-class degree in chemistry, after specialising in X-ray crystallography under the supervision of Dorothy Hodgkin.",Early life and education,Oxford (1943–1947),Margaret Thatcher
1950,25,"Margaret Thatcher also received the degree of Master of Arts in 1950 (as an Oxford BA, Margaret Thatcher was entitled to the degree of Master of Arts 21 terms after Margaret Thatcher's matriculation).",Early life and education,Oxford (1943–1947),Margaret Thatcher
1944,19,"Margaret Thatcher was influenced at university by political works such as Friedrich Hayek's The Road to Serfdom (1944), which condemned economic intervention by government as a precursor to an authoritarian state.",Early life and education,Oxford (1943–1947),Margaret Thatcher
1950,25,"Officials of the association the Dartford Conservative Association in Kent, who were looking for candidates were so impressed by Margaret Thatcher that Officials of the association asked Margaret Thatcher to apply, even though Margaret Thatcher was not on the party's approved list; Margaret Thatcher was selected in January 1950 (aged 24) and added to the party's approved list post ante.",Early life and education,Post-Oxford career (1947–1951),Margaret Thatcher
1951,26,"During the campaigns, Margaret Thatcher was supported by Margaret Thatcher's parents and by her future husband Denis Thatcher, whom she married in December 1951.",Early political career,,Margaret Thatcher
1954,29,"In 1954, Margaret Thatcher was defeated when Margaret Thatcher sought selection to be the Conservative Party candidate for the Orpington by-election of January 1955.",Early political career,Member of Parliament (1959–1970),Margaret Thatcher
1958,33,"Afterwards, Margaret Thatcher began looking for a Conservative safe seat and was selected as the candidate for Finchley in April 1958 (narrowly beating Ian Montagu Fraser). Margaret Thatcher was elected as MP for Finchley after a hard campaign in the 1959 election.",Early political career,Member of Parliament (1959–1970),Margaret Thatcher
1970,45,"'s talent and drive caused Margaret Thatcher to be mentioned as a future prime minister in Margaret Thatcher's early 20s although Margaret Thatcher Margaret Thatcher was more pessimistic, stating as late as 1970: ""There will not be a woman prime minister in Margaret Thatcher's lifetime – the male population is too prejudiced.""",Early political career,Member of Parliament (1959–1970),Margaret Thatcher
