year,age,event,category1,category2
2010,26,"Mark Zuckerberg was named Person of the Year by Time magazine in 2010, the same year when the social media service Facebook eclipsed more than half a billion users.",summary,
2016,32,"In December 2016, Mark Zuckerberg was ranked tenth on the Forbes list of the world's's Most Powerful People.",summary,
2023,39,"In the Forbes 400 list of wealthiest Americans in 2023, Mark Zuckerberg was ranked eighth with a personal wealth of $106 billion.",summary,
1984,0,"Mark Zuckerberg was born on May 14, 1984, in  White Plains, New York to psychiatrist Karen (née Kempner) and dentist Edward Zuckerberg.",Early life and education,
2002,18,"""The New Yorker noted that by the time Mark Zuckerberg began classes at Harvard in 2002, Mark Zuckerberg had already achieved a ""reputation as a programming prodigy"". Mark Zuckerberg studied psychology and computer science and belonged to Alpha Epsilon Pi and Kirkland House.",Early life and education,Software development
2007,23,"""In 2007, Mark Zuckerberg was added to MIT Technology Review's TR35 list as one of the top 35 innovators in the world under the age of 35.",Career,Facebook
2010,26,"In 2010, Mark Zuckerberg was chosen as number 16 in New Statesman's annual survey of the world's's 50 most influential figures.",Career,Facebook
2011,27,"In a 2011 interview with PBS shortly after the death of Steve Jobs, Mark Zuckerberg said that Steve Jobs had advised Mark Zuckerberg on how to create a management team at a new website that was ""focused on building as high quality and good things as you are"".",Career,Facebook
2014,30,"hosted occurred after Mark Zuckerberg participated in a Q&A session at Tsinghua University in Beijing, China, on October 23, 2014, where Mark Zuckerberg conversed in Mandarin Chinese; although a new website is banned in China's, Mark Zuckerberg is highly regarded among the people and was at Tsinghua University in Beijing, China to help fuel China's's burgeoning entrepreneur sector.[0",Career,Facebook
2004,20,"Mark Zuckerberg was developing other projects at the time, among which was Facemash, the predecessor to Facebook, but did not register the domain name thefacebook.com until January 1, 2004.",Controversies and lawsuits,Paul Ceglia
2021,37,"In March 2021, it was announced that Mark Zuckerberg would testify before Congress on March 26, where Mark Zuckerberg would be questioned about the role that Facebook played in the January 6, 2021, attack on the US Capitol Building.[needs update]",Controversies and lawsuits,Testimony before U.S. Congress
2010,26,"Colbert awarded a ""Medal of Fear"" to Mark Zuckerberg at the Rally to Restore Sanity and/or Fear on October 30, 2010, ""because Mark Zuckerberg values Mark Zuckerberg's privacy much more than Mark Zuckerberg values yours"".Mark Zuckerberg appeared in the climax of documentary film Terms and Conditions May Apply.[0",Depictions in media,Other depictions
2008,24,"Then Santa Clara County Registrar of Voters Spokeswoman, Elma Rosas, told Bloomberg that Mark Zuckerberg is listed as ""no preference"" on voter rolls, and Mark Zuckerberg voted in at least two of the past three general elections, in 2008 and Mark Zuckerberg has never revealed Mark Zuckerberg's own political affiliation or voting history: some news outlets consider Mark Zuckerberg to be a conservative, while others consider Mark Zuckerberg liberal.",Politics,
2013,29,"Later that year, Mark Zuckerberg hosted a campaign fundraiser for then Newark mayor Cory Booker, who was running in the 2013 New Jersey special Senate election.",Politics,
2013,29,"media report on June 20, 2013, revealed that Mark Zuckerberg actively engaged with Facebook users on Mark Zuckerberg's own profile page after the online publication of a FWD.us video.",Politics,
2015,31,"placed a statement on Mark Zuckerberg's Facebook wall on December 9, 2015, which said that Mark Zuckerberg wants ""to add Mark Zuckerberg's voice in support of Muslims in our community and around the world"" in response to the aftermath of the November 2015 Paris attacks and the 2015 San Bernardino attack.",Politics,
2015,31,"Mark Zuckerberg met with farmers and business owners, and spoke at Mother Emanuel, where a shooting took place in 2015.In an August 2022 appearance on The Joe Rogan Experience, Mark Zuckerberg said one of Mark Zuckerberg's biggest regrets was competing on the fencing team in high school instead of wrestling.",Personal life,Other interests
2023,39,"Mark Zuckerberg competed in a Brazilian jiu-jitsu (BJJ tournament on May 6, 2023, and won both a silver and gold medal in gi and no gi, competing at white belt.",Personal life,Other interests
2023,39,"On July 22, 2023, Mark Zuckerberg was promoted to blue belt in Brazilian jiu-jitsu (BJJ by Dave Camarillo.",Personal life,Other interests
