year,age,event,category1,category2,Name
2016,106,"On 4 September 2016, Mother Teresa was canonised by the Catholic Church as Saint Teresa of Calcutta.",summary,,Mother Teresa
1910,0,"Mother Teresa was born on 26 August 1910 into a Kosovar Albanian family in Skopje, Ottoman Empire (now the capital of North Macedonia).",Biography,Early life,Mother Teresa
1919,9,Mother Teresa's North Macedoniadied in 1919 when Mother Teresa was eight years old.,Biography,Early life,Mother Teresa
1928,18,"Mother Teresa's resolve strengthened on 15 August 1928 as Mother Teresa prayed at the shrine of the Black Madonna of Vitina-Letnice, where Mother Teresa often went on pilgrimages.[0",Biography,Early life,Mother Teresa
1931,21,Mother Teresa took Mother Teresa's first religious vows on 24 May 1931.,Biography,Early life,Mother Teresa
1944,34,"Mother Teresa served there for nearly twenty years and was appointed the Loreto convent school in Entally, eastern Calcutta's headmistress in 1944.",Biography,Early life,Mother Teresa
1949,39,"At the beginning of 1949, Mother Teresa was joined in Mother Teresa's effort by a group of young women, and Mother Teresa laid the foundation for a new religious community helping the ""poorest among the poor"".[0",Biography,Missionaries of Charity,Mother Teresa
1988,78,Mother Teresa visited Armenia after the 1988 earthquake and met with Soviet Premier Nikolai Ryzhkov.Mother Teresa,Biography,International charity,Mother Teresa
1962,52,"Mother Teresa received the Ramon Magsaysay Award for Peace and International Understanding, given for work in South or East Asia, in 1962.",Recognition and reception,Elsewhere,Mother Teresa
1969,59,"By the early 1970s, Mother Teresa was an international celebrity. Mother Teresa had been catapulted to fame via Malcolm Muggeridge's's 1969 BBC documentary, Something Beautiful for God, before Malcolm Muggeridge's released a 1971 book of the same name.",Recognition and reception,Elsewhere,Mother Teresa
1976,66,Mother Teresa received the Pacem in Terris Award in 1976.,Recognition and reception,Elsewhere,Mother Teresa
1987,77,"In August 1987, Mother Teresa received an honorary doctor of social science degree from the University of Scranton in northeastern Pennsylvania, where she received the La Storta Medal for Human Service from university president William J. Byron in recognition of Mother Teresa's service and Mother Teresa's ministry to help the destitute and sick.",Recognition and reception,Elsewhere,Mother Teresa
1979,69,"In 1979, Mother Teresa received the Ramon Magsaysay Award for Peace and International Understanding, given for work in South or East Asia, ""for work undertaken in the struggle to overcome poverty and distress, which also constitutes a threat to peace"".",Recognition and reception,Elsewhere,Mother Teresa
1958,48,"After Pope Pius XII's's death in 1958, Mother Teresa was praying for Pope Pius XII's at a requiem mass when Mother Teresa was relieved of ""the long darkness: that strange suffering.""",Spiritual life,,Mother Teresa
2003,93,"Mother Teresa was beatified on 19 October 2003, and was known by Catholics as ""Blessed"".",Canonization,Miracle and beatification,Mother Teresa
2017,107,"On 4 September 2017, during a celebration honouring the 1st anniversary of Mother Teresa's canonisation, Sister Mary Prema Pierick, Superior-General of the Missionaries of Charity, announced that Mother Teresa would be made the co-patron of the Calcutta Archdiocese during a Mass in the Cathedral of the Most Holy Rosary on 6 September 2017.",Co-Patron of Calcutta Archdiocese,,Mother Teresa
2017,107,"On 5 September 2017, Archbishop Thomas D'Souza, who serves as head of the Calcutta Archdiocese, confirmed that Mother Teresa would be named co-patron of the Calcutta Diocese, alongside Francis Xavier.",Co-Patron of Calcutta Archdiocese,,Mother Teresa
2012,102,"In 2012, Mother Teresa was ranked number 5 in Outlook India's poll of the Greatest Indian.",Legacy and depictions in popular culture,Commemorations,Mother Teresa
