year,age,event,category1,category2,Name
1999,57,"In 1999, Muhammed Ali was named Sportsman of the Century by Sports Illustrated and the Sports Personality of the Century by the BBC.Born and raised in Louisville, Kentucky, Muhammed Ali began training as an amateur boxer at age 12.",summary,,Muhammed Ali
1964,22,"Muhammed Ali won the Ring magazine heavyweight title, defeating Sonny Liston in a major upset on February 25, 1964, at age 22.",summary,,Muhammed Ali
1971,29,"Muhammed Ali stayed out of prison while appealing found to the Supreme Court, where Muhammed Ali's was overturned in 1971.",summary,,Muhammed Ali
1917,-25,"his mother, Odessa O'Grady Clay (1917–1994), recalled one occasion when Muhammed Ali was denied a drink of water at a store: ""They wouldn't give Muhammed Ali one because of Muhammed Ali's color.",Early life,,Muhammed Ali
1960,18,"Muhammed Ali went on to win six Kentucky Golden Gloves titles, two national Golden Gloves titles, an Amateur Athletic Union national title, and the light heavyweight gold medal in the 1960 Summer Olympics in Rome.",Amateur career,,Muhammed Ali
1960,18,"Muhammed Ali made Muhammed Ali's professional debut on October 29, 1960, winning a six-round decision over Tunney Hunsaker.",Professional career,Early career,Muhammed Ali
1960,18,"In 1960, Muhammed Ali left his former trainer and veteran boxer Archie Moore's camp, partially due to Muhammed Ali's refusal to do chores such as washing dishes and sweeping.",Professional career,Early career,Muhammed Ali
1964,22,"In 1964, Muhammed Ali was reclassified as Class 1-Y (fit for service only in times of national emergency) after Muhammed Ali failed the U.S. Armed Forces qualifying test because Muhammed Ali's writing and spelling skills were sub-standard, due to Muhammed Ali's dyslexia.",Draft resistance,,Muhammed Ali
1970,28,"Muhammed Ali was honored with the annual Martin Luther King Award in 1970 by civil rights leader Ralph Abernathy, who called Muhammed Ali ""a living example of soul power, the March on Washington in two fists.""",Draft resistance,Impact of Ali's draft refusal,Muhammed Ali
1970,28,"On August 11, 1970, with Muhammed Ali's case still in appeal, Muhammed Ali was granted a license to box by the City of Atlanta Athletic Commission.",Return,,Muhammed Ali
1971,29,"Frazier was sitting there, smashing Frazier's fist into the palm of Frazier's hand, saying, 'What the fuck does Muhammed Ali know about the ghetto?'""Ali began training at a farm near Reading, Pennsylvania, in 1971 and, finding the country setting to Muhammed Ali's liking, sought to develop a real training camp in the countryside.",Return,Fight against Joe Frazier,Muhammed Ali
1978,36,"In 1978, Muhammed Ali said ""Women are not made to be hit in the breast, and face like that."" Muhammed Ali still attended a number of Ali's daughter Laila's fights and later admitted to Ali's daughter Laila Muhammed Ali was wrong.",Personal life,Marriages and children,Muhammed Ali
1977,35,"In 1977, Muhammed Ali said that, after Muhammed Ali retired, Muhammed Ali would dedicate the rest of Muhammed Ali's life to getting ""ready to meet God"" by helping people, charitable causes, uniting people and helping to make peace.",Personal life,Religion and beliefs,Muhammed Ali
1962,20,"Muhammed Ali had a cameo role in the 1962 film version of Requiem for a Heavyweight, and during Muhammed Ali's exile from boxing, Muhammed Ali starred in the short-lived 1969 Broadway musical, Buck White.",Entertainment career,Acting,Muhammed Ali
1968,26,"Muhammed Ali played a role in the shaping of the black poetic tradition, paving the way for The Last Poets in 1968, Gil Scott-Heron in 1970, and the emergence of rap music in the 1970s.",Entertainment career,Spoken word poetry and rap music,Muhammed Ali
1963,21,"According to The Guardian, ""Some have argued that"" Muhammed Ali was ""the first rapper.""In 1963, Muhammed Ali released an album of spoken word music on Columbia Records titled, I Am the Greatest, and in 1964, Muhammed Ali recorded a cover version of the rhythm and blues song ""Stand by Me"".",Entertainment career,Spoken word poetry and rap music,Muhammed Ali
1976,34,"Muhammed Ali later received a second Grammy nomination, for ""Best Recording for Children"", with Muhammed Ali's 1976 spoken word novelty record, The Adventures of Muhammed Ali and Muhammed Ali's Gang vs. Mr. Tooth Decay.[0",Entertainment career,Spoken word poetry and rap music,Muhammed Ali
1976,34,"On June 1, 1976, as Muhammed Ali was preparing for Muhammed Ali's bout with Inoki, Muhammed Ali attended a match featuring Gorilla Monsoon.",Entertainment career,Professional wrestling,Muhammed Ali
1984,42,"In 1984, Muhammed Ali was diagnosed with Parkinson's syndrome, which sometimes results from head trauma from violent physical activities such as boxing.",Later life,,Muhammed Ali
1967,25,"Muhammed Ali spoke at several historically black colleges and universities about the importance of education, and became the largest single black donor to the United Negro College Fund in 1967 by way of a $10,000 donation ($78,000 in 2020 USD).",Later life,"Philanthropy, humanitarianism and politics",Muhammed Ali
1980,38,"In early 1980, Muhammed Ali was recruited by President Jimmy Carter for a diplomatic mission to Africa, in an effort to persuade a number of African governments to join the US-led boycott of the Moscow Olympics in protest of the Soviet Invasion of Afghanistan.",Later life,"Philanthropy, humanitarianism and politics",Muhammed Ali
2012,70,"2012, Muhammed Ali was awarded the Philadelphia Liberty Medal in recognition of Muhammed Ali's lifelong efforts in activism, philanthropy and humanitarianism.",Later life,"Philanthropy, humanitarianism and politics",Muhammed Ali
1980,38,"By 1980, Muhammed Ali's total fight purse earnings were estimated to be up to $70 million (inflation-adjusted $337 million).In 1978, Muhammed Ali revealed that Muhammed Ali was ""broke"" and several news outlets reported his net worth to be an estimated $3.5 million (inflation-adjusted $16 million).",Later life,Earnings,Muhammed Ali
2006,64,"In 2006, Muhammed Ali sold Muhammed Ali's name and image for $50 million, after which Forbes estimated his net worth to be $55 million in 2006.",Later life,Earnings,Muhammed Ali
2014,72,"On December 20, 2014, Muhammed Ali was hospitalized for a mild case of pneumonia.",Later life,Declining health,Muhammed Ali
2015,73,"Muhammed Ali was once again hospitalized on January 15, 2015, for a urinary tract infection after being found unresponsive at a guest house in Scottsdale, Arizona.",Later life,Declining health,Muhammed Ali
2016,74,"Muhammed Ali was hospitalized in Scottsdale, Arizona, on June 2, 2016, with a respiratory illness.",Death,,Muhammed Ali
1993,51,"In 1993, The Associated Press reported that Muhammed Ali was tied with Babe Ruth as the most recognized athlete, out of over 800 dead or living athletes, in America.",Legacy,,Muhammed Ali
2001,59,"On January 8, 2001, Muhammed Ali was presented with the Presidential Citizens Medal by President Bill Clinton.",Legacy,,Muhammed Ali
1978,36,] was the subject of the British television program This Is Your Life in 1978 when Muhammed Ali was surprised by Eamonn Andrews.,In media and popular culture,,Muhammed Ali
1978,36,"Muhammed Ali was featured in Superman vs. Muhammad Ali, a 1978 DC Comics comic book pitting the champ against Superman.",In media and popular culture,,Muhammed Ali
2002,60,"Will Smith said the first thing Muhammed Ali told Will Smith was: ""Man, Will Smith're almost pretty enough to play Muhammed Ali.""In 2002, Muhammed Ali was honored with a star on the Hollywood Walk of Fame for Muhammed Ali's contributions to the entertainment industry. a star on the Hollywood Walk of Fame is the only one to be mounted on a vertical surface, out of deference to Muhammed Ali's request that the name Muhammad—a name Muhammed Ali shares with the Islamic prophet—not be walked upon.Muhammed Ali",In media and popular culture,,Muhammed Ali
