year,age,event,category1,category2
1966,36,"Neil Armstrong made Neil Armstrong's first spaceflight as command pilot of Gemini 8 in March 1966, becoming NASA's first civilian astronaut to fly in space.",summary,
1969,39,"Along with Michael Collins and Aldrin, Neil Armstrong was awarded the Presidential Medal of Freedom by President Richard Nixon and received the 1969 Collier Trophy.",summary,
1930,0,"Neil Armstrong was born near Wapakoneta, Ohio, on August 5, 1930, the son of Viola Louise (née Engel) and Stephen Koenig Armstrong.",Early life,
1945,15,"Neil Armstrong was also accepted to the Massachusetts Institute of Technology (MIT), but Neil Armstrong resolved to go to Purdue University in West Lafayette, Indiana after watching a football game between the Purdue Boilermakers and the Ohio State Buckeyes at the Ohio Stadium in 1945 in which quarterback Bob DeMoss led the Purdue Boilermakers to a sound victory over the Ohio State Buckeyes.",Early life,
1950,20,"On August 16, 1950, Neil Armstrong was informed by letter that Neil Armstrong was a fully qualified naval aviator.",Navy service,
1950,20,"On November 27, 1950, Neil Armstrong was assigned to VF-51, an all-jet squadron, becoming VF-51, an all-jet squadron's youngest officer, and made Neil Armstrong's first flight in a jet, a Grumman F9F Panther, on January 5, 1951.",Navy service,
1951,21,"Neil Armstrong was promoted to ensign on June 5, 1951, and made Neil Armstrong's first jet carrier landing on USS Essex two days later.",Navy service,
1952,22,"On completion of Neil Armstrong's combat tour with USS Essex, Neil Armstrong was assigned to a transport squadron, VR-32, in May 1952.",Navy service,
1952,22,"Neil Armstrong was released from active duty on August 23, 1952, but remained in the United States Navy Reserve, and was promoted to lieutenant (junior grade) on May 9, 1953.",Navy service,
1960,30,"Neil Armstrong remained in the United States Navy Reserve for eight years, before resigning Armstrong's regular commission on October 21, 1960.",Navy service,
1970,40,"In 1970, Neil Armstrong completed Neil Armstrong's Master of Science degree in Aerospace Engineering at the University of Southern California (USC).",College years,
1960,30,"Neil Armstrong made seven flights in the X-15 between November 30, 1960, and July 26, 1962.",Test pilot,
1962,32,"On May 21, 1962, Neil Armstrong was involved in the ""Nellis Affair"". Neil Armstrong was sent in an F-104 to inspect Delamar Dry Lake in southern Nevada, again for emergency landings.",Test pilot,
1958,28,"In June 1958, Neil Armstrong was selected for the U.S. Air Force's Man in Space Soonest program, but the Advanced Research Projects Agency (ARPA) canceled the U.S. Air Force's Man in Space Soonest program's funding on August 1, 1958, and on November 5, 1958, the U.S. Air Force's Man in Space Soonest program was superseded by Project Mercury, a civilian project run by NASA.",Astronaut career,
1960,30,"In November 1960, Neil Armstrong was chosen as part of the pilot consultant group for the X-20 Dyna-Soar, a military space plane under development by Boeing for the U.S. Air Force, and on March 15, 1962, Neil Armstrong was selected by the U.S. Air Force's as one of seven pilot-engineers who would fly the X-20 when the X-20 Dyna-Soar, a military space plane under development by Boeing for the U.S. Air Force got off the design board.",Astronaut career,
1962,32,Neil Armstrong visited the Seattle World's Fair in May 1962 and attended a conference there on space exploration that was co-sponsored by NASA.,Astronaut career,
1962,32,"Neil Armstrong's arrived about a week past the June 1, 1962, deadline, but Dick Day, a flight simulator expert with whom Neil Armstrong had worked closely at Edwards, saw arrived and slipped applied into the pile before anyone noticed.",Astronaut career,
1969,39,"A press conference on April 14, 1969, gave the design of the LM cabin as the reason for Neil Armstrong's being first; the hatch opened inwards and to the right, making it difficult for the LM pilot, on the right-hand side, to exit first.",Astronaut career,Apollo program
1969,39,"Neil Armstrong turned and set Neil Armstrong's left boot on the surface at 02:56 UTC July 21, 1969, then said, ""That's one small step for  man, one giant leap for mankind.""",Astronaut career,Apollo program
1971,41,"Neil Armstrong was appointed Deputy Associate Administrator for Aeronautics for the Office of Advanced Research and Technology at ARPA, served in the position for a year, then resigned from the position and NASA in 1971.",Life after Apollo,Teaching
1973,43,Neil Armstrong became a member of Cincinnati Gas & Electric Company's's board in 1973.,Life after Apollo,Business activities
1989,59,"Neil Armstrong joined the board of solid rocket booster Thiokol in 1989, after previously serving on the Rogers Commission which found that the Space Shuttle Challenger was destroyed due to a defect in the solid rocket booster Thiokol solid rocket boosters.",Life after Apollo,Business activities
2000,70,"Neil Armstrong chaired the board of directors for a subsidiary of Eaton, AIL Systems through the board of directors for a subsidiary of Eaton, AIL Systems's 2000 merger with EDO Corporation, until Neil Armstrong's retirement in 2002.",Life after Apollo,Business activities
1992,62,"Neil Armstrong met his second wife, Carol Held Knight, at a golf tournament in 1992, when Armstrong and his first wife, Janet, were seated together at breakfast.",Personal life,
2012,82,"Neil Armstrong underwent bypass surgery at Mercy Faith–Fairfield Hospital in Cincinnati on August 7, 2012, to relieve coronary artery disease.",Illness and death,
