year,age,event,category1,category2,Name
1927,0,Pope Benedict XVI (Latin: Benedictus PP. XVI; Italian: Benedetto XVI; German: Benedikt XVI; born Joseph Aloisius Ratzinger; 16 April 1927 – 31 December 2022) was the head of the Catholic Church and sovereign of the Vatican City State from 19 April 2005 until his resignation on 28 February 2013.,summary,,Pope Benedict XVI
1968,41,Pope Benedict XVI was originally a liberal theologian but adopted conservative views after 1968.,summary,,Pope Benedict XVI
1927,0,"Pope Benedict XVI was born on 16 April, Holy Saturday, 1927 at Schulstraße 11 at 8:30 in the morning in Pope Benedict XVI's parents' home in Marktl, Bavaria, Germany.",Early life: 1927–1951,,Pope Benedict XVI
1927,0,"Pope Benedict XVI was baptised 16 April, Holy Saturday, 1927.",Early life: 1927–1951,,Pope Benedict XVI
1941,14,"Following Pope Benedict XVI's 14th birthday in 1941, Pope Benedict XVI was conscripted into the Hitler Youth – as membership was required by law for all 14-year-old German boys after March 1939 – but was an unenthusiastic member who refused to attend meetings, according to his brother.",Early life: 1927–1951,Wartime and ordination,Pope Benedict XVI
1943,16,"In 1943, while still in seminary, Pope Benedict XVI was drafted into the German anti-aircraft corps as Luftwaffenhelfer.",Early life: 1927–1951,Wartime and ordination,Pope Benedict XVI
1945,18,"As a German soldier, Pope Benedict XVI was interned in US prisoner of war camps, first in Neu-Ulm, then at Fliegerhorst Bad Aibling (shortly to be repurposed as Bad Aibling Station) where Pope Benedict XVI was at the time of Victory in Europe Day, and released on 19 June 1945.Ratzinger and his brother Georg entered Saint Michael Seminary in Traunstein in November 1945, later studying at the Ducal Georgianum (Herzogliches Georgianum) of the Ludwig Maximilian University in Munich.",Early life: 1927–1951,Wartime and ordination,Pope Benedict XVI
1946,19,"In Pope Benedict XVI's early twenties, Pope Benedict XVI was deeply influenced by the thought of Italian German Romano Guardini, who taught in Munich from 1946 to 1951 when Ratzinger was studying in Freising and later at the University of Munich.",Early life: 1927–1951,Encounter with Romano Guardini,Pope Benedict XVI
1951,24,"Pope Benedict XVI began as assistant pastor (curate) at the parish St. Martin, Moosach, in Munich in 1951.",Pre-papal career: 1951–2005,Academic career: 1951–1977,Pope Benedict XVI
1959,32,"Pope Benedict XVI became a professor at the University of Bonn in 1959, with Pope Benedict XVI's inaugural lecture on ""The God of Faith and the God of Philosophy"".",Pre-papal career: 1951–2005,Academic career: 1951–1977,Pope Benedict XVI
1962,35,"Pope Benedict XVI was viewed during the time of the Second Vatican Council (1962–1965) as a reformer, cooperating with theologians like Hans Küng and Edward Schillebeeckx.",Pre-papal career: 1951–2005,Academic career: 1951–1977,Pope Benedict XVI
1966,39,"In 1966, Pope Benedict XVI was appointed to a chair in dogmatic theology at the University of Tübingen, where he was a colleague of Hans Küng.",Pre-papal career: 1951–2005,Academic career: 1951–1977,Pope Benedict XVI
1976,49,"In 1976, Pope Benedict XVI suggested that the Augsburg Confession might be recognised as a Catholic statement of faith.",Pre-papal career: 1951–2005,Academic career: 1951–1977,Pope Benedict XVI
1976,49,Pope Benedict XVI served as vice-president of the University of Regensburg from 1976 to 1977.,Pre-papal career: 1951–2005,Academic career: 1951–1977,Pope Benedict XVI
1976,49,"On 26 May 1976, Pope Benedict XVI was appointed a Prelate of Honour of His Holiness.",Pre-papal career: 1951–2005,Academic career: 1951–1977,Pope Benedict XVI
1977,50,"On 24 March 1977, Pope Benedict XVI was appointed Archbishop of Munich and Freising, and was ordained a bishop on 28 May.",Pre-papal career: 1951–2005,Archbishop of Munich and Freising: 1977–1982,Pope Benedict XVI
1977,50,"In the consistory of 27 June 1977, Pope Benedict XVI was named Cardinal Priest of Santa Maria Consolatrice al Tiburtino by Pope Paul VI.",Pre-papal career: 1951–2005,Archbishop of Munich and Freising: 1977–1982,Pope Benedict XVI
1982,55,"Consequently, Pope Benedict XVI resigned from Pope Benedict XVI's post in Munich in early 1982.",Pre-papal career: 1951–2005,Prefect of the Congregation for the Doctrine of the Faith: 1981–2005,Pope Benedict XVI
1993,66,Pope Benedict XVI was promoted within the College of Cardinals to become Cardinal Bishop of Velletri-Segni in 1993 and was made the College of Cardinals's vice-dean in 1998 and dean in 2002.,Pre-papal career: 1951–2005,Prefect of the Congregation for the Doctrine of the Faith: 1981–2005,Pope Benedict XVI
1997,70,"In 1997, when Pope Benedict XVI turned 70, Pope Benedict XVI asked Pope John Paul II for permission to leave the Sacred Congregation for the Doctrine of the Faith, formerly known as the ""Sacred Congregation of the Holy Office"", the historical Roman Inquisition and to become an archivist in the Vatican Secret Archives and a librarian in the Vatican Library, but Pope John Paul II refused Pope Benedict XVI's assent.Pope Benedict XVI engaged in a dialogue with critical theorist Jürgen Habermas in 2004, published three years later by Ignatius Press.[non-primary source needed]",Pre-papal career: 1951–2005,Prefect of the Congregation for the Doctrine of the Faith: 1981–2005,Pope Benedict XVI
2005,78,"In April 2005, before Pope Benedict XVI's election as pope, Pope Benedict XVI was identified as one of the 100 most influential people in the world by Time.",Papacy: 2005–2013,Election to the papacy,Pope Benedict XVI
2005,78,"On 19 April 2005, Pope Benedict XVI was elected on the second day after four ballots.",Papacy: 2005–2013,Election to the papacy,Pope Benedict XVI
2010,83,"On 19 September 2010, during Pope Benedict XVI's visit to the United Kingdom, Pope Benedict XVI personally proclaimed the beatification of John Henry Newman.",Papacy: 2005–2013,Tone of papacy,Pope Benedict XVI
2005,78,"""Continuing what Pope Benedict XVI said in the pre-conclave Mass about what Pope Benedict XVI often referred to as the ""central problem of our faith today"", on 6 June 2005, Pope Benedict XVI also said:today, a particularly insidious obstacle to the task of education is the massive presence in our society and culture of that relativism which, recognising nothing as definitive, leaves as the ultimate criterion only the self with its desires.",Papacy: 2005–2013,Teachings,Pope Benedict XVI
2000,73,"a document approved by Benedict XVI has been seen as restating ""key sections of a 2000 text Pope Benedict XVI wrote when Pope Benedict XVI was prefect of the Congregation for the Doctrine of the Faith, Dominus Iesus.Pope Benedict XVI condemned excessive consumerism, especially among youth.",Papacy: 2005–2013,Teachings,Pope Benedict XVI
2009,82,"On Thursday, 24 December 2009, while Pope Benedict XVI was proceeding to the altar to celebrate Christmas Eve Mass at St. Peter's Basilica, a woman later identified as 25-year-old Susanna Maiolo, who holds Italian and Swiss citizenship, jumped the barrier and grabbed Pope Benedict XVI by Pope Benedict XVI's vestments and pulled Pope Benedict XVI to the ground.",Papacy: 2005–2013,Apostolic ministry,Pope Benedict XVI
2005,78,"Prior to his election as pope in 2005, Pope Benedict XVI had hoped to retire – on account of age-related health problems, a long-held desire to have free time to write, and the retirement age for bishops (75) – and submitted Pope Benedict XVI's resignation as Prefect of the Congregation for the Doctrine of the Faith three times, but continued at Pope Benedict XVI's post in obedience to the wishes of John Paul II.",Papacy: 2005–2013,Health,Pope Benedict XVI
2009,82,"On 17 July 2009, Pope Benedict XVI was hospitalized after falling and breaking Pope Benedict XVI's right wrist while on vacation in the Alps; Pope Benedict XVI's injuries were reported to be minor.",Papacy: 2005–2013,Health,Pope Benedict XVI
2005,78,"Following the announcement of Pope Benedict XVI's resignation, the Vatican revealed that Pope Benedict XVI had been fitted with a pacemaker while Pope Benedict XVI was still a cardinal, before his election as pope in 2005.",Papacy: 2005–2013,Health,Pope Benedict XVI
2013,86,"Pope Benedict XVI was succeeded by Cardinal Jorge Mario Bergoglio, who took the papal name of Francis on 13 March 2013.On the eve of the first anniversary of Pope Benedict XVI's Pope Benedict XVI wrote to La Stampa to deny speculation Pope Benedict XVI had been forced to step down.",Papacy: 2005–2013,Resignation,Pope Benedict XVI
2013,86,"Pope Benedict XVI stayed there until refurbishment was completed on Pope Benedict XVI's retirement home, the Mater Ecclesiae Monastery in the Vatican Gardens near St. Peter's, former home of twelve nuns, where Pope Benedict XVI moved on 2 May 2013.After Pope Benedict XVI's , Pope Benedict XVI retained Pope Benedict XVI's papal name rather than reverting to Pope Benedict XVI's birth name.",Pope emeritus: 2013–2022,,Pope Benedict XVI
2015,88,"The library section dedicated to his life and thought includes books by or about Pope Benedict XVI and Pope Benedict XVI's studies, many donated by Pope Benedict XVI.Pope Benedict XVI, in August 2015, submitted a handwritten card to act as a testimony to the cause of canonization of Pope John Paul I.In March 2016, Pope Benedict XVI gave an interview expressing Pope Benedict XVI's views on mercy and endorsing Pope Francis's stress on mercy in Pope Francis's pastoral practice.",Pope emeritus: 2013–2022,,Pope Benedict XVI
2016,89,"Also March 2016, a Vatican spokesman stated that Pope Benedict XVI was ""slowly, serenely fading"" in Pope Benedict XVI's physical health, although Pope Benedict XVI's mental capacity remained ""perfectly lucid"".[0",Pope emeritus: 2013–2022,,Pope Benedict XVI
2023,96,"Pope Benedict XVI's took place on 5 January 2023 in St. Peter's's Square at 9:30 am, presided over by Pope Francis and celebrated by Cardinal Giovanni Battista Re.",Death and funeral,Funeral,Pope Benedict XVI
1983,56,"Moreover, according to the 1983 Code of Canon Law, Pope Benedict XVI was also bishop emeritus of Rome, retaining the sacred character received at Pope Benedict XVI's ordination as a bishop and receiving the title of emeritus of Pope Benedict XVI's diocese; although Pope Benedict XVI did not use this style.",Titles and styles,,Pope Benedict XVI
2009,82,Pope Benedict XVI met with Vietnamese president Nguyễn Minh Triết on 11 December 2009.,Positions on morality and politics,International relations,Pope Benedict XVI
