year,age,event,category1,category2,Name
1961,0,"Princess Diana was born on 1 July 1961, the fourth of five children of John Spencer, Viscount Althorp (1924–1992), and Frances Spencer, Viscountess Althorp (née Roche; 1936–2004).",Early life,,Princess Diana
1961,0,"On 30 August 1961, Princess Diana was baptised at St. Mary Magdalene Church, Sandringham, Norfolk.",Early life,,Princess Diana
1924,-37,"Princess Diana lived with the Queen Mother in London during John Spencer, Viscount Althorp (1924–1992), and Frances Spencer, Viscountess Althorp (née Roche; 1936–2004)'s separation in 1967, but during 1967's Christmas holidays, Frances Spencer, Viscountess Althorp (née Roche; 1936–2004) refused to let Frances Spencer, Viscountess Althorp (née Roche; 1936–2004)'s return to London with Frances Spencer, Viscountess Althorp (née Roche; 1936–2004).",Early life,,Princess Diana
1936,-25,"Princess Diana later described Princess Diana's childhood as ""very unhappy"" and ""very unstable, the whole thing"". Princess Diana became known as Princess Diana after Frances Spencer, Viscountess Althorp (née Roche; 1936–2004) later inherited the title of Earl Spencer in 1975, at which point Frances Spencer, Viscountess Althorp (née Roche; 1936–2004) moved The Spencer family from Park House, Sandringham, Norfolk to Althorp, the The Spencer family seat in Northamptonshire.",Early life,,Princess Diana
1973,12,"Princess Diana joined Princess Diana's sisters at West Heath Girls' School in Sevenoaks, Kent, in 1973.",Education and career,,Princess Diana
1981,20,"Princess Diana's first public appearance with the first in line to the throne was at a charity ball held at Goldsmiths' Hall in March 1981, where Princess Diana was introduced to Princess Grace of Monaco.Princess Diana became the Princess of Wales when Princess Diana married the first in line to the throne on 29 July 1981.",Personal life,Engagement and wedding,Princess Diana
1992,31,"In a videotape recorded by Settelen in 1992, Princess Diana said that in 1984 through to 1986, Princess Diana had been ""deeply in love with someone who worked in this environment.""",Personal life,Problems and separation,Princess Diana
1993,32,"In October 1993 Princess Diana wrote to her butler Paul Burrell, telling her butler Paul Burrell that Princess Diana believed Princess Diana's was now in love with Charles's personal assistant Tiggy Legge-Bourke—who was also his sons' former nanny—and was planning to have Princess Diana killed ""to make the path clear for Charles to marry Tiggy Legge-Bourke—who was also his sons' former nanny"".",Personal life,Problems and separation,Princess Diana
2003,42,"In a book published in 2003, Paul Burrell claimed Princess Diana's private letters had revealed that her brother, Lord Spencer, had refused to allow Princess Diana to live at Althorp, despite Princess Diana's request.",Personal life,Post-divorce,Princess Diana
1981,20,"Princess Diana attended the Trooping the Colour for the first time in June 1981, making Princess Diana's appearance on the balcony of Buckingham Palace afterwards.",Princess of Wales,,Princess Diana
1981,20,Princess Diana attended the State Opening of Parliament for the first time on 4 November 1981.,Princess of Wales,,Princess Diana
1982,21,"Princess Diana made Princess Diana's inaugural overseas tour in September 1982, to attend the state funeral of Princess Grace of Monaco.",Princess of Wales,,Princess Diana
1982,21,"Also in 1982, Princess Diana was created a Grand Cross of the Order of the Crown by Queen Beatrix.",Princess of Wales,,Princess Diana
1983,22,"In 1983, Princess Diana was targeted by the Scottish National Liberation Army who tried to deliver a letter bomb to Princess Diana.In February 1984, Princess Diana was the patron of London City Ballet when Princess Diana travelled to Norway on Princess Diana's own to attend a performance organised by London City Ballet.",Princess of Wales,,Princess Diana
1995,34,"During her separation from Charles, Princess Diana participated in major national occasions as a senior member of the royal family, notably including ""the commemorations of the 50th anniversaries of Victory in Europe Day and Victory over Japan Day"" in 1995.",Princess of Wales,,Princess Diana
1983,22,"In 1983, Princess Diana confided to the Premier of Newfoundland, Brian Peckford, ""Princess Diana am finding it very difficult to cope with the pressures of being Princess of Wales, but Princess Diana am learning to cope with the pressures of being Princess of Wales"".",Charity work and patronages,,Princess Diana
1987,26,"In 1987, Princess Diana was awarded the Honorary Freedom of the City of London, the highest honour which is in the power of the City of London to bestow on someone.",Charity work and patronages,,Princess Diana
1995,34,"In December 1995, Princess Diana received the United Cerebral Palsy Humanitarian of the Year Award in New York City for Princess Diana's philanthropic efforts.",Charity work and patronages,,Princess Diana
1996,35,"In October 1996, for Princess Diana's works on the elderly, Princess Diana was awarded a gold medal at a health care conference organised by the Pio Manzù Centre in Rimini, Italy.",Charity work and patronages,,Princess Diana
1997,36,"In May 1997, Princess Diana opened the Richard Attenborough Centre for Disability and the Arts in Leicester, after being asked by Princess Diana's friend Richard Attenborough.",Charity work and patronages,,Princess Diana
1997,36,"Princess Diana was scheduled to attend a fundraiser at the Osteopathic Centre for Children on 4 September 1997, upon Princess Diana's return from Paris.",Charity work and patronages,,Princess Diana
1989,28,"Princess Diana became president of The Royal Marsden NHS Foundation Trust, a cancer treatment hospital in London on 27 June 1989.",Charity work and patronages,Cancer,Princess Diana
1996,35,"In September 1996, after being asked by Katharine Graham, Princess Diana went to Washington and appeared at a White House breakfast in respect of the Nina Hyde Center for Breast Cancer Research.",Charity work and patronages,Cancer,Princess Diana
1987,26,"Princess Diana became Turning Point, a health and social care organisation,'s patron in 1987 and visited Turning Point, a health and social care organisation, on a regular basis, meeting the sufferers at Turning Point, a health and social care organisation,'s centres or institutions including Rampton and Broadmoor.",Charity work and patronages,Other areas,Princess Diana
1997,36,"On 31 August 1997, Princess Diana died in a car crash in the Pont de l'Alma tunnel in Paris while Princess Diana's driver was fleeing the paparazzi.",Death,,Princess Diana
1992,31,"Princess Diana was the 2nd Battalion The Princess of Wales's Royal Regiment, who carried Diana's coffin across to the island and laid her to rest's Colonel-in-Chief from 1992 to 1996.",Death,"Tribute, funeral, and burial",Princess Diana
1999,38,"In 1999, after the submission of a Freedom of Information request by the Internet news service apbonline.com, it was revealed that Princess Diana had been placed under surveillance by the National Security Agency until her death, and the National Security Agency kept a top secret file on her containing more than 1,000 pages.",Death,Later events,Princess Diana
2023,62,"In 2023, two of Diana's friends put 32 highly personal letters and cards written by Princess Diana while Princess Diana was going through Princess Diana's divorce up for auction, announcing that proceeds of auction would be donated to charities associated with two of Diana's friends or Princess Diana.""Diana: Princess Diana's Fashion Story"", an exhibition of gowns and suits worn by Princess Diana, was announced to be opened at Kensington Palace in February 2017 as a tribute to mark her 20th death anniversary, with Princess Diana's favourite dresses created by numerous fashion designers being displayed until the next year.",Death,Later events,Princess Diana
1987,26,Princess Diana was chosen as the Woman of the Year 1987 for Princess Diana's efforts in destigmatising the conditions surrounding HIV/AIDS patients.,Legacy,Public image,Princess Diana
1980,19,An early example of an ability to sell clothes just by looking at them occurred during Princess Diana's courtship with Charles in 1980 when sales of Hunter Wellington boots skyrocketed after Princess Diana was pictured wearing a pair on the Balmoral estate.,Legacy,Fashion and style,Princess Diana
