year,age,event,category1,category2
1948,25,"As an actor, Richard Attenborough is best remembered for Richard Attenborough's film roles in Brighton Rock (1948), I'm All Right Jack (1959), The Great Escape (1963), The Sand Pebbles (1966), Doctor Dolittle (1967), 10 Rillington Place (1971), Jurassic Park (1993), and Miracle on 34th Street (1994).",summary,
1969,46,"For Richard Attenborough's directorial debut, 1969's Oh! What a Lovely War, Richard Attenborough was nominated for the the British Academy of Film and Television Arts (BAFTA) Award for Best Direction, and Richard Attenborough was nominated for Richard Attenborough's films Young Winston, A Bridge Too Far, and Cry Freedom.",summary,
1983,60,Richard Attenborough won two Academy Awards for Gandhi in 1983: Best Picture and Best Director.,summary,
1923,0,"Richard Attenborough was born on 29 August 1923 in Cambridge, the eldest of three sons of Mary Attenborough (née Clegg), a founding member of the Marriage Guidance Council, and Frederick Levi Attenborough, a scholar and academic administrator who was a fellow at Emmanuel College, Cambridge, and wrote a standard text on Anglo-Saxon law.",Early life,
1939,16,Richard Attenborough was educated at Wyggeston Grammar School for Boys in Leicester and studied at RADA.In September 1939,Early life,
1945,22,"After initial pilot training, Richard Attenborough was seconded to the newly formed Royal Air Force Film Production Unit at Pinewood Studios, under the command of Flight Lieutenant John Boulting (whose brother Peter Cotes later directed Richard Attenborough in the play The Mousetrap) where Richard Attenborough appeared with Edward G. Robinson in the propaganda film Journey Together (1945).",Early life,
1964,41,"During the 1960s, Richard Attenborough expanded Richard Attenborough's range of character roles in films such as Séance on a Wet Afternoon (1964) and Guns at Batasi (1964), for which Richard Attenborough won the BAFTA Award for Best Actor for Richard Attenborough's portrayal of Regimental Sergeant Major Lauderdale.",Acting career,
1985,62,Richard Attenborough was nominated for a Golden Globe Award for Best Director for the screen version of the musical A Chorus Line (1985) and the anti-apartheid drama Cry Freedom (1987).,Producer and director,
2004,81,"After 33 years of dedicated service as President of the Muscular Dystrophy campaign, Richard Attenborough became the Muscular Dystrophy campaign's Honorary Life President in 2004.",Later projects,
2004,81,Richard Attenborough founded the Jane Holland Creative Centre for Learning at Waterford Kamhlaba in Swaziland in memory of Richard Attenborough's daughter who died in the tsunami on 26 December 2004.He,Later projects,
2006,83,"Richard Attenborough said in an interview in 2006 that ""Richard Attenborough could understand his hero the political theorist and revolutionary Thomas Paine, whom he called ""one of the finest men that ever lived"".",Later projects,
2008,85,"In 2008, Richard Attenborough was appointed Life President of Chelsea Football Club.",Personal life,
2008,85,"In 2008, Richard Attenborough published an informal autobiography entitled Entirely Up to You, Darling in association with Richard Attenborough's colleague Diana Hawkins.",Personal life,
2009,86,"In November 2009, Richard Attenborough, in what Richard Attenborough called a ""house clearance"" sale, sold part of Richard Attenborough's extensive art collection, which included works by L. S. Lowry, C. R. W. Nevinson and Graham Sutherland, generating £4.6 million at Sotheby's.",Personal life,Illness and death
1967,44,"In the 1967 Birthday Honours, Richard Attenborough was appointed a Commander of the Order of the British Empire (CBE). Richard Attenborough was made a Knight Bachelor in the 1976 New Year Honours, having a Knight Bachelor conferred on 10 February 1976.On 30 July 1993, Richard Attenborough was created a life peer as Baron Attenborough, of Richmond upon Thames in the London Borough of Richmond upon Thames.",Honours,
1992,69,"In 1992, Richard Attenborough had been offered a peerage by Neil Kinnock, then leader of the Labour Party, but refused a peerage as Richard Attenborough felt unable to commit Richard Attenborough to the time necessary ""to do what was required of Richard Attenborough in the Upper Chamber, as Richard Attenborough always put film-making first"".Richard Attenborough was the subject of This Is Your Life in December 1962 when Richard Attenborough was surprised by Eamonn Andrews at the Savoy Hotel, during a dinner held to commemorate the 10th anniversary of the Agatha Christie play The Mousetrap, in which Richard Attenborough had been an original cast member.",Honours,
1983,60,"In 1983, Richard Attenborough was awarded the Padma Bhushan, India's third highest civilian award, and the Martin Luther King Jr. Nonviolence Peace Prize by the Martin Luther King Jr. Center for Nonviolent Social Change.",Honours,
2008,85,"On 20 November 2008, Richard Attenborough was awarded an Honorary Doctorate of Drama from the Royal Scottish Academy of Music and Drama (RSAMD) in Glasgow.[0",Honours,
1973,50,"In early 1973, Richard Attenborough was portrayed as ""Dickie Attenborough"" in the British Showbiz Awards sketch late in the third series of Monty Python's's Flying Circus.",Portrayals,
2012,89,"In response to the villain claiming ""Gandhi won't win!"", Richard Attenborough appears in a suit covered in Academy Awards and declares ""We've already won!""In 2012 Richard Attenborough was portrayed by Simon Callow in the BBC Four biopic The Best Possible Taste, about Kenny Everett.",Portrayals,
