year,age,event,category1,category2,Name
2000,50,"In March 2000, Richard Branson was knighted at Buckingham Palace for ""services to entrepreneurship"".",summary,,Richard Branson
2007,57,"In 2007, Richard Branson was placed in the Time 100 Most Influential People in the World list.",summary,,Richard Branson
1950,0,"Richard Branson was born on 18 July 1950 in Blackheath, London, the son of Edward James Branson (1918–2011), a barrister, and his wife Evette Huntley Branson (née Flindt; 1924–2021), a former ballet dancer and air hostess.",Early life,,Richard Branson
1971,21,"In 1971, Richard Branson was questioned in connection with the selling of records declared export stock.",Early business career,,Richard Branson
2004,54," Richard Branson was also the star of a reality television show on Fox called The Rebel Billionaire: Branson's Quest for the Best (2004), in which sixteen contestants were tested for sixteen contestants's entrepreneurship and sense of adventure and only lasted one season.Richard Branson","Television, film and print",,Richard Branson
2004,54,"The character Grandson Richard 39 in Terry Pratchett's Wings is modelled on Richard Branson.Richard Branson has a cameo appearance in several films: Around the World in 80 Days (2004), where Richard Branson played a hot-air balloon operator, and Superman Returns (2006), where Richard Branson was credited as a 'Shuttle Engineer' and appeared alongside Richard Branson's son, Sam, with a Virgin Galactic-style commercial suborbital shuttle at the centre of Richard Branson's storyline.","Television, film and print",,Richard Branson
1979,29,"Richard Branson makes a number of brief and disjointed appearances in the documentary Derek and Clive Get the Horn (1979), which follows the exploits of Peter Cook and Dudley Moore recording Peter Cook and Dudley Moore's final comedy album.","Television, film and print",,Richard Branson
2011,61,"On 17 August 2011, Richard Branson was featured in the premiere episode of Hulu's first long-form original production entitled, A Day in the Life.","Television, film and print",,Richard Branson
1998,48,"In 1998, Richard Branson released Richard Branson's autobiography, titled Losing My Virginity, an international best-seller.","Television, film and print",,Richard Branson
2010,60,"Since 2010, Richard Branson has served as a Commissioner on the Broadband Commission for Digital Development, a UN initiative which promotes universal access to broadband services.",Humanitarian initiatives,,Richard Branson
1997,47,"During the BBC Coverage of the 1997 UK General Election, Richard Branson was interviewed at the Labour Party celebrations at the Royal Festival Hall.",Politics,,Richard Branson
2000,50,"Richard Branson was suggested as a candidate for Mayor of London before the first 2000 election, with polls indicating Richard Branson would be a viable candidate, but Richard Branson did not express interest.",Politics,,Richard Branson
2016,66,Richard Branson endorsed Democratic candidate Hillary Clinton in the run-up for the 2016 US presidential election.[0,Politics,,Richard Branson
1971,21,"In 1971, Richard Branson was briefly jailed and convicted for tax evasion, having fraudulently obtained export documents for records to be sold on the domestic market to avoid paying Purchase Tax.",Tax evasion,,Richard Branson
2007,57,"In 2007, Richard Branson was ordained as a minister by the Universal Life Church Monastery to conduct an on-flight wedding as part of a marketing effort for domestic flights in the USA on Virgin America airline.",Personal life,,Richard Branson
2014,64,"Then in 2014 Richard Branson broke the Guinness World Record for most people riding a surfboard by kiting with three women attached to Richard Branson, including professional kiteboarder Susi Mai and entrepreneur Alison Di Spaltro.",Personal life,,Richard Branson
2016,66,"Also an avid cyclist, in August 2016, Richard Branson was injured while riding Richard Branson's bicycle in the British Virgin Islands, resulting in torn ligaments and a cracked cheek.",Personal life,,Richard Branson
2006,56,"In fiction, Richard Branson has long admired the character Peter Pan, and in 2006, Richard Branson founded Virgin Comics LLC, stating that Virgin Comics LLC will give ""a whole generation of young, creative thinkers a voice"".",Influences,,Richard Branson
