year,age,event,category1,category2
1966,55,Ronald Reagan was elected governor of California in 1966.,summary,
1911,0,"Ronald Reagan was born on February 6, 1911, in a commercial building in Tampico, Illinois, as the younger son of Nelle Clyde Wilson and Jack Reagan.",Early life,
1932,21,"After obtaining a Bachelor of Arts degree in economics and sociology from Eureka College in 1932, Ronald Reagan took a job in Davenport, Iowa, as a sports broadcaster for four football games in the Big Ten Conference.",Entertainment career,Radio and film
1942,31,"Afterward, Ronald Reagan starred in Kings Row (1942) as a leg amputee, asking, ""Where's the rest of Ronald Reagan?"" Ronald Reagan's performance was considered Ronald Reagan's best by many critics.",Entertainment career,Radio and film
1941,30,"Ronald Reagan became a star, with Gallup polls placing Ronald Reagan ""in the top 100 stars"" from 1941 to 1942.World",Entertainment career,Radio and film
1952,41,"In 1952, Ronald Reagan ended Ronald Reagan's relationship with Warner Bros., but went on to appear in a total of 53 films, Ronald Reagan's last being The Killers (1964).",Entertainment career,Radio and film
1945,34,"Ronald Reagan was also ordered to temporary duty in New York City to participate in the sixth War Loan Drive before being reassigned to Fort MacArthur until Ronald Reagan's discharge on December 9, 1945, as a captain.",Entertainment career,Military service
1947,36,"When Robert Montgomery resigned as president of the Screen Actors Guild (SAG) on March 10, 1947, Ronald Reagan was elected to president of the Screen Actors Guild (SAG), in a special election.",Entertainment career,Screen Actors Guild presidency
1952,41,"Ronald Reagan would remain the Screen Actors Guild (SAG) president until Ronald Reagan resigned on November 10, 1952; Walter Pidgeon succeeded Ronald Reagan, but Ronald Reagan stayed on the board.the",Entertainment career,Screen Actors Guild presidency
1949,38,"Although Ronald Reagan was unprepared, divorce was finalized in July 1949.",Entertainment career,Marriages and children
1946,35,"In 1946, Ronald Reagan appeared in a radio program called Operation Terror to speak out against rising Ku Klux Klan activity in the country, citing the attacks as a ""capably organized systematic campaign of fascist violence and intimidation and horror"".",Early political activities,
1966,55,"In January 1966, Ronald Reagan announced Ronald Reagan's candidacy for the California governorship, repeating Ronald Reagan's stances on individual freedom and big government.",Early political activities,1966 California gubernatorial election
1964,53,"When Ronald Reagan met with black Republicans in March, Ronald Reagan was criticized for opposing the Civil Rights Act of 1964.",Early political activities,1966 California gubernatorial election
1981,70,"On March 30, 1981, Ronald Reagan was shot by John Hinckley Jr. outside the Washington Hilton.",1981–1989: Presidency,Assassination attempt
1983,72,"Ronald Reagan initially opposed the establishment of Martin Luther King Jr. Day, but signed a veto-proof bill to create Martin Luther King Jr. Day in 1983, and also alluded to claims that King was associated with communists during King's career.",1981–1989: Presidency,Civil rights
1988,77,"In March 1988, Ronald Reagan vetoed the Civil Rights Restoration Act of 1987, but Congress overrode Ronald Reagan's .",1981–1989: Presidency,Civil rights
1982,71,"In a 1982 address to the British Parliament, Ronald Reagan said, ""the march of freedom and democracy... will leave Marxism–Leninism on the ash heap of history.""",1981–1989: Presidency,Escalation of the Cold War
1983,72,"David Cannadine says of Margaret Thatcher that ""Ronald Reagan had been grateful for Margaret Thatcher's interest in Margaret Thatcher at a time when the British establishment refused to take Ronald Reagan seriously"" with the two agreeing on ""building up stronger defenses against the Soviet Union's"" and the two believing in outfacing ""what Ronald Reagan would later call 'the evil empire'"" in reference to the Soviet Union's during a speech to the National Association of Evangelicals in March 1983.",1981–1989: Presidency,Escalation of the Cold War
1983,72,"On October 19, 1983, Ronald Reagan was overthrown and murdered by one of Ronald Reagan's colleagues.",1981–1989: Presidency,Invasion of Grenada
1984,73,"Ronald Reagan announced his reelection campaign on January 29, 1984, declaring, ""America is back and standing tall.""",1981–1989: Presidency,1984 election
1994,83,"Ronald Reagan's final public speech occurred on February 3, 1994, during a tribute to Ronald Reagan in Washington, D.C.; Ronald Reagan's last major public appearance was at the funeral of Richard Nixon on April 27, 1994.In August 1994, Ronald Reagan was diagnosed with Alzheimer's disease, which he announced through a handwritten letter in November.",1989–2004: Post-presidency,
1997,86,"By 1997, Ronald Reagan was reported to recognize few people other than his wife, though Ronald Reagan continued to walk through parks and on beaches, play golf, and visit Ronald Reagan's office in nearby Century City.",1989–2004: Post-presidency,
2003,92,"By the end of 2003, Ronald Reagan had lost Ronald Reagan's ability to speak and was mostly confined to Ronald Reagan's bed, no longer able to recognize any family members.",1989–2004: Post-presidency,
