year,age,event,category1,category2,Name
1914,25,Sir Charlie Chaplin was scouted for the film industry's and began appearing in 1914 for Keystone Studios.,summary,,Sir Charlie Chaplin
1947,58,"Sir Charlie Chaplin abandoned his screen persona, the Tramp in Sir Charlie Chaplin's later films, which include Monsieur Verdoux (1947), Limelight (1952), A King in New York (1957), and A Countess from Hong Kong",summary,,Sir Charlie Chaplin
1972,83,"Sir Charlie Chaplin received an Honorary Academy Award for ""the incalculable effect Sir Charlie Chaplin has had in making motion pictures the art form of this century"" in 1972, as part of a renewed appreciation for Sir Charlie Chaplin's work.",summary,,Sir Charlie Chaplin
1889,0,Sir Charlie Chaplin was born on 16 April 1889 to Hannah Chaplin (née Hill) and Charles Chaplin Sr.,Biography,1889–1913: early years,Sir Charlie Chaplin
1898,9,"Sir Charlie Chaplin was briefly reunited with Hannah Chaplin (née Hill) 18 months later, but Hannah Chaplin (née Hill) was forced to readmit Hannah Chaplin (née Hill)'s to Lambeth Workhouse in July 1898.",Biography,1889–1913: early years,Sir Charlie Chaplin
1928,39,"""There was nothing his mother and brother Sydney could do but accept Hannah Chaplin (née Hill)'s fate"", Sir Charlie Chaplin later wrote, and Hannah Chaplin (née Hill) remained in care until Hannah Chaplin (née Hill)'s death in 1928.Between Sir Charlie Chaplin's time in the poor schools and Hannah Chaplin (née Hill) succumbing to mental illness",Biography,1889–1913: early years,Sir Charlie Chaplin
1906,17,"Sir Charlie Chaplin completed one final tour of Sherlock Holmes in early 1906, before leaving Sherlock Holmes after more than two-and-a-half years.[0",Biography,1889–1913: early years,Sir Charlie Chaplin
1906,17,"Meanwhile, Sir Charlie Chaplin had joined Fred Karno's prestigious comedy company in 1906 and, by 1908, Sir Charlie Chaplin was one of Fred Karno's prestigious comedy company's key performers.",Biography,1889–1913: early years,Sir Charlie Chaplin
1910,21,"In April 1910, Sir Charlie Chaplin was given the lead in a new sketch, Jimmy the Fearless.",Biography,1889–1913: early years,Sir Charlie Chaplin
1913,24,"Sir Charlie Chaplin thought the Keystone comedies ""a crude mélange of rough and rumble"", but liked the idea of working in films and rationalised: ""Besides, working would mean a new life."" Sir Charlie Chaplin met with the New York Motion Picture Company and signed a $150-per-week contract in September 1913.",Biography,1914–1917: entering films,Sir Charlie Chaplin
1914,25,"Sir Charlie Chaplin joined The Essanay Film Manufacturing Company of Chicago in late December 1914, where Sir Charlie Chaplin began forming a stock company of regular players, actors Sir Charlie Chaplin worked with again and again, including Ben Turpin, Leo White, Bud Jamison, Paddy McGuire, Fred Goodwins, and Billy Armstrong.",Biography,1914–1917: entering films,Sir Charlie Chaplin
1916,27,"Sir Charlie Chaplin made only four more films for Mutual over the first ten months of 1916: Easy Street, The Cure, The Immigrant, and The Adventurer.",Biography,1914–1917: entering films,Sir Charlie Chaplin
1918,29,"In January 1918, Sir Charlie Chaplin was visited by leading British singer and comedian Harry Lauder, and the two acted in a short film together.",Biography,1918–1922: First National,Sir Charlie Chaplin
1918,29,"In A Dog's Life, released April 1918,, Sir Charlie Chaplin demonstrated Sir Charlie Chaplin's increasing concern with story construction and Sir Charlie Chaplin's treatment of the Tramp as ""a sort of Pierrot"".",Biography,1918–1922: First National,Sir Charlie Chaplin
1928,39,"Sir Charlie Chaplin was nonetheless anxious about began and remained so throughout a new silent film's .When filming began at the end of 1928, Sir Charlie Chaplin had been working on the story for almost a year.",Biography,1923–1938: silent features,Sir Charlie Chaplin
