year,age,event,category1,category2
2009,101,"In 2009, Sir Donald Bradman was inducted posthumously as an inaugural member into the ICC Cricket Hall of Fame.",summary,
1908,0,"Sir Donald Bradman was the youngest son of George and Emily (née Whatman) Bradman, and was born on 27 August 1908 at Cootamundra, New South Wales (NSW).",Early years,
1930,22,"In 1930–31, against the first West Indian side to visit Australia, Sir Donald Bradman's scoring was more sedate than in England—although Sir Donald Bradman did make 223 in 297 minutes in the Third Test at Brisbane and 152 in 154 minutes in the following Test at Melbourne.",Test career,Reluctant hero
1930,22,"Remembering that Sir Donald Bradman had struggled against bouncers during Sir Donald Bradman's 232 at The Oval in 1930, Douglas Jardine decided to combine traditional leg theory with short-pitched bowling to combat Sir Donald Bradman.",Test career,Bodyline
1934,26,"Although Sir Donald Bradman's wife was hesitant about moving, Sir Donald Bradman eventually agreed to offered in February 1934.",Test career,Bodyline
1934,26,Sir Donald Bradman was appointed vice-captain for the 1934 tour of England.,Test career,Declining health and a brush with death
1938,30,"Sir Donald Bradman totalled 21 first-class centuries in 34 innings, from the beginning of the 1938 tour of England (including preliminary games in Australia) until early 1939.The",Test career,End of an era
1940,32,Sir Donald Bradman joined the Royal Australian Air Force (RAAF) on 28 June 1940 and was passed fit for air crew duty.,Test career,Troubled war years
1942,34,Sir Donald Bradman resumed stockbroking during 1942.,Test career,Troubled war years
1942,34,"Had any cricket been played at 1942, Sir Donald Bradman would not have been available.",Test career,Troubled war years
1945,37,"Although Sir Donald Bradman found some relief in 1945 when referred to the Melbourne masseur Ern Saunders, Sir Donald Bradman permanently lost the feeling in the thumb and index finger of Sir Donald Bradman's (dominant) right hand.",Test career,Troubled war years
1946,38,"""With the English team due to arrive for the 1946–47 Ashes series, the media and the public were anxious to know if Sir Donald Bradman would lead Australia.""",Test career,"""The ghost of a once-great cricketer"""
1947,39,Sir Donald Bradman made Sir Donald Bradman's first tour of Australia in the 1947–48 season.,Test career,"Century of centuries and ""The Invincibles"""
1949,41,"In the 1949 New Year Honours, Sir Donald Bradman was appointed Knight Bachelor for Sir Donald Bradman's services to the game, becoming the only Australian cricketer ever to be knighted.",After cricket,
1977,69,Sir Donald Bradman gave the keynote speech at the historic Centenary Test at Melbourne in 1977.On 16 June 1979,After cricket,
1936,28,"Aside from two years in the early 1950s, Sir Donald Bradman filled a selector's berth for the Test team between 1936 and 1971.Cricket saw an increase in defensive play during the 1950s.",After cricket,Administrative career
1997,89,"After Sir Donald Bradman's wife's death in 1997, Sir Donald Bradman suffered ""a discernible and not unexpected wilting of spirit"".",After cricket,Later years and death
1963,55,"In the 1963 edition of Wisden Cricketers''s Almanack, Sir Donald Bradman was selected by Neville Cardus as one of the Six Giants of the Wisden Century.",After cricket,Legacy
1996,88,"When the Australian Cricket Hall of Fame was created in Melbourne in 1996, Sir Donald Bradman was made one of the Australian Cricket Hall of Fame's 10 inaugural members.",After cricket,Legacy
2000,92,"In 2000, Sir Donald Bradman was selected by cricket experts as one of five Wisden Cricketers of the Wisden Century.",After cricket,Legacy
2018,110,"On 27 August 2018, to celebrate 110 years since Sir Donald Bradman's birth, Sir Donald Bradman was commemorated with a Google Doodle.",After cricket,Legacy
1972,64,Sir Donald Bradman's family name proved a burden for Sir Donald Bradman; Sir Donald Bradman legally changed his last name to Bradsen in 1972.,Family life,
1930,22,"Sir Donald Bradman wrote four books: Sir Donald Bradman's Book: The Story of Sir Donald Bradman's Cricketing Life with Hints on Batting, Bowling and Fielding (1930), Sir Donald Bradman's Cricketing Life (1938), Farewell to Cricket (1950) and The Art of Cricket (1958).",In popular culture,
