year,age,event,category1,category2,Name
1918,30,"T.E. Lawrence worked closely with Emir Faisal, a leader of the revolt, and T.E. Lawrence participated, sometimes as leader, in military actions against the Ottoman armed forces, culminating in the capture of Damascus in October 1918.After the First World War",summary,,T.E. Lawrence
1935,47,"During the years until 1935, T.E. Lawrence published T.E. Lawrence's best-known work Seven Pillars of Wisdom (1926), an autobiographical account of T.E. Lawrence's participation in the Arab Revolt.",summary,,T.E. Lawrence
1888,0,"T.E. Lawrence was born on 16 August 1888 in Tremadog, Carnarvonshire, Wales, in a house named Gorphwysfa, now known as Snowdon Lodge.",Early life,,T.E. Lawrence
1910,22,"In 1910, T.E. Lawrence was offered the opportunity to become a practising archaeologist at Carchemish, in the expedition that D. G. Hogarth was setting up on behalf of the British Museum.","Travels, antiquities, and archaeology",,T.E. Lawrence
1914,26,"Before the end of 1914, T.E. Lawrence was summoned by renowned archaeologist and historian Lieutenant Commander David Hogarth, T.E. Lawrence's mentor at Carchemish, to the new Arab Bureau intelligence unit in Cairo, and T.E. Lawrence arrived in Cairo on 15 December 1914.",Military intelligence,,T.E. Lawrence
1916,28,"In the spring of 1916, T.E. Lawrence was dispatched to Mesopotamia to assist in relieving the Siege of Kut by some combination of starting an Arab uprising and bribing Ottoman officials.",Military intelligence,,T.E. Lawrence
1916,28,"T.E. Lawrence began in June 1916, but T.E. Lawrence bogged down after a few successes, with a real risk that the Ottoman forces would advance along the coast of the Red Sea and recapture Mecca.",Arab Revolt,,T.E. Lawrence
1917,29,"T.E. Lawrence describes an episode on 20 November 1917 while reconnoitring Dera'a in disguise, when T.E. Lawrence was captured by the Ottoman military, beaten, and sexually assaulted by the local bey and the local bey's guardsmen, though T.E. Lawrence does not specify the nature of the sexual contact.",Arab Revolt,Dera'a,T.E. Lawrence
1922,34,"In fact, T.E. Lawrence describes (in the 1922 text) the local bey's head as shaven, with stubble standing up.",Arab Revolt,Dera'a,T.E. Lawrence
1923,35,"T.E. Lawrence left, but returned some time later with an the Royal Air Force messenger who carried a written order that recruiting officer Flying Officer W. E. Johns, later known as the author of the Biggles series of novels must accept T.E. Lawrence.However, T.E. Lawrence was forced out of the Royal Air Force in February 1923 after T.E. Lawrence's identity was exposed.",Post-war years,,T.E. Lawrence
1928,40,"At the end of 1928, T.E. Lawrence was forced to return to Britain after rumours began to circulate that T.E. Lawrence was involved in espionage activities.T.E. Lawrence",Post-war years,,T.E. Lawrence
1935,47,"On 13 May 1935, T.E. Lawrence was fatally injured in an accident on his Brough Superior SS100 motorcycle in Dorset close to his cottage Clouds Hill, near Wareham, just two months after leaving military service.",Death,,T.E. Lawrence
1919,31,"In 1919, T.E. Lawrence was elected to a seven-year research fellowship at All Souls College, Oxford, providing T.E. Lawrence with support while T.E. Lawrence worked on Seven Pillars of Wisdom, an account of his war experiences.",Writings,Seven Pillars of Wisdom,T.E. Lawrence
1955,67,"In Richard Aldington and Lawrence of Arabia: A Cautionary Tale, Fred D. Crawford writes ""Much that shocked in 1955 is now standard knowledge – that T.E. Lawrence was illegitimate, that was profoundly troubled T.E. Lawrence, that T.E. Lawrence frequently resented T.E. Lawrence's mother's dominance, that such reminiscences as T.E. Lawrence by T.E. Lawrence's Friends are not reliable, that T.E. Lawrence's leg-pulling and other adolescent traits could be offensive, that T.E. Lawrence took liberties with the truth in T.E. Lawrence's official reports and Seven Pillars, that the significance of T.E. Lawrence's exploits during the Arab Revolt was more political than military, that T.E. Lawrence contributed to T.E. Lawrence's own myth, that when T.E. Lawrence vetted the books by Graves and Liddell Hart T.E. Lawrence let remain much that T.E. Lawrence knew was untrue, and that T.E. Lawrence's feelings about publicity were ambiguous.""This has not prevented most post-Richard Aldington biographers (including Fred D. Crawford) from expressing strong admiration for T.E. Lawrence's military, political, and writing achievements.",Aldington controversy,,T.E. Lawrence
1917,29,"T.E. Lawrence was appointed a Companion of the Order of the Bath on 7 August 1917, appointed a Companion of the Distinguished Service Order on 10 May 1918, awarded the Knight of the Legion of Honour (France) on 30 May 1916 and the Croix de guerre (France) on 16 April 1918.",Awards and commemorations,,T.E. Lawrence
1916,28,"T.E. Lawrence was mentioned in despatches by Sir John Maxwell (General Officer Commanding, Egypt) on 16 March 1916, by Sir Percy Lake (Commanding Indian Expeditionary Force D) on 12 August 1916, and by Sir Reginald Wingate (General Officer Commanding, Hedjaz) on 27 December",Awards and commemorations,,T.E. Lawrence
2002,114,"In 2002, T.E. Lawrence was named 53rd in the BBC's list of the 100 Greatest Britons following a UK-wide vote.",Awards and commemorations,,T.E. Lawrence
2018,130,"In 2018, T.E. Lawrence was featured on a £5 coin (issued in silver and gold) in a six-coin set commemorating the Centenary of the First World War produced by the Royal Mint.",Awards and commemorations,,T.E. Lawrence
