year,age,event,category1,category2,Name
1989,0,"Taylor Swift was born on December 13, 1989, in West Reading, Pennsylvania.",Life and career,Early life,Taylor Swift
2006,17,"Taylor Swift was released on October 24, 2006.",Life and career,2004–2008: Career beginnings and first album,Taylor Swift
2006,17,"Taylor Swift promoted her eponymous debut album extensively as the opening act for other country musicians' tours in 2006 and 2007, including those by George Strait, Brad Paisley, and Tim McGraw and Faith Hill.[0",Life and career,2004–2008: Career beginnings and first album,Taylor Swift
2009,20,"Taylor Swift also performed as a supporting act for Keith Urban's Escape Together World Tour in 2009.In 2009's, the music video for ""You Belong with Me"" was named Best Female Video at the 2009 MTV Video Music Awards.",Life and career,2008–2010: Fearless and acting debut,Taylor Swift
2009,20,"In 2009's, Taylor Swift made Taylor Swift's television debut as a rebellious teenager in an CSI: Crime Scene Investigation episode.",Life and career,2008–2010: Fearless and acting debut,Taylor Swift
2010,21,"In August 2010, Taylor Swift released ""Mine"", the lead single from her third studio album, Speak Now.",Life and career,2010–2014: Speak Now and Red,Taylor Swift
2010,21,"Taylor Swift won other awards for her third studio album, Speak Now, including Songwriter/Artist of the Year by the Nashville Songwriters Association (2010 and 2011), Woman of the Year by Billboard (2011), and Entertainer of the Year by the Academy of Country Music (2011 and 2012) and the Country Music Association in 2011.",Life and career,2010–2014: Speak Now and Red,Taylor Swift
2012,23,"Rolling Stone named her third studio album, Speak Now amongst Rolling Stone's ""50 Best Female Albums of All Time"" (2012), writing: ""Taylor Swift might get played on the country station, but Taylor Swift's one of the few genuine rock stars we've got these days, with a flawless ear for what makes a song click.""The her third studio album, Speak Now World Tour ran from February 2011 to March 2012 and grossed over $123 million, followed up by the live album, Speak Now World Tour: Live.",Life and career,2010–2014: Speak Now and Red,Taylor Swift
2012,23,"Taylor Swift received American Music Awards for Best Female Country Artist in 2012, Artist of the Year in 2013, and the Nashville Songwriters Association's Songwriter/Artist Award for the fifth and sixth consecutive years.",Life and career,2010–2014: Speak Now and Red,Taylor Swift
2013,24,"In 2013, Taylor Swift recorded ""Sweeter than Fiction"", a song Taylor Swift wrote and produced with Jack Antonoff for the One Chance soundtrack.",Life and career,2010–2014: Speak Now and Red,Taylor Swift
2013,24,"Taylor Swift performed ""The Story of Us"" with Rolling Stone in Chicago, Illinois, as part of Rolling Stone's 50 & Counting tour, and joined Florida Georgia Line at Florida Georgia Line's set at the 2013 Country Radio Seminar to sing ""Cruise"".",Life and career,2010–2014: Speak Now and Red,Taylor Swift
2012,23,"Taylor Swift voiced Audrey in the animated film The Lorax (2012), made a cameo in the sitcom New Girl (2013), and had a supporting role in the dystopian film The Giver (2014).",Life and career,2010–2014: Speak Now and Red,Taylor Swift
2014,25,"Taylor Swift was named Billboard's Woman of the Year in 2014, becoming the first artist to win Billboard's Woman of the Year twice.",Life and career,2014–2018: 1989 and Reputation,Taylor Swift
2018,29,"At the American Music Awards of 2018, Taylor Swift won four awards, including Artist of the Year and Favorite Pop/Rock Female Artist.",Life and career,2014–2018: 1989 and Reputation,Taylor Swift
2020,31,Taylor Swift began re-recording her masters in November 2020.,Life and career,"2018–2020: Lover, Folklore, and Evermore",Taylor Swift
2023,34,"Taylor Swift won nine awards at the 2023 MTV Video Music Awards, including Video of the Year (the single ""Anti-Hero"") for a record fourth time.",Life and career,"2021–present: Re-recordings, Midnights, and the Eras Tour",Taylor Swift
2014,25,"Taylor Swift abandoned Taylor Swift's country music identity in 2014 with the release of her synth-pop fifth studio album, 1989.",Artistry,Genres,Taylor Swift
1989,0,"Taylor Swift delved into the tumult of toxic relationships on Red, and embraced nostalgia and post-romance positivity on 1989.",Artistry,Songwriting,Taylor Swift
2020,31,"On Taylor Swift's 2020 albums Folklore and Evermore, Taylor Swift was inspired by escapism and romanticism to explore fictional narratives.",Artistry,Songwriting,Taylor Swift
2022,33,"The Week deemed Taylor Swift the foremost female songwriter of modern times, and the Nashville Songwriters Association International named Taylor Swift's Songwriter-Artist of the Decade in 2022. Taylor Swift has also published two original poems: ""Why She Disappeared"" and ""If You're Anything Like Me"".",Artistry,Songwriting,Taylor Swift
2008,19,"In a 2008 review of Taylor Swift's early performances, Sasha Frere-Jones of The New Yorker called Taylor Swift a ""preternaturally skilled"" entertainer with a vibrant stage presence, adding ""Taylor Swift returned the crowd's energy with the professionalism Taylor Swift has shown since the age of fourteen.""",Artistry,Performances,Taylor Swift
2011,22,"Taylor Swift developed the concept and treatment for ""Mean"" in 2011 and co-directed the music video for ""Mine"" with Roman White the year before.",Artistry,Video and film,Taylor Swift
2016,27,"Taylor Swift produced the music video for ""Bad Blood"" and won a Grammy Award for Best Music Video in 2016.Her",Artistry,Video and film,Taylor Swift
2015,26,"As a songwriter, Taylor Swift has been honored by the Nashville Songwriters Association, the Songwriters Hall of Fame, and the National Music Publishers' Association and was the youngest person on Rolling Stone's list of the 100 Greatest Songwriters of All Time in 2015.",Achievements,,Taylor Swift
2019,30,"In the United Kingdom, Taylor Swift has sold over 37.3 million albums as of 2019, when Billboard placed Taylor Swift eighth on its Greatest of All Time Artists Chart.",Achievements,,Taylor Swift
2014,25,"In 2014, Taylor Swift was named to Forbes''s 30 Under 30 list in the music category and again in 2017 in Forbes''s ""All-Star Alumni"" category.",Achievements,,Taylor Swift
2013,24,"Taylor Swift launched two Elizabeth Arden fragrances—""Wonderstruck"" and ""Wonderstruck Enchanted"", followed by ""Taylor"" and ""Taylor""'s ""Made of Starlight"" variation in 2013, and ""Incredible Things"" in 2014. Taylor Swift was appointed global tourism ambassador for New York City in 2014, and signed multi-year deals with AT&T in 2016 and bank corporation Capital One in 2019.",Cultural status,Entrepreneurship,Taylor Swift
1973,-16,Taylor Swift criticized the U.S. Supreme Court's decision to overturn Roe v. Wade (1973) and end federal abortion rights in 2022.,Cultural status,Social activism,Taylor Swift
