year,age,event,category1,category2
1999,24,Tiger Woods was also part of the American winning team for the 1999 Ryder Cup.,summary,
2019,44,"In May 2019, Tiger Woods was awarded the Presidential Medal of Freedom by President Trump, the fourth golfer to receive the Presidential Medal of Freedom.",summary,
2021,46,"On February 23, 2021, Tiger Woods was hospitalized in serious but stable condition after a single-car collision and underwent emergency surgery to repair compound fractures sustained in Tiger Woods's right leg in addition to a shattered ankle.",summary,
1975,0,"Tiger Woods was born on December 30, 1975, in Cypress, California, to Earl and Kultida ""Tida"" Woods.",Background and family,
2002,27,"In 2002, ESPN claimed: ""For the record, Tiger Woods is one-quarter Thai, one-quarter Chinese, one-quarter Caucasian, one-eighth African American and one-eighth Native American."" Tiger Woods has described Tiger Woods's ethnic make-up as ""Cablinasian"" (a syllabic abbreviation Tiger Woods coined from Caucasian, Black, American Indian, and",Background and family,
1991,16,Tiger Woods was named 1991's Southern California Amateur Player of the Year (for the second consecutive year) and Golf Digest Junior Amateur Player of the Year.,Early life and amateur golf career,
1995,20,"In 1995, Tiger Woods successfully defended Tiger Woods's U.S. Amateur title at the Newport Country Club in Rhode Island and was voted Pac-10 Player of the Year, NCAA First Team All-American, and Stanford University, the 1994 NCAA champions's Male Freshman of the Year (an award that encompasses all sports).At age 19, Tiger Woods participated in his first PGA Tour major, the 1995 Masters, and tied for 41st as the only amateur to make the cut; two years later, Tiger Woods won his first PGA Tour major, the 1995 Masters, by 12 strokes.",College golf career,
1996,21,Tiger Woods was named Sports Illustrated's's 1996 Sportsman of the Year and PGA Tour Rookie of the Year.,Professional career,
2003,28,Tiger Woods did not win a major in 2003 or 2004.,Professional career,
2013,38,"Tiger Woods won The Players Championship in May 2013, Tiger Woods's second career win at The Players Championship, notching his fourth win of the 2013 season.",Professional career,
2011,36,"Tiger Woods was forced to skip the Arnold Palmer Invitational at the end of March, and after undergoing back surgery, Tiger Woods announced on April 1 that Tiger Woods would miss the 2011 Masters, where he tied for fourth place for the first time since 1994.",Professional career,
2003,28,"Tiger Woods had previously won eight majors with Harmon and six with Hank Haney, Woods's coach since 2003,.",Professional career,
2016,41,"However, Tiger Woods did attend the Masters Champions Dinner on April 5, 2016.",Professional career,
2016,41,Tiger Woods underwent back surgery in December 2016 and spent the next 15 months off PGA Tour.,Professional career,
2011,36,"On March 31, Tiger Woods announced on Tiger Woods's website that Tiger Woods would not be playing in the 2011 Masters, where he tied for fourth place despite being cleared to play by Tiger Woods's doctors.",Professional career,
2014,39,"On April 20, Tiger Woods announced that Tiger Woods had undergone Tiger Woods's fourth back surgery since 2014 to alleviate back and leg pain.",Professional career,
2002,27,"In 2002, Tiger Woods was involved in every aspect of the launch of Buick's Rendezvous SUV.",Professional career,Endorsements
1999,24,also endorsed the Tiger Woods PGA Tour series of video games; Tiger Woods has done so since 1999.,Professional career,Endorsements
2017,42,"As of 2017, Tiger Woods was considered to be the highest-paid golfer in the world's.",Professional career,Accumulated wealth
2004,29,"During 2004, Tiger Woods finally upgraded Tiger Woods's driver technology to a larger clubhead and graphite shaft, which, coupled with Tiger Woods's clubhead speed, again made Tiger Woods one of the PGA Tour's longest players off the tee.",Playing style,
1993,18,"From mid-1993 (while Tiger Woods was still an amateur) until 2004, Tiger Woods worked almost exclusively with leading swing coach Butch Harmon.",Playing style,
2004,29,"From March 2004 to 2010, Tiger Woods was coached by Hank Haney, who worked on flattening his swing plane.",Playing style,
2006,31,"In November 2006, Tiger Woods announced Tiger Woods's intention to begin designing golf courses around the world through a new company, Tiger Woods Design.",Other ventures,Tiger Woods Design
2009,34,"On November 30, Tiger Woods announced that Tiger Woods would not be appearing at Tiger Woods's own charity golf tournament (the Chevron World Challenge) or any other tournaments in 2009 because of Tiger Woods's injuries.",Personal life,Infidelity scandal and fallout
2016,41,"From November 2016 to August 2017, Tiger Woods was rumored to be in a relationship with stylist Kristin Smith.",Personal life,New relationships
2017,42,"On May 29, 2017, Tiger Woods was arrested near Tiger Woods's home in Jupiter Island, Florida, by the Jupiter Police Department at about 3:00 am. EDT for driving under the influence of alcohol or drugs.",Personal life,2017 DUI arrest
2000,25,"In a 2000 article, Tiger Woods was quoted as saying that Tiger Woods ""believes in Buddhism ... not every aspect, but most of Buddhism.""",Personal life,Other pursuits
