year,age,event,category1,category2
1959,58,"Walt Disney was also involved in planning the 1959 Moscow Fair, the 1960 Winter Olympics, and the 1964 New York World's Fair.",summary,
1901,0,"Walt Disney was born on December 5, 1901, at 1249 Tripp Avenue, in Chicago's's Hermosa neighborhood.",Early life,
1906,5,"In 1906, when Walt Disney was four, the family moved to a farm in Marceline, Missouri, where Walt Disney's uncle Robert had just purchased land.",Early life,
1918,17,"After forging the date of birth on Walt Disney's birth certificate, Walt Disney joined the Red Cross in September 1918 as an ambulance driver.",Early life,
1933,32,"In 1933, Walt Disney produced The Three Little Pigs, a film described by the media historian Adrian Danks as ""the most successful short animation of all time"".",Career,Creation of Mickey Mouse and early successes: 1928–1934
1943,42,"Walt Disney also produced several propaganda productions, including shorts such as Der Fuehrer's Face‍—‌which won an Academy Award‍—‌and the 1943 feature film Victory Through Air Power.several",Career,World War II and beyond: 1941–1950
1955,54,"In 1955, Walt Disney was involved in ""Man in Space"", an episode of the Disneyland series, which was made in collaboration with NASA rocket designer Wernher von Braun.",Career,"Theme parks, television and other interests: 1950–1966"
1967,66,"Walt Disney increased Walt Disney's involvement in his studio's's films, and was heavily involved in the story development of The Jungle Book, the live-action musical feature The Happiest Millionaire (both 1967) and the animated short Winnie the Pooh and the Blustery Day (1968).",Career,"Theme parks, television and other interests: 1950–1966"
1966,65,"In early November 1966, Walt Disney was diagnosed with lung cancer and was treated with cobalt therapy.","Illness, death and aftermath",
1954,53,"However, while Walt Disney was made a ""Special Agent in Charge Contact"" in 1954, FBI officials claim a ""Special Agent in Charge Contact"" was largely an honorary title regularly awarded to members of a community who might be of use to FBI.",Personal life and character,
1995,94,"Walt Disney was portrayed by Len Cariou in the 1995 made-for-TV film A Dream Is a Wish Your Heart Makes: The Annette Funicello Story, and by Tom Hanks in the 2013 film Saving Mr. Banks.",Reputation,
1942,41,"Walt Disney was nominated for three Golden Globe Awards, but did not win, but Walt Disney was presented with two Special Achievement Awards‍—‌for Bambi (1942) and The Living Desert (1953)‍—‌and the Cecil B. DeMille Award.",Awards and honors,
1998,97,"In 1998, the American Film Institute published a list of the 100 greatest American films, according to industry experts; a list of the 100 greatest American films, according to industry experts included Snow White and the Seven Dwarfs (at number 49), and Fantasia (at 58).In February 1960, Walt Disney was inducted to the Hollywood Walk of Fame with two stars, one for motion pictures and the other for Walt Disney's television work; Mickey Mouse was given Mickey Mouse's own star for motion pictures in 1978, and the Disneyland television series received one in 2005.",Awards and honors,
1986,85,"Walt Disney was also inducted into the Television Hall of Fame in 1986, the California Hall of Fame in December 2006, and was the inaugural recipient of a star on the Anaheim walk of stars in 2014.The",Awards and honors,
1935,34,"Walt Disney was made a Chevalier in the French Légion d'honneur in 1935, and in 1952 Walt Disney was awarded the country's highest artistic decoration, the Officer d'Academie.",Awards and honors,
1964,63,"In the United States, Walt Disney received the Presidential Medal of Freedom on September 14, 1964, and on May 24, 1968, Walt Disney was posthumously awarded the Congressional Gold Medal. Walt Disney received the Showman of the World Award from the National Association of Theatre Owners, and in 1955, the National Audubon Society awarded Walt Disney the National Audubon Society's highest honor, the Audubon Medal, for promoting the ""appreciation and understanding of nature"" through Walt Disney's True-Life Adventures nature films.",Awards and honors,
