year,age,event,category1,category2,Name
1912,56,"Woodrow Wilson defeated incumbent Republican William Howard Taft and third-party nominee Theodore Roosevelt to easily win the 1912 presidential election, becoming the first Southerner to do so since 1848.",summary,,Woodrow Wilson
1916,60,"Woodrow Wilson narrowly won re-election in the 1916 United States presidential election, boasting how Woodrow Wilson kept the United States out of wars in Europe and Mexico.",summary,,Woodrow Wilson
1918,62,"Woodrow Wilson wanted the off-year elections of 1918 to be a referendum endorsing Woodrow Wilson's , but instead the Democratic Party took control of Congress.",summary,,Woodrow Wilson
1841,-15,"Woodrow Wilson was one of only two U.S. presidents to be a citizen of the United States; the other was John Tyler, who served as the United States's tenth president from 1841 to 1845.",Early life and education,,Woodrow Wilson
1876,20,"In the hotly contested presidential election of 1876, Woodrow Wilson supported the Democratic Party and the Democratic Party's nominee, Samuel J. Tilden.",Early life and education,,Woodrow Wilson
1882,26,Woodrow Wilson was admitted to the Georgia bar and made a brief attempt at establishing a law firm in Atlanta in 1882.,Early life and education,,Woodrow Wilson
1886,30,"In 1886, Woodrow Wilson was awarded a Ph.D. in history and government from the recently established Johns Hopkins University in Baltimore, making Woodrow Wilson the only U.S. president in the United States's history to possess a Ph.D.",Early life and education,,Woodrow Wilson
1883,27,"In 1883, Woodrow Wilson met and fell in love with Ellen Louise Axson, the daughter of a Presbyterian minister from Savannah, Georgia.",Marriage and family,,Woodrow Wilson
1888,32,"In 1888, Woodrow Wilson left Bryn Mawr College, a newly established women's college in Bryn Mawr, Pennsylvania, outside Philadelphia and was not given a farewell.[0",Academic career,Professor,Woodrow Wilson
1890,34,"In February 1890, with the help of friends, Woodrow Wilson was appointed Chair of Jurisprudence and Political Economy at the College of New Jersey (the name at the time of Princeton University), at an annual salary of $3,000 (equivalent to $97,711 in 2022).",Academic career,Professor,Woodrow Wilson
1912,56,"Woodrow Wilson finally won two-thirds of the vote on the 1912 Democratic National Convention's 46th ballot, and Governor Thomas R. Marshall of Indiana became Woodrow Wilson's running mate.",Presidential election of 1912,Democratic nomination,Woodrow Wilson
1897,41,"Woodrow Wilson's victory made Woodrow Wilson the first Southerner to win a presidential election since the Civil War, the first Democratic president since Grover Cleveland left office in 1897, and the first and only president to hold a Ph.D.",Presidential election of 1912,General election,Woodrow Wilson
1913,57,"Nonetheless, Woodrow Wilson frequently intervened in Latin America, saying in 1913, ""Woodrow Wilson am going to teach the South American republics to elect good men.""",Presidency (1913–1921),First-term foreign policy,Woodrow Wilson
1916,60,Woodrow Wilson was renominated at the 1916 Democratic National Convention without opposition.,Presidency (1913–1921),Presidential election of 1916,Woodrow Wilson
1832,-24,Woodrow Wilson's re-election made Woodrow Wilson the first Democrat since Andrew Jackson (in 1832) to win two consecutive terms.,Presidency (1913–1921),Presidential election of 1916,Woodrow Wilson
1922,66,"Woodrow Wilson showed up the first day but never returned, and a law practice was closed by the end of 1922.",Final years and death (1921–1924),,Woodrow Wilson
1923,67,"On November 10, 1923, Woodrow Wilson made Woodrow Wilson's last national address, delivering a short Armistice Day radio speech from the library of Woodrow Wilson's home.Woodrow Wilson's health did not markedly improve after leaving office, declining rapidly in January 1924.",Final years and death (1921–1924),,Woodrow Wilson
