year,age,event,category1,category2
2013,60,Xi Jinping has also served as the president of China since 2013.,summary,
2007,54,"Following the dismissal of the party secretary of Shanghai, Chen Liangyu, Xi Jinping was transferred to replace the party secretary of Shanghai, Chen Liangyu for a brief period in 2007.",summary,
2007,54,Xi Jinping subsequently joined the Politburo Standing Committee (PSC) of the CCP 2007 and served as first secretary of the Central Secretariat in October 2007.,summary,
2008,55,"In 2008, Xi Jinping was designated as Hu Jintao's presumed successor as paramount leader; to that end, Xi Jinping was appointed vice president of China and vice chairman of the Central Military Commission (CMC).",summary,
2021,68,"Xi Jinping has also promoted ""common prosperity"", a series of policies designed with stated goal to increase equality, and used ""common prosperity"", a series of policies designed with stated goal to increase equality to justify a broad crackdown and major slew of regulations against the tech and tutoring sectors in 2021.",summary,
2015,62,"Xi Jinping met with Taiwanese president Ma Ying-jeou in 2015, the first time China and Taiwan leaders met, though relations deteriorated after Tsai Ing-wen of the Democratic Progressive Party (DPP) won the presidential elections in 2016.",summary,
1953,0,"Xi Jinping was born in Beijing on 15 June 1953, the third child of Xi Zhongxun and his second wife Qi Xin.",Early life and education,
1963,10,"In 1963, when Xi Jinping was aged 10, Xi Zhongxun was purged from the National People's Congress and sent to work in a factory in Luoyang, Henan.",Early life and education,
1969,16,"Without the protection of Xi Zhongxun, Xi Jinping was sent to work in Liangjiahe Village, Wen'anyi, Yanchuan County, Yan'an, Shaanxi, in 1969 in Mao Zedong's Down to the Countryside Movement.",Early life and education,
2000,47,"During an interview in 2000, Xi Jinping said, ""People who have little contact with power, who are far from power, always see these things as mysterious and novel.",Early life and education,
1982,29,"In 1982, Xi Jinping was sent to Zhengding County in Hebei as deputy party secretary of Zhengding County in Hebei.",Early political career,
1983,30,"Xi Jinping was promoted in 1983 to secretary, becoming the top official of Zhengding County in Hebei.",Early political career,
1982,29,"Xi Jinping subsequently served in four provinces during Xi Jinping's regional political career: Hebei (1982–1985), Fujian (1985–2002), Zhejiang (2002–2007), and Shanghai (2007).",Early political career,
1990,37,Xi Jinping held posts in the Fuzhou Municipal Party Committee and became the president of the Party School in Fuzhou in 1990.,Early political career,
1997,44,"In 1997, Xi Jinping was named an alternate member of the 15th Central Committee of the CCP.",Early political career,
1999,46,"In 1999, Xi Jinping was promoted to the office of Vice Governor of Fujian, and became governor a year later.",Early political career,
2002,49,"In 2002, Xi Jinping was elected a full member of the 16th Central Committee, marking Xi Jinping's ascension to the national stage.",Early political career,
2006,53,"Following the dismissal of Shanghai Party secretary Chen Liangyu in September 2006 due to a social security fund scandal, Xi Jinping was transferred to Shanghai in March 2007, where Xi Jinping was the party secretary there for seven months.",Early political career,
2007,54,Xi Jinping was appointed to the nine-man PSC at the 17th Party Congress in October 2007.,Rise to power,
2008,55,"This assessment was further supported at the 11th National People's Congress in March 2008, when Xi Jinping was elected as vice president of China's.",Rise to power,
