Name,year,age,event,category1,category2,Occupation,Career/Personal Life
Alfred Hitchcock,1955,56,"Known as the ""Master of Suspense"", Alfred Hitchcock became as well known as any of Alfred Hitchcock's actors thanks to Alfred Hitchcock's many interviews, Alfred Hitchcock's cameo roles in most of his films, and Alfred Hitchcock's hosting and producing the television anthology Alfred Hitchcock Presents (1955â65).",summary,,Entertainment,Personal Life
Alfred Hitchcock,1935,36,Alfred Hitchcock's thrillers The 39 Steps (1935) and The Lady Vanishes (1938) are ranked among the greatest British films of the 20th century.,summary,,Entertainment,Career
Alfred Hitchcock,1944,45,"Alfred Hitchcock also received the Academy Award for Best Picture nominations for Lifeboat (1944), Spellbound (1945), Rear Window (1954) and Psycho (1960).Hitchcock's other notable films include Rope (1948), Strangers on a Train (1951), Dial M for Murder (1954), To Catch a Thief (1955), The Trouble with Harry (1955),  Vertigo (1958), North by Northwest (1959), The Birds (1963) and",summary,,Entertainment,Career
Alfred Hitchcock,1955,56,"Alfred Hitchcock became an American citizen in 1955.In 2012, Alfred Hitchcock's psychological thriller Vertigo, starring James Stewart, displaced Orson Welles' Citizen Kane (1941) as the British Film Institute's's greatest film ever made based on the British Film Institute's's world-wide poll of hundreds of film critics.",summary,,Entertainment,Personal Life
Alfred Hitchcock,2021,122,"As of 2021[update], nine of Alfred Hitchcock's films had been selected for preservation in the United States National Film Registry, including Alfred Hitchcock's personal favourite, Shadow of a Doubt (1943). Alfred Hitchcock received the BAFTA Fellowship in 1971, the AFI Life Achievement Award in 1979, and was knighted in December of 1979, four months before Alfred Hitchcock's death on 29 April 1980.",summary,,Entertainment,Career
Alfred Hitchcock,1899,0,"Alfred Hitchcock was born on 13 August 1899 in the flat above his parents''s leased greengrocer's shop at 517 High Road in Leytonstone, which was then part of Essex (now on the outskirts of East London).",Biography,Early life: 1899â1919,Entertainment,Personal Life
Alfred Hitchcock,1863,-36,"Alfred Hitchcock was the son of Emma Jane (nÃ©e Whelan; 1863â1942) and William Edgar Hitchcock (1862â1914), and had an older brother named William Daniel (1890â1943) and an older sister named Ellen Kathleen (1892â1979) who used the nickname ""Nellie"".",Biography,Early life: 1899â1919,Entertainment,Personal Life
Alfred Hitchcock,1862,-37,"One of Alfred Hitchcock's favourite stories for interviewers was about William Edgar Hitchcock (1862â1914) sending Alfred Hitchcock to the local police station with a note when Alfred Hitchcock was five; the policeman looked at a note and locked Alfred Hitchcock in a cell for a few minutes, saying, ""locked is what we do to naughty boys.""",Biography,Early life: 1899â1919,Entertainment,Personal Life
Alfred Hitchcock,1910,11,"family moved again when Alfred Hitchcock was eleven, this time to Putney, and on 5 October 1910 Alfred Hitchcock was sent to St Ignatius College in Stamford Hill, a Jesuit grammar school with a reputation for discipline.",Biography,Early life: 1899â1919,Entertainment,Personal Life
Alfred Hitchcock,1900,1,The school register lists Alfred Hitchcock's year of birth as 1900 rather than 1899; biographer Donald Spoto says Alfred Hitchcock was deliberately enrolled as a ten-year-old because Alfred Hitchcock was a year behind with Alfred Hitchcock's schooling.,Biography,Early life: 1899â1919,Entertainment,Personal Life
Alfred Hitchcock,1913,14,"For example, if A clapperboard showed ""Scene 23; Take 3"", Alfred Hitchcock would whisper ""Woodford, Hampstead""âWoodford being the terminus of the route 23 tram, and Hampstead""âWoodford the end of route Alfred Hitchcock told his parents' that Alfred Hitchcock wanted to be an engineer, and on 25 July 1913, Alfred Hitchcock left St Ignatius College in Stamford Hill, a Jesuit grammar school with a reputation for discipline and enrolled in night classes at the London County Council School of Engineering and Navigation in Poplar.",Biography,Early life: 1899â1919,Entertainment,Personal Life
Alfred Hitchcock,1962,63,"In a book-length interview in 1962, Alfred Hitchcock told biographer Patrick McGilligan that Alfred Hitchcock had studied ""mechanics, electricity, acoustics, and navigation"".",Biography,Early life: 1899â1919,Entertainment,Personal Life
Alfred Hitchcock,1925,26,"Alfred Hitchcock had wanted the leading man to be guilty, or for The Pleasure Garden (1925), starring Virginia Valli, a co-production of Gainsborough and the German firm Emelka at the Geiselgasteig studio near Munich at least to end ambiguously, but the leading man was Ivor Novello, a matinÃ©e idol, and the ""star system"" meant that Ivor Novello, a matinÃ©e idol could not be the villain.",Biography,Inter-war career: 1919â1939,Entertainment,Personal Life
Alfred Hitchcock,1925,26,"Alfred Hitchcock made Alfred Hitchcock's first cameo appearance in The Pleasure Garden (1925), starring Virginia Valli, a co-production of Gainsborough and the German firm Emelka at the Geiselgasteig studio near Munich, sitting in a newsroom.",Biography,Inter-war career: 1919â1939,Entertainment,Personal Life
Alfred Hitchcock,1938,39,"By 1938, Alfred Hitchcock was aware that Alfred Hitchcock had reached Alfred Hitchcock's peak in Britain.",Biography,Inter-war career: 1919â1939,Entertainment,Personal Life
Alfred Hitchcock,1938,39,"In July 1938, Alfred Hitchcock flew to New York, and found that Alfred Hitchcock was already a celebrity; Alfred Hitchcock was featured in magazines and gave interviews to radio stations.",Biography,Inter-war career: 1919â1939,Entertainment,Personal Life
Alfred Hitchcock,1999,100,"the script for a spy thriller, The Short Night was eventually published in David Freeman's book The Last Days of Alfred Hitchcock (1999).Having refused a CBE in 1962, Alfred Hitchcock was appointed a Knight Commander of the Most Excellent Order of the British Empire (KBE) in the 1980 New Year Honours.",Biography,Later years: 1966â1980,Entertainment,Personal Life
Alfred Hitchcock,1963,64,"In a 1963 interview with Italian journalist Oriana Fallaci, Alfred Hitchcock was asked how in spite of appearing to be a pleasant, innocuous man, Alfred Hitchcock seemed to enjoy making films involving suspense and terrifying crime.",Filmmaking,Style and themes,Entertainment,Personal Life
Alfred Hitchcock,1960,61,Alfred Hitchcock was inducted into the Hollywood Walk of Fame on 8 February 1960 with two stars: one for television and a second for motion pictures.,Legacy,Awards and honours,Entertainment,Career
Alfred Hitchcock,2002,103,"In 2002, Alfred Hitchcock was ranked second in the critics' top ten poll and fifth in the directors' top ten poll in the list of ""The Greatest Directors of All Time"" compiled by the Sight & Sound Critics'. Alfred Hitchcock was voted the ""Greatest Director of 20th Century"" in a poll conducted by Japanese film magazine kinema Junpo.",Legacy,Awards and honours,Entertainment,Career
Alfred Hitchcock,2005,106,"Alfred Hitchcock was ranked at No. 2 on Empire's ""Top 40 Greatest Directors of All-Time"" list in 2005.",Legacy,Awards and honours,Entertainment,Career
Alfred Hitchcock,2021,122,"By 2021, nine of Alfred Hitchcock's films had been selected for preservation by the US National Film Registry: Rebecca, nominated for eleven Oscars,, Shadow of a Doubt (1943; inducted 1991), Notorious (1946; inducted 2006), Strangers on a Train (1951; inducted 2021), Rear Window (1954; inducted 1997), Vertigo (1958; inducted 1989), North by Northwest (1959; inducted 1995), Psycho (1960; inducted 1992) and The Birds (1963; inducted 2016).In 2012, Alfred Hitchcock was selected by artist Sir Peter Blake, author of the Beatles' Sgt. Pepper's Lonely Hearts Club Band album cover, to appear in a new version of the cover, along with other British cultural figures, and Alfred Hitchcock was featured 2012 in a BBC Radio 4 series, The New Elizabethans, as someone ""whose actions during the reign of Elizabeth II have had a significant impact on lives in Britain's and given the age Britain's's character"".",Legacy,Awards and honours,Entertainment,Career
Alfred Hitchcock,1929,30,"Alfred Hitchcock includes home movies, 16mm film shot on the set of Blackmail (1929) and Frenzy (1972), and the earliest known colour footage of Alfred Hitchcock.",Legacy,Archives,Entertainment,Career
Alexander Fleming,1999,118,"In 1999, Alexander Fleming was named in Time magazine's list of the 100 Most Important People of the 20th century.",summary,,Academics,Personal Life
Alexander Fleming,2002,121,"In 2002, Alexander Fleming was chosen in the BBC's television poll for determining the 100 Greatest Britons, and in 2009, Alexander Fleming was also voted third ""greatest Scot"" in an opinion poll conducted by STV, behind only Robert Burns and William Wallace.",summary,,Academics,Personal Life
Alexander Fleming,1816,-65,"farmer Hugh Fleming (1816â1888) was 59 at the time of farmer Hugh Fleming (1816â1888)'s second marriage to Grace Stirling Morton (1848â1928), the daughter of a neighbouring farmer, and died when Alexander Fleming was seven.Alexander Fleming went to Loudoun Moor School and Darvel School, and earned a two-year scholarship to Kilmarnock Academy before moving to London, where Alexander Fleming attended the Royal Polytechnic Institution.",Early life and education,,Academics,Personal Life
