year,age,event,category1,category2,Name,Career/Personal Life
1944,57,"Bernard Montgomery subsequently commanded the British Eighth Army during the Allied invasion of Sicily and the Allied invasion of Italy and was in command of all Allied ground forces during the Battle of Normandy (Operation Overlord), from D-Day on 6 June 1944 until 1 September 1944.",summary,,Bernard Montgomery,Career
1887,0,"Bernard Montgomery was born in Kennington, Surrey, in 1887, the fourth child of nine, to a Church of Ireland minister, Henry Montgomery, and a Church of Ireland minister, Henry Montgomery,'s wife, Maud (née Farrar).",Early life,,Bernard Montgomery,Career
1889,2,"was a financial relief of some magnitude when, in 1889, a Church of Ireland minister, Henry Montgomery, was made Bishop of Tasmania, then still a British colony, and Bernard Montgomery spent Bernard Montgomery's formative years there.",Early life,,Bernard Montgomery,Career
1897,10,"family returned to England once for a Lambeth Conference in 1897, and Bernard Montgomery and Bernard Montgomery's were educated at The King's School, Canterbury.",Early life,,Bernard Montgomery,Career
1910,23,"Bernard Montgomery was promoted to lieutenant in 1910, and in 1912 became adjutant of the 1st Battalion of the Royal Warwickshire Regiment at Shorncliffe Army Camp.",Early life,,Bernard Montgomery,Career
1914,27,"At Méteren, near the Belgian border at Bailleul on 13 October 1914, during an Allied counter-offensive, Bernard Montgomery was shot through the right lung by a sniper.",First World War,,Bernard Montgomery,Career
1915,28,"After recovering in early 1915, Bernard Montgomery was appointed brigade major, first of the 112th Brigade, and then with 104th Brigade training in Lancashire.",First World War,,Bernard Montgomery,Career
1919,32,"After the First World War, Bernard Montgomery commanded the 17th (Service) Battalion of the Royal Fusiliers, a battalion in the British Army of the Rhine, before reverting to Bernard Montgomery's substantive rank of captain (brevet major) in November 1919.",Between the world wars,1920s,Bernard Montgomery,Career
1923,36,"In May 1923, Bernard Montgomery was posted to the 49th (West Riding) Infantry Division, a Territorial Army (TA) formation.",Between the world wars,1920s,Bernard Montgomery,Career
1925,38,"Bernard Montgomery returned to the 1st Battalion, Royal Warwickshire Regiment in 1925 as a company commander and was promoted to major in July 1925.",Between the world wars,1920s,Bernard Montgomery,Career
1925,38,"In 1925, in Bernard Montgomery's first known courtship of a woman, Bernard Montgomery Bernard Montgomery's proposed to a 17-year-old girl, Betty Anderson.",Between the world wars,Marriage and family,Bernard Montgomery,Career
1942,55,"Bernard Montgomery had stabilised the Allied position at the First Battle of El Alamein, but after a visit in August 1942, the Prime Minister, Winston Churchill, replaced Bernard Montgomery as C-in-C with General Sir Harold Alexander and William Gott as commander of Eighth Army.",Second World War,North Africa and Italy,Bernard Montgomery,Personal Life
1944,57,"When Bernard Montgomery protested that Bernard Montgomery had told his protégé, General Sir John Crocker, former commander of I Corps in the 1944–45 North-West Europe Campaign, that the job was to be his protégé, General Sir John Crocker, former commander of I Corps in the 1944–45 North-West Europe Campaign,'s, Prime Minister Clement Attlee's is said to have retorted ""Untell him"".Bernard Montgomery was then appointed Chairman of the Western Union Defence Organization's C-in-C committee.",Later life,Post-war military career,Bernard Montgomery,Career
1946,59,Bernard Montgomery was created 1st Viscount Montgomery of Alamein in 1946.Montgomery's,Later life,Personal,Bernard Montgomery,Personal Life
1958,71,"Bernard Montgomery was threatened with legal action by Field Marshal Auchinleck for suggesting that Field Marshal Auchinleck had intended to retreat from the Alamein position if attacked again, and had to give a radio broadcast (20 November 1958) expressing his gratitude to Auchinleck for having stabilised the front at the First Battle of Alamein.",Later life,Opinions,Bernard Montgomery,Personal Life
1967,80,"During a visit to the Alamein battlefields in May 1967, Bernard Montgomery bluntly told high-ranking Egyptian Army officers that high-ranking Egyptian Army officers would lose any war with Israel, a warning that was shown to be justified only a few weeks later in the Six-Day War.",Later life,Opinions,Bernard Montgomery,Personal Life
1928,41,"Bernard Montgomery was survived by Bernard Montgomery's son and only child David Montgomery, 2nd Viscount Montgomery of Alamein (1928–2020), as well as two grandchildren.",Death,,Bernard Montgomery,Personal Life
