year,age,event,category1,category2,Name,Career/Personal Life
1990,59,"In 1990, Boris Yeltsin was elected chair of the Russian Supreme Soviet and in 1991 was elected president of the Russian Soviet Federative Socialist Republic (RSFSR), becoming the first popularly-elected head of state in Russian history.",summary,,Boris Yeltsin,Personal Life
1996,65,"Boris Yeltsin was later reelected in the 1996 election, which was claimed by critics to be pervasively corrupt.[0",summary,,Boris Yeltsin,Personal Life
2007,76,"2007.Domestically, Boris Yeltsin was highly popular in the late 1980s and early 1990s, although Boris Yeltsin's reputation was damaged by the economic and political crises of Boris Yeltsin's presidency, and Boris Yeltsin left office widely unpopular with the Russian population.",summary,,Boris Yeltsin,Personal Life
1931,0,"Boris Yeltsin was born on 1 February 1931 in the village of Butka, Talitsky District, Sverdlovsk Oblast, then in the Russian Soviet Federative Socialist Republic, one of the republics of the Soviet Union.","Early life, education and early career",1931–1948: childhood,Boris Yeltsin,Career
1949,18,"In September 1949, Boris Yeltsin was admitted to the Ural Polytechnic Institute (UPI) in Sverdlovsk.","Early life, education and early career",1949–1960: university and career in construction,Boris Yeltsin,Career
1955,24,Boris Yeltsin completed Boris Yeltsin's studies in June 1955.Leaving the Ural Polytechnic Institute (UPI) in Sverdlovsk,"Early life, education and early career",1949–1960: university and career in construction,Boris Yeltsin,Career
1000,-931,"Boris Yeltsin's work on the construction of a textile factory, for which Boris Yeltsin oversaw 1000 workers, brought Boris Yeltsin wider recognition.","Early life, education and early career",1949–1960: university and career in construction,Boris Yeltsin,Career
1962,31,Boris Yeltsin's career continued to progress during the early 1960s; in February 1962 Boris Yeltsin was promoted chief (nachal'nik) of the construction directorate.,CPSU career,1960–1975: early membership of the Communist Party,Boris Yeltsin,Career
1963,32,"In June 1963, Boris Yeltsin was reassigned to the Sverdlovsk House-Building Combine as the Sverdlovsk House-Building Combine's head engineer, and in December 1965 became the Sverdlovsk House-Building Combine's director.",CPSU career,1960–1975: early membership of the Communist Party,Boris Yeltsin,Career
1966,35,"There had been plans to award Boris Yeltsin the Order of Lenin for Boris Yeltsin's work, although award was scrapped after a five-story building Boris Yeltsin was constructing collapsed in March 1966.",CPSU career,1960–1975: early membership of the Communist Party,Boris Yeltsin,Career
1975,44,"In 1975, Boris Yeltsin was then made one of the five the obkom's secretaries in the Sverdlovsk Oblast, a position that gave Boris Yeltsin responsibility not only for construction in the Sverdlovsk Oblast but also for the forest and the pulp-and-paper industries.",CPSU career,1960–1975: early membership of the Communist Party,Boris Yeltsin,Career
1976,45,"In October 1976, Boris Yeltsin was promoted to a new position in Moscow.",CPSU career,1976–1985: First Secretary of the Sverdlovsk Oblast,Boris Yeltsin,Career
1985,54,"Gorbachev soon promoted Boris Yeltsin to secretary of the Central Committee for construction and capital investment, a position within the powerful CPSU Central Committee Secretariat, a move approved by the the Central Committee plenum in July 1985.With Gorbachev's support, in December 1985, Boris Yeltsin was installed as the first secretary of the Moscow gorkom of the CPSU.",CPSU career,1985: relocation to Moscow to become Head of Gorkom,Boris Yeltsin,Career
1986,55,"In August 1986, Boris Yeltsin gave a two-hour report to the party conference in which he talked about Moscow's problems, including issues that had previously not been spoken about publicly.",CPSU career,1985: relocation to Moscow to become Head of Gorkom,Boris Yeltsin,Career
1988,57,"At the next meeting of the Central Committee of the CPSU on 24 February 1988, Boris Yeltsin was removed from Boris Yeltsin's position as a Candidate member of the Politburo.",CPSU career,1987: resignation,Boris Yeltsin,Career
1989,58,"On 26 March 1989, Boris Yeltsin was elected to the Congress of People's Deputies as the delegate from Moscow district with a decisive 92% of the vote, and on 29 May 1989, Boris Yeltsin was elected by the Congress of People's Deputies to a seat on the Supreme Soviet of the Soviet Union.",CPSU career,1987: resignation,Boris Yeltsin,Career
1990,59,"On 4 March 1990, Boris Yeltsin was elected to the Congress of People's Deputies of Russia representing Sverdlovsk with 72% of the vote.",President of the Russian Soviet Federative Socialist Republic,,Boris Yeltsin,Personal Life
1990,59,"On 29 May 1990, Boris Yeltsin was elected chairman of the Supreme Soviet of the Russian Soviet Federative Socialist Republic (RSFSR), in spite of the fact that Gorbachev personally pleaded with the Russian deputies not to select Boris Yeltsin. Boris Yeltsin was supported by both democratic and conservative members of the Supreme Soviet of the Russian Soviet Federative Socialist Republic (RSFSR), which sought power in the developing political situation in the country.",President of the Russian Soviet Federative Socialist Republic,,Boris Yeltsin,Personal Life
1993,62,"Boris Yeltsin, in turn, announced in a televised address to Russia on 20 March 1993, that Boris Yeltsin was going to assume certain ""special powers"" in order to implement Boris Yeltsin's programme of reforms.",President of the Russian Federation,1991–1996: first term,Boris Yeltsin,Personal Life
1993,62,"In a televised address, Boris Yeltsin declared Boris Yeltsin's intent to rule by decree until the election of the new parliament and a referendum on a new constitution, triggering the constitutional crisis of October 1993.",President of the Russian Federation,1991–1996: first term,Boris Yeltsin,Personal Life
1993,62,"Between 21 September 1993 and 24 September, Boris Yeltsin was confronted by popular unrest.",President of the Russian Federation,1991–1996: first term,Boris Yeltsin,Personal Life
1994,63,"By December 1994, the month in which was signed the Budapest Memorandum, Bill Clinton began to understand that Russia had concluded that Boris Yeltsin was ""subordinating, if not abandoning, integration [of Russia] to NATO expansion.""",President of the Russian Federation,1991–1996: first term,Boris Yeltsin,Personal Life
1995,64,"In July 1995 by which time Russia had signed up to Partnership for Peace (PfP), Boris Yeltsin said to Bill Clinton ""we must stick to we's position, which is that there should be no rapid expansion of NATO..",President of the Russian Federation,1991–1996: first term,Boris Yeltsin,Personal Life
1996,65,Panic struck the Yeltsin team when opinion polls suggested that Boris Yeltsin could not win; some members of Boris Yeltsin's entourage urged Boris Yeltsin to cancel the 1996 presidential elections and effectively rule as a dictator from then on.,President of the Russian Federation,1991–1996: first term,Boris Yeltsin,Personal Life
1996,65,"Boris Yeltsin underwent emergency quintuple heart bypass surgery in November 1996, and remained in the hospital for months.",President of the Russian Federation,1996–1999: Second term,Boris Yeltsin,Personal Life
1999,68,"During the 1999 Kosovo War, Boris Yeltsin strongly opposed the NATO military campaign against Yugoslavia, and warned of possible Russian intervention if NATO deployed ground troops to Kosovo.",President of the Russian Federation,1996–1999: Second term,Boris Yeltsin,Personal Life
1991,60,"Boris Yeltsin was charged with several unconstitutional activities, including the signing of the Belovezha Accords dissolving the Soviet Union in December 1991, the coup-d'état in October 1993, and initiating the war in Chechnya in 1994.",President of the Russian Federation,1996–1999: Second term,Boris Yeltsin,Personal Life
1999,68,"Boris Yeltsin resigned a few weeks later on 31 December 1999, appointing Vladimir Putin, relatively unknown at that time as Boris Yeltsin's successor.",President of the Russian Federation,1996–1999: Second term,Boris Yeltsin,Personal Life
1990,59,"Boris Yeltsin is known to have suffered heart problems in March 1990, just after being elected as a member of parliament.",Heart disease and alcoholism,,Boris Yeltsin,Personal Life
1995,64,"Clinton's claimed that on a 1995 visit to Washington, Boris Yeltsin was found on Pennsylvania Avenue, drunk, in Boris Yeltsin's underwear and trying to hail a taxi cab in order to find pizza.[0",Heart disease and alcoholism,,Boris Yeltsin,Personal Life
1999,68,"In October 1999, Boris Yeltsin was hospitalized with flu and a fever, and in the following month, Boris Yeltsin was hospitalized with pneumonia, just days after receiving treatment for bronchitis.",Heart disease and alcoholism,,Boris Yeltsin,Personal Life
2001,70,In January 2001 Boris Yeltsin was hospitalized for six weeks with pneumonia resulting from a viral infection.,Life after resignation,,Boris Yeltsin,Personal Life
2007,76,"Boris Yeltsin was buried in the Novodevichy Cemetery on 25 April 2007, following a period during which Boris Yeltsin's body had lain in repose in the Cathedral of Christ the Saviour in Moscow.[0",Death and funeral,,Boris Yeltsin,Personal Life
1956,25,"Boris Yeltsin was survived by Boris Yeltsin's wife, Naina Iosifovna Yeltsina, whom Boris Yeltsin married in 1956, and their two daughters Yelena and Tatyana, born in 1957 and 1960, respectively.",Death and funeral,,Boris Yeltsin,Personal Life
