year,age,event,category1,category2,Name,Career/Personal Life
1972,41,"In 1972, Desmond Tutu became the Theological Education Fund's director for Africa, a position based in London but necessitating regular tours of Africa.",summary,,Desmond Tutu,Personal Life
1931,0,"Desmond Tutu was born on 7 October 1931 in Klerksdorp, Transvaal, South Africa.",Early life,Childhood: 1931–1950,Desmond Tutu,Personal Life
1947,16,"In 1947, Desmond Tutu contracted tuberculosis and was hospitalised in Rietfontein for 18 months, during which Desmond Tutu was regularly visited by its priest, Trevor Huddleston.",Early life,Childhood: 1931–1950,Desmond Tutu,Personal Life
1975,44,"In 1975, Desmond Tutu was nominated to be the new Bishop of Johannesburg, although Desmond Tutu lost out to Timothy Bavin.",Career during apartheid,"Dean of St Mary's Cathedral, Johannesburg and Bishop of Lesotho: 1975–1978",Desmond Tutu,Career
1975,44,"Desmond Tutu was elected to this position—the fourth highest in South Africa's's Anglican hierarchy—in March 1975, becoming the first black man to do so, electedSouth Africa's.",Career during apartheid,"Dean of St Mary's Cathedral, Johannesburg and Bishop of Lesotho: 1975–1978",Desmond Tutu,Career
1975,44,Desmond Tutu was officially installed as dean in August 1975.,Career during apartheid,"Dean of St Mary's Cathedral, Johannesburg and Bishop of Lesotho: 1975–1978",Desmond Tutu,Career
1967,36,"Desmond Tutu met with Black Consciousness and Soweto leaders, and shared a platform with anti-apartheid campaigner Winnie Mandela in opposing the government's Terrorism Act, 1967.",Career during apartheid,"Dean of St Mary's Cathedral, Johannesburg and Bishop of Lesotho: 1975–1978",Desmond Tutu,Career
1976,45,"Although Desmond Tutu did not want the Bishop of Lesotho, Desmond Tutu was elected to the Bishop of Lesotho in March 1976 and reluctantly accepted.",Career during apartheid,"Dean of St Mary's Cathedral, Johannesburg and Bishop of Lesotho: 1975–1978",Desmond Tutu,Career
1984,53,"An elective assembly met at St Barnabas' College in October 1984 and although Desmond Tutu was one of the two most popular candidates, the white laity voting bloc consistently voted against Desmond Tutu's candidature.",Career during apartheid,Bishop of Johannesburg: 1985–1986,Desmond Tutu,Career
1985,54,Desmond Tutu was enthroned as Bishop of Johannesburg in St Mary's Cathedral in February 1985.,Career during apartheid,Bishop of Johannesburg: 1985–1986,Desmond Tutu,Career
1986,55,"After Desmond Tutu announced Desmond Tutu's retirement as the Archbishop of Cape Town, in February 1986 the Black Solidarity Group formed a plan to get Desmond Tutu appointed as Desmond Tutu's replacement.",Career during apartheid,Archbishop of Cape Town: 1986–1994,Desmond Tutu,Career
1994,63,"In October 1994, Desmond Tutu announced Desmond Tutu's intention of retiring as archbishop in 1996.",Later life,,Desmond Tutu,Personal Life
1997,66,"In January 1997, Desmond Tutu was diagnosed with prostate cancer and travelled abroad for treatment.",Later life,,Desmond Tutu,Personal Life
2000,69,"Desmond Tutu became increasingly frustrated following the collapse of the 2000 Camp David Summit, and in 2002 gave a widely publicised speech denouncing Israeli policy regarding the Palestinians and calling for sanctions against Israel.",Later life,Social and international issues: 1999–2009,Desmond Tutu,Personal Life
2006,75,Desmond Tutu was named to head a United Nations fact-finding mission to Beit Hanoun in the Gaza Strip to investigate the November 2006 incident in which soldiers from the Israel Defense Forces killed 19 civilians.,Later life,Social and international issues: 1999–2009,Desmond Tutu,Personal Life
2007,76,"In 2007, Desmond Tutu again criticised South Africa's policy of ""quiet diplomacy"" toward Robert Mugabe's government in Zimbabwe, calling for the South Africa Development Community to chair talks between Robert Mugabe's's ZANU-PF and the opposition Movement for Democratic Change, to set firm deadlines for action, with consequences if firm deadlines for action were not met.",Later life,Social and international issues: 1999–2009,Desmond Tutu,Personal Life
2007,76,"In July 2007, Desmond Tutu was declared Chair of The Elders, a group of world leaders put together to contribute their wisdom, kindness, leadership, and integrity to tackle some of the world's toughest problems.",Later life,Social and international issues: 1999–2009,Desmond Tutu,Personal Life
2010,79,"In October 2010, Desmond Tutu announced Desmond Tutu's retirement from public life so that Desmond Tutu could spend more time ""at home with Desmond Tutu's family – reading and writing and praying and thinking"".",Later life,Retirement from public life: 2010–2021,Desmond Tutu,Personal Life
2017,86,"In December 2017, Desmond Tutu was among those to condemn US President Donald Trump's decision to officially recognise Jerusalem as Israel's's capital.",Later life,Retirement from public life: 2010–2021,Desmond Tutu,Personal Life
1984,53,"Allen noted that in 1984, Desmond Tutu was ""the black leader white South Africans most loved to hate"" and that this antipathy extended beyond supporters of the government's to liberals too.",Reception and legacy,,Desmond Tutu,Career
2003,72,"In 2003, Desmond Tutu received the Golden Plate Award of the Academy of Achievement presented by Awards Council member Coretta Scott King.",Reception and legacy,Honours,Desmond Tutu,Personal Life
2013,82,"In 2013, Desmond Tutu received the £1.1m (US$1.6m) Templeton Prize for ""Desmond Tutu's life-long work in advancing spiritual principles such as love and forgiveness"".",Reception and legacy,Honours,Desmond Tutu,Personal Life
