year,age,event,category1,category2,Name,Career/Personal Life
1962,15,"Elton John formed the blues band Bluesology in 1962, but left in 1967 to embark on a solo career and met lyricist Bernie Taupin 1967.",summary,,Elton John,Career
1969,22,"In 1969, Elton John released Elton John's debut album Empty Sky, and a year later formed the Elton John Band, also releasing Elton John's first hit single, ""Your Song"".",summary,,Elton John,Career
1992,45,"Elton John established the Elton John AIDS Foundation in 1992, which has raised over £300 million since the Elton John AIDS Foundation's inception, and a year later Elton John began hosting Elton John's annual the Elton John AIDS Foundation Academy Awards Party, which has since become one of the biggest high-profile Oscar parties in the Hollywood film industry.",summary,,Elton John,Personal Life
1976,29,"Elton John was the chairman and director of Watford F.C. from 1976 to 1987, and again from 1997 to 2002, and is an honorary life president of the Elton John AIDS Foundation.",summary,,Elton John,Personal Life
1992,45,"Elton John was inducted into the Songwriters Hall of Fame in 1992 and the Rock and Roll Hall of Fame in 1994, and is a fellow of The Ivors Academy.",summary,,Elton John,Personal Life
1998,51,"Elton John was knighted by Elizabeth II for services to music and charity in 1998 and was appointed a member of the Order of the Companions of Honour in 2020, being invested at Windsor Castle in 2021 by the Prince of Wales.",summary,,Elton John,Personal Life
1947,0,"Elton John was born Reginald Kenneth Dwight on 25 March 1947 in Pinner, Middlesex, London, the eldest child of Stanley Dwight (1925–1991) and only child of Sheila Eileen (née Harris; 1925–2017).",Early life,,Elton John,Career
1925,-22,"With Stanley Dwight (1925–1991) uninterested in Stanley Dwight (1925–1991)'s and often absent, Elton John was raised primarily by Sheila Eileen (née Harris; 1925–2017) and his grandmother's.",Early life,,Elton John,Career
1972,25,"Elton John legally changed the name Elton John to Elton Hercules John on 7 January 1972.The team of Elton John and Bernie Taupin, who had answered the same ad joined Dick James's's DJM Records as staff songwriters in 1968, and over the next two years wrote material for various artists, among various artists Roger Cook and Lulu.",Career,1962–1969: Pub pianist to staff songwriter,Elton John,Career
1972,25,"In 1972 Elton John performed at the Royal Variety Performance, where Elton John was upstaged by the dancing of ""Legs"" Larry Smith, the drummer with the Bonzo Dog Doo-Dah Band.",Career,1969–1973: Debut album to Goodbye Yellow Brick Road,Elton John,Career
1974,27,"In 1974, Elton John collaborated with John Lennon on his cover of the Beatles' ""Lucy in the Sky with Diamonds"", the B-side of which was John Lennon's ""One Day at a Time"".",Career,1974–1980: The Rocket Record Company to 21 at 33,Elton John,Career
1975,28,"On 9 August 1975, Elton John was named the outstanding rock personality of the year at the first annual Rock Music Awards in Santa Monica, California.",Career,1974–1980: The Rocket Record Company to 21 at 33,Elton John,Career
1983,36,"With original band members Elton John, Murray and Olsson together again, Elton John returned to the charts with the 1983 album Too Low for Zero, which included the singles ""I'm Still Standing"" (No. 4 UK) and ""I Guess That's Why They Call It the Blues"", the latter of which featured Stevie Wonder on harmonica and reached number four in the US and number five in UK.",Career,1981–1989: The Fox to Sleeping with the Past,Elton John,Career
1982,35,"Elton John played ""Bennie and the Jets"" and ""Rocket Man""; then ""Don't Go Breaking My Heart"" with Kiki Dee for the first time since the Hammersmith Odeon on 24 December 1982; and introduced George Michael, still then of Wham!, to sing ""Don't Let the Sun Go Down on Me"".",Career,1981–1989: The Fox to Sleeping with the Past,Elton John,Career
1985,38,"Towards the end of 1985, Elton John released ""Nikita"" from the album Ice on Fire, which had a music video directed by Ken Russell.",Career,1981–1989: The Fox to Sleeping with the Past,Elton John,Career
2020,73,"As Elton John recalled in 2020, ""Elton John was used to making records under the haze of alcohol or drugs, and here Elton John was, 100% sober, so it was tough.",Career,"1990–1999: ""Sacrifice"" to Aida",Elton John,Career
1992,45,"In April 1992, Elton John appeared at the Freddie Mercury Tribute Concert at Wembley Stadium, performing ""The Show Must Go On"" with the remaining members of Queen, and ""Bohemian Rhapsody"" with Axl Rose of Guns N' Roses and the remaining members of Queen.",Career,"1990–1999: ""Sacrifice"" to Aida",Elton John,Career
1994,47,"In 1994, Elton John was inducted into the Rock and Roll Hall of Fame by Axl Rose of Guns N' Roses.",Career,"1990–1999: ""Sacrifice"" to Aida",Elton John,Career
2001,54,"At the 2001 Grammy Awards, Elton John performed ""I Want Love"" with Eminem.",Career,2000–2009: Billy Elliot the Musical and 60th birthday,Elton John,Career
2000,53,"Elton John had been moved to write Billy Elliot the Musical after seeing the 2000 British coming-of-age film Billy Elliot, saying of Billy Elliot the Musical, ""Billy Elliot the Musical's like Elton John"".",Career,2000–2009: Billy Elliot the Musical and 60th birthday,Elton John,Career
2011,64,"Elton John began his new show The Million Dollar Piano at the Colosseum at Caesars Palace, Las Vegas, on 28 September 2011, and performed his new show The Million Dollar Piano there for the next three years.",Career,2010–2018: The Union to Wonderful Crazy Night,Elton John,Career
2011,64,"Elton John performed Elton John's 3000th concert on 8 October 2011 at Caesars Palace, Las Vegas.",Career,2010–2018: The Union to Wonderful Crazy Night,Elton John,Career
2017,70,"Elton John also had a major role, as Elton John, in the action movie Kingsman: The Golden Circle, which was released in September 2017.On 26 January 2017, it was announced that Elton John would compose the score for the Broadway musical version of the novel The Devil Wears Prada and the novel The Devil Wears Prada's film adaptation, with Kevin McCollum as producer and Paul Rudnick writing the lyrics and story.",Career,2010–2018: The Union to Wonderful Crazy Night,Elton John,Career
2018,71,"On 24 January 2018, it was announced that Elton John was retiring from touring and would soon embark on a three-year farewell tour.",Career,2018–present: Farewell Yellow Brick Road and more,Elton John,Career
