year,age,event,category1,category2,Name,Career/Personal Life
1954,55,"Ernest Hemingway produced most of Ernest Hemingway's work between the mid-1920s and the mid-1950s, and Ernest Hemingway was awarded the 1954 Nobel Prize in Literature.",summary,,Ernest Hemingway,Career
1918,19,"In 1918, Ernest Hemingway was seriously wounded and returned home.",summary,,Ernest Hemingway,Personal Life
1926,27,Ernest Hemingway's debut novel The Sun Also Rises was published in 1926.,summary,,Ernest Hemingway,Career
1954,55,"On a 1954 trip to Africa, Ernest Hemingway was seriously injured in two plane accidents on successive days, leaving Ernest Hemingway in pain and ill health for much of the rest of Ernest Hemingway's life.",summary,,Ernest Hemingway,Personal Life
1899,0,"Ernest Hemingway was born on July 21, 1899, in Oak Park, Illinois, an affluent suburb just west of Chicago, to Clarence Edmonds Hemingway, a physician, and Grace Hall Hemingway, a musician.",Life and career,,Ernest Hemingway,Personal Life
1921,22,"the two were married on September 3, 1921; two months later Ernest Hemingway was hired as a foreign correspondent for the Toronto Star Weekly, and the two left for Paris.",Life and career,World War I,Ernest Hemingway,Personal Life
1922,23,"Ernest Hemingway covered the Greco-Turkish War, where Ernest Hemingway witnessed the burning of Smyrna, and wrote travel pieces such as ""Tuna Fishing in Spain"" and ""Trout Fishing All Across Europe: Spain Has the Best, Then Germany"".Ernest Hemingway was devastated on learning that Hadley had lost a suitcase filled with his manuscripts at the Gare de Lyon as Hadley was traveling to Geneva to meet Ernest Hemingway in December 1922.",Life and career,Paris,Ernest Hemingway,Personal Life
1924,25,"Ernest Hemingway missed Paris, considered Toronto, where their son John Hadley Nicanor boring, and wanted to return to the life of a writer, rather than live the life of a journalist.Ernest Hemingway, Hadley, and their son John Hadley Nicanor returned to Paris in January 1924 and moved into a new apartment on the rue Notre-Dame des Champs.",Life and career,Paris,Ernest Hemingway,Personal Life
1929,30,"In Spain in mid-1929, Ernest Hemingway researched Ernest Hemingway's next work, Death in the Afternoon.",Life and career,Key West and the Caribbean,Ernest Hemingway,Personal Life
1947,48,"In 1947, Ernest Hemingway was awarded a Bronze Star for Ernest Hemingway's bravery during World War II.",Life and career,World War II,Ernest Hemingway,Career
1939,40,"Ernest Hemingway sank into depression as Ernest Hemingway's literary friends began to die: in 1939 William Butler Yeats and Ford Madox Ford; in 1940 F. Scott Fitzgerald; in 1941 Sherwood Anderson and James Joyce; in 1946 Gertrude Stein; and the following year in 1947, Max Perkins, Ernest Hemingway's long-time Scribner's editor, and friend.",Life and career,Cuba and the Nobel Prize,Ernest Hemingway,Personal Life
1950,51,"The following year, furious at the critical reception of the novel Across the River and into the Trees, written in Cuba during a time of strife with Mary, and published in 1950 to negative reviews, Ernest Hemingway wrote the draft of The Old Man and the Sea in eight weeks, saying that the draft of The Old Man and the Sea was ""the best Ernest Hemingway can write ever for all of Ernest Hemingway's life"".",Life and career,Cuba and the Nobel Prize,Ernest Hemingway,Career
1954,55,"In January 1954, while in Africa, Ernest Hemingway was almost fatally injured in two successive plane crashes.",Life and career,Cuba and the Nobel Prize,Ernest Hemingway,Personal Life
1954,55,"After two successive plane crashes, Ernest HemingwayErnest Hemingway's , drank more heavily than usual to combat the pain of Hemingway's injuries.""In October 1954, Ernest Hemingway received the Nobel Prize in Literature.",Life and career,Cuba and the Nobel Prize,Ernest Hemingway,Personal Life
1956,57,"In November 1956, while staying in Paris, Ernest Hemingway was reminded of trunks he had stored in the Ritz Hotel in 1928 and never retrieved.",Life and career,Cuba and the Nobel Prize,Ernest Hemingway,Personal Life
1959,60,"Ernest Hemingway was in Cuba in November 1959, between returning from Pamplona and traveling west to Idaho, and the following year for Ernest Hemingway's 61st birthday; however, the following year Hemingway and Mary Mary, who had an ectopic pregnancy five months later decided to leave after hearing the news that Castro wanted to nationalize property owned by Americans and other foreign nationals.",Life and career,Cuba and the Nobel Prize,Ernest Hemingway,Personal Life
1960,61,"Meyers writes that ""an aura of secrecy surrounds Ernest Hemingway's treatment at the Mayo Clinic in Minnesota"" but confirms that Ernest Hemingway was treated with electroconvulsive therapy (ECT) as many as 15 times in December 1960 and was ""released in ruins"" in January 1961.",Life and career,Idaho and suicide,Ernest Hemingway,Personal Life
1991,92,"Medical records made available in 1991 confirmed that Ernest Hemingway had been diagnosed with hereditary hemochromatosis, whereby the excessive accumulation of iron in tissues culminates in mental and physical deterioration in early 1961.",Life and career,Idaho and suicide,Ernest Hemingway,Personal Life
1954,55,"In 1954, when Ernest Hemingway was awarded the Nobel Prize for Literature, awarded was for ""Ernest Hemingway's mastery of the art of narrative, most recently demonstrated in The Old Man and the Sea, and for the influence that Ernest Hemingway has exerted on contemporary style.",Writing style,,Ernest Hemingway,Career
2012,113,"In 2012, Ernest Hemingway was inducted into the Chicago Literary Hall of Fame.",Influence and legacy,,Ernest Hemingway,Career
