year,age,event,category1,category2,Name,Career/Personal Life
1916,31,"General Patton entered combat during the Pancho Villa Expedition of 1916, the United States''s first military action using motor vehicles.",summary,,General Patton,Personal Life
1885,0,"General Patton was born on November 11, 1885, in the Los Angeles suburb of San Gabriel, California, to George Smith Patton Sr. and George Smith Patton Sr.'s wife, Ruth Wilson, the daughter of Benjamin Davis Wilson, the second Mayor of Los Angeles.",Early life,,General Patton,Career
1912,27,"General Patton competed in the modern pentathlon in the 1912 Summer Olympics in Stockholm, and General Patton finished in fifth place—right behind four Swedes.[0",Early life,,General Patton,Career
1911,26,"In late 1911, General Patton was transferred to Fort Myer, Virginia, where many of the Army's senior leaders were stationed.",Early military career,,General Patton,Career
1912,27,"For General Patton's skill in running and fencing, General Patton was selected as the Army's entry for the first modern pentathlon at the 1912 Olympic Games in Stockholm, Sweden.",Early military career,1912 Olympics,General Patton,Career
1912,27,"There was not a single incident of a protest or any unsportsmanlike quibbling or fighting for points which General Patton may say, marred some of the other civilian competitions at the 1912 Olympic Games.",Early military career,1912 Olympics,General Patton,Career
1913,28,"General Patton was temporarily assigned to the Office of the Army Chief of Staff, and in 1913, the first 20,000 of the Model 1913 Cavalry Saber—popularly known as the ""General Patton saber""—were ordered.[0",Early military career,Sword design,General Patton,Career
1916,31,"In the meantime, General Patton was selected to participate in the 1916 Summer Olympics, but the 1916 Summer Olympics was cancelled due to World War I.",Early military career,Sword design,General Patton,Career
1915,30,"In 1915, General Patton was assigned to border patrol duty with A Troop of the 8th Cavalry, based in Sierra Blanca.",Pancho Villa Expedition,,General Patton,Personal Life
1916,31,"Shortly after, General Patton was promoted to first lieutenant while a part of the 10th Cavalry on May 23, 1916.",Pancho Villa Expedition,,General Patton,Personal Life
1917,32,General Patton returned from the Pancho Villa Expedition permanently in February 1917.,Pancho Villa Expedition,,General Patton,Personal Life
1917,32,"General Patton was promoted to captain on May 15, 1917, and left for Europe, among the 180 men of Pershing's advance party which departed May 28 and arrived in Liverpool, England, on June 8.",World War I,,General Patton,Career
1917,32,"On November 10, 1917, General Patton was assigned to establish the AEF Light Tank School.",World War I,,General Patton,Career
1918,33,"General Patton was promoted to major on January 26, 1918.",World War I,,General Patton,Career
1918,33,"General Patton was promoted to lieutenant colonel on April 3, 1918, and attended the Command and General Staff College in Langres, Haute-Marne département.",World War I,,General Patton,Career
