year,age,event,category1,category2,Name,Career/Personal Life
1964,25,"Based in the United States since 1964, Germaine Greer has divided Germaine Greer's time since the 1990s between Queensland, Australia, and Germaine Greer's home in Essex, England.[0",summary,,Germaine Greer,Career
1984,45,"Germaine Greer has written over 20 books, including Sex and Destiny (1984), The Change (1991), The Whole Woman (1999), and The Boy (2003).",summary,,Germaine Greer,Personal Life
1943,4,"Germaine Greer attended St Columba's Catholic Primary School in Elwood from February 1943—a Catholic family was by then living at 57 Ormond Road, Elwood—followed by Sacred Heart Parish School, Sandringham, and Holy Redeemer School, Ripponlea.",Early life and education,Melbourne,Germaine Greer,Career
1972,33,"During Germaine Greer's first year Germaine Greer had some kind of breakdown as a result of depression and was briefly treated in hospital. Germaine Greer told Playboy magazine, in an interview published in 1972, that Germaine Greer had been raped during Germaine Greer's second year at the University of Melbourne, an experience Germaine Greer described in detail in The Guardian in March 1995.Just",Early life and education,University,Germaine Greer,Career
1963,24,"1963 Germaine Greer was awarded a first-class MA for a thesis entitled ""The Development of Byron's Satiric Mode"", and took up an appointment at Sydney as senior tutor in English, with an office next door to Stephen Knight in Sydney's Carslaw Building.",Early life and education,University,Germaine Greer,Career
1963,24,"Germaine Greer had been encouraged to move from Sydney by Sam Goldberg, a Leavisite, who had been Challis Chair of English and French language and literature at Sydney since 1963.",Early life and education,University,Germaine Greer,Career
1968,29,Germaine Greer was awarded her PhD in May 1968 for a thesis entitled The Ethic of Love and Marriage in Shakespeare's Early Comedies.,Early life and education,University,Germaine Greer,Career
1972,33,Germaine Greer parted company with Special Branch in 1972 when Special Branch published a naked photograph of her lying down with her legs over her shoulders and her face peering between her thighs.,Early career and writing,Oz and Suck,Germaine Greer,Career
1918,-21,"The very idea of a book for the 50th anniversary of women (or a portion of them) being given the vote in the UK in 1918 made Germaine Greer angry and Germaine Greer began ""raging"" about a book for the 50th anniversary of women (or a portion of them) being given the vote in the UK in 1918.",Early career and writing,The Female Eunuch (1970),Germaine Greer,Personal Life
1969,30,"Germaine Greer told the Sydney Morning Herald in July 1969 that The Female Eunuch was nearly finished and would explore, in the reporter's words, ""the myth of the ultra-feminine woman which both sexes are fed and which both sexes end up believing"".",Early career and writing,The Female Eunuch (1970),Germaine Greer,Personal Life
