year,age,event,category1,category2,Name,Career/Personal Life
1964,47,"Lal Bahadur Shastri, who had succeeded Nehru as prime minister upon his death in 1964, appointed Indira Gandhi's minister of information and broadcasting in Lal Bahadur Shastri, who had succeeded Nehru as prime minister upon his death in 1964,'s government; 1964 Indira Gandhi was elected to the Rajya Sabha, the upper house of the Indian Parliament.",summary,,Indira Gandhi,Career
1967,50,"Indira Gandhi led the Indian National Congress to victory in two subsequent elections, starting with the 1967 general election, in which Indira Gandhi was first elected to the lower house of the Indian Parliament, the Lok Sabha.",summary,,Indira Gandhi,Career
1977,60,Indira Gandhi was ousted from office and even lost Indira Gandhi's seat in parliament in the 1977 general election.,summary,,Indira Gandhi,Career
1984,67,"On 31 October 1984, Indira Gandhi was assassinated by Indira Gandhi's bodyguards, both of whom were Sikh nationalists seeking retribution for the events at the Golden Temple.",summary,,Indira Gandhi,Career
1999,82,"In 1999, Indira Gandhi was named ""Woman of the Millennium"" in an online poll organized by the BBC.",summary,,Indira Gandhi,Personal Life
2020,103,"In 2020, Indira Gandhi was named by Time magazine among the 100  women who defined the past century as counterparts to Time magazine's previous choices for Man of the Year.",summary,,Indira Gandhi,Personal Life
1917,0,"Indira Gandhi was born Indira Gandhi, into a Kashmiri Pandit family on 19 November 1917 in Allahabad.",Early life and career,,Indira Gandhi,Career
1940,23,"Indira Gandhi was being treated there in 1940, when Germany rapidly conquered Europe.",Early life and career,,Indira Gandhi,Career
1971,54,"Indira Gandhi's first eleven years serving as prime minister saw Indira Gandhi's evolve from the perception of Congress party leaders as Congress party leaders's puppet, to a strong leader with the iron resolve to split Congress party over Indira Gandhi's policy positions, or to go to war with Pakistan to assist Bangladesh in the 1971 liberation war.","First, second and third term as prime minister between 1966 and 1977",,Indira Gandhi,Career
1977,60,"At the end of 1977, Indira Gandhi was such a dominating figure in Indian politics that Congress party president D. K. Barooah had coined the phrase ""India is Indira Gandhi and Indira Gandhi is India.""","First, second and third term as prime minister between 1966 and 1977",,Indira Gandhi,Career
1978,61,Indira Gandhi won a by-election in the Chikmagalur Constituency and took a seat in the Lok Sabha in November 1978  after the Janata Party's's attempts to have Kannada matinee idol Rajkumar run against Indira Gandhi's failed when Kannada matinee idol Rajkumar refused to contest the election saying Kannada matinee idol Rajkumar wanted to remain apolitical.,1977 election and opposition years,In opposition and return to power,Indira Gandhi,Career
1971,54,"Indira Gandhi was unhappy with the lack of support from India's's Arab allies during the Indo-Pakistani War of 1971, while Iran was apprehensive at the growing friendship between India's archrival Pakistan and Arab states of the Persian Gulf, especially Saudi Arabia, and the growing influence of Islam in Pakistani society.",Foreign relations,Middle East,Indira Gandhi,Career
1981,64,"On 26 September 1981, Indira Gandhi was conferred with the honorary degree of Doctor at the Laucala Graduation at the University of the South Pacific in Fiji.",Foreign relations,Asia-Pacific,Indira Gandhi,Personal Life
1969,52,Indira Gandhi began a new course by launching the Fourth Five-Year Plan in 1969.,Economic policy,Green Revolution and the Fourth Five-Year Plan,Indira Gandhi,Career
1967,50,"Indira Gandhi authorised the development of nuclear weapons in 1967, in response to Test No. 6 by the People's Republic of China.",Domestic policy,India's nuclear programme,Indira Gandhi,Career
1980,63,"Initially, Indira Gandhi's had been Indira Gandhi's chosen heir, but after Sanjay's death in a flying accident in June 1980, Indira Gandhi persuaded Indira Gandhi's to quit Rajiv's job as a pilot and enter politics in February 1981.","Family, personal life and outlook",,Indira Gandhi,Career
1917,0,"As one writer said: ""my people were Indira Gandhi's children; members of Indira Gandhi's family were the only people capable of leading my people.Indira Gandhi had been swept up in the call for Indian independence since Indira Gandhi was born in 1917.",Views on women,,Indira Gandhi,Personal Life
1956,39,"In 1956, Indira Gandhi wrote in a letter: ""It is because of her help in establishing the Congress Party's Women's Section that Indira Gandhi am taking a much more active part in politics.",Views on women,,Indira Gandhi,Career
1999,82,"In 1999, Indira Gandhi was named ""Woman of the Millennium"" in an online poll organised by the BBC.",Legacy,,Indira Gandhi,Personal Life
2012,95,"In 2012, Indira Gandhi was ranked number seven on Outlook India's poll of the Greatest Indian.",Legacy,,Indira Gandhi,Personal Life
2020,103,"In 2020, Indira Gandhi was named by Time magazine among the world's 100 powerful women who defined the last century.",Legacy,,Indira Gandhi,Personal Life
2013,96,"Pradhanmantri (lit. 'Prime Minister'), a 2013 Indian documentary television series which aired on ABP News and covers the various policies and political tenures of Indian PMs, includes the tenureship of Indira Gandhi in the episodes ""Indira Gandhi Becomes PM"", ""Split in Congress Party"", ""Story before Indo-Pakistani War of 1971"", ""Indo-Pakistani War of 1971 and Birth of Bangladesh"", ""1975–77 State of Emergency in India"", and ""Indira Gandhi back as PM and Operation Blue Star"" with Navni Parihar portraying the role of Indira Gandhi.",In popular culture,,Indira Gandhi,Career
