year,age,event,category1,category2,Name,Career/Personal Life
1925,33,"From 1925 to 1945, J.R.R.Tolkien was the Rawlinson and Bosworth Professor of Anglo-Saxon and a Fellow of Pembroke College, both at the University of Oxford. J.R.R.Tolkien then moved within the University of Oxford to become the Merton Professor of English Language and Literature and Fellow of Merton College, and held these positions from 1945 until J.R.R.Tolkien's retirement in 1959.",summary,,J.R.R.Tolkien,Personal Life
1972,80,J.R.R.Tolkien was appointed a Commander of the Order of the British Empire by Queen Elizabeth II on 28 March 1972.After J.R.R.Tolkien's death,summary,,J.R.R.Tolkien,Career
1892,0,"J.R.R.Tolkien was born on 3 January 1892 in Bloemfontein in the Orange Free State (later annexed by the British Empire; now Free State Province in the Republic of South Africa), to Arthur Reuel Tolkien (1857–1896), an English bank manager, and his wife Mabel, née Suffield (1870–1904).",Biography,Childhood,J.R.R.Tolkien,Career
1857,-35,"When J.R.R.Tolkien was three, J.R.R.Tolkien went to England with Arthur Reuel Tolkien (1857–1896), an English bank manager, and his wife Mabel, née Suffield (1870–1904) on what was intended to be a lengthy family visit.",Biography,Childhood,J.R.R.Tolkien,Career
1870,-22,"J.R.R.Tolkien liked to draw landscapes and trees, but J.R.R.Tolkien's favourite lessons were those concerning languages, and his wife Mabel, née Suffield (1870–1904) taught J.R.R.Tolkien the rudiments of Latin very early.[0",Biography,Childhood,J.R.R.Tolkien,Personal Life
1904,12,"In 1904, when J.R.R.Tolkien was 12, his wife Mabel, née Suffield (1870–1904) died of acute diabetes at Fern Cottage in Rednal, which his wife Mabel, née Suffield (1870–1904) was renting.",Biography,Childhood,J.R.R.Tolkien,Career
1916,24,"J.R.R.Tolkien left Étaples on 27 June 1916 and joined the 11th (Service) Battalion, Lancashire Fusiliers at Rubempré, near Amiens.",Biography,First World War,J.R.R.Tolkien,Career
1916,24,J.R.R.Tolkien was invalided to England on 8 November 1916.According to J.R.R.Tolkien's children John and Priscilla,Biography,First World War,J.R.R.Tolkien,Career
1941,49,"In a 1941 letter, J.R.R.Tolkien described their first child, John Francis Reuel Tolkien as ""(conceived and carried during the starvation-year of 1917 and the great U-boat campaign) round about the Battle of Cambrai, when the end of the war seemed as far off as the end of the war does now"".[T 4] J.R.R.Tolkien was promoted to the temporary rank of lieutenant on 6 January 1918.",Biography,First World War,J.R.R.Tolkien,Career
1919,27,"On 16 July 1919, J.R.R.Tolkien was taken off active service, at Fovant, on Salisbury Plain, with a temporary disability pension.",Biography,First World War,J.R.R.Tolkien,Career
1920,28,"On 3 November 1920, J.R.R.Tolkien was demobilized and left the army, retaining J.R.R.Tolkien's rank of lieutenant.",Biography,Academic and writing career,J.R.R.Tolkien,Career
1939,47,"In January 1939, J.R.R.Tolkien was asked to serve in the cryptographic department of the Foreign Office in the event of national emergency.",Biography,Academic and writing career,J.R.R.Tolkien,Career
1973,81,"When J.R.R.Tolkien died 21 months later on 2 September 1973 from a bleeding ulcer and chest infection, at the age of 81, J.R.R.Tolkien was buried in Wolvercote Cemetery, Oxford, with ""Beren"" added to J.R.R.Tolkien's name.",Biography,Final years,J.R.R.Tolkien,Career
1954,62,"The request for a sequel prompted J.R.R.Tolkien to begin what became J.R.R.Tolkien's most famous work: the epic novel The Lord of the Rings (originally published in three volumes in 1954–1955). J.R.R.Tolkien spent more than ten years writing the primary narrative and appendices for The Lord of the Rings, during which time J.R.R.Tolkien received the constant support of the Inklings, in particular J.R.R.Tolkien's closest friend C. S. Lewis, the author of The Chronicles of Narnia.",Writing,Publications,J.R.R.Tolkien,Personal Life
2002,110,"In 2002 J.R.R.Tolkien was voted the 92nd ""greatest Briton"" in a poll conducted by the BBC, and in 2004 J.R.R.Tolkien was voted 35th in the SABC3's Great South Africans, the only person to appear in both lists.",Writing,Publications,J.R.R.Tolkien,Career
1915,23,J.R.R.Tolkien specialized in English philology at university and in 1915 graduated with Old Norse as J.R.R.Tolkien's special subject.,Languages and philology,Linguistic career,J.R.R.Tolkien,Personal Life
1955,63,"Privately, J.R.R.Tolkien was attracted to ""things of racial and linguistic significance"", and in J.R.R.Tolkien's 1955 lecture English and Medieval Welsh, which is crucial to J.R.R.Tolkien's understanding of race and language, J.R.R.Tolkien entertained notions of ""inherent linguistic predilections"", which J.R.R.Tolkien termed the ""native language"" as opposed to the ""cradle-tongue"" which a person first learns to speak.",Languages and philology,Linguistic career,J.R.R.Tolkien,Personal Life
