year,age,event,category1,category2,Name,Career/Personal Life
2014,68,Janet Yellen previously served as the 15th chair of the Federal Reserve from 2014 to 2018.,summary,,Janet Yellen,Personal Life
1971,25,"Janet Yellen taught as an assistant professor at Harvard University from 1971 to 1976, was a staff economist for the Federal Reserve Board from 1977 to 1978, and was a faculty member at the London School of Economics from 1978 to 1980.",summary,,Janet Yellen,Career
2020,74,"On November 30, 2020, then-President-elect Joe Biden nominated Janet Yellen to serve as the 78th United States secretary of the treasury; Janet Yellen was confirmed by the U.S. Senate on January 25, 2021, and took office the next day.",summary,,Janet Yellen,Personal Life
1946,0,"Janet Yellen was born on August 13, 1946, to a family of Polish Jewish ancestry in the Bay Ridge, Brooklyn, neighborhood of New York City, and grew up there.",Early life and education,,Janet Yellen,Career
1967,21,"Janet Yellen graduated summa cum laude and Phi Beta Kappa with a bachelor's in economics from Brown University in 1967, and earned Janet Yellen's master's and PhD in economics from Yale University in 1971.",Early life and education,,Janet Yellen,Career
1977,31,"In 1977, Janet Yellen took a job within the Federal Reserve's Board of Governors after failing to win tenure at Harvard University, where she taught from 1971 to 1976; Janet Yellen was recruited as a staff economist for the Federal Reserve's Board of Governors by Edwin M. Truman, who had known her from Yale.",Academic career,,Janet Yellen,Career
1985,39,"Janet Yellen earned the Haas School of Business's outstanding teaching award twice, in 1985 and 1988.",Academic career,,Janet Yellen,Career
1982,36,"Janet Yellen became just the second woman at the Haas School of Business to earn tenure in 1982, as well as the title of full professor in 1985.",Academic career,,Janet Yellen,Career
1992,46,"Janet Yellen was named the Bernard T. Rocca, Jr. Professor of International Business and Trade in 1992.From 1994 to 1999, Janet Yellen took a leave of absence from the Haas School of Business to go into public service.",Academic career,,Janet Yellen,Career
1999,53,Janet Yellen was appointed the Eugene E. and Catherine M. Trefethen Professor of Business Administration and Professor of Economics in 1999 and remained an active faculty member until Janet Yellen was appointed president and chief executive officer of the Federal Reserve Bank of San Francisco in 2004.,Academic career,,Janet Yellen,Career
2006,60,"Janet Yellen was awarded the title of Professor Emeritus at the Haas School of Business in 2006.Throughout Janet Yellen's career, Janet Yellen served as an adviser to the Congressional Budget Office (CBO), the Brookings Panel on Economic Activity, and the National Science Foundation's Panel in Economics.",Academic career,,Janet Yellen,Career
1999,53,Janet Yellen was also a research associate at the National Bureau of Economic Research from 1999 to 2010.,Academic career,,Janet Yellen,Career
