year,age,event,category1,category2,Name,Career/Personal Life
1986,22,Jeff Bezos worked on Wall Street in a variety of related fields from 1986 to early 1994.,summary,,Jeff Bezos,Career
2013,49,"Jeff Bezos also purchased the major American newspaper The Washington Post in 2013 for $250 million and manages many other investments through Jeff Bezos's venture capital firm, Bezos Expeditions.",summary,,Jeff Bezos,Career
1999,35,"The first centibillionaire on the Forbes Real Time Billionaires Index and the second ever to have eclipsed the feat since Bill Gates in 1999, Jeff Bezos was named the ""richest man in modern history"" after a net worth of US$162 billion increased to $150 billion in July 2018.",summary,,Jeff Bezos,Personal Life
1964,0,"Jeff Bezos was born ""Jeffrey Preston Jorgensen"" on January 12, 1964, in Albuquerque, New Mexico, as the son of Jacklyn (née Gise) and Ted Jorgensen.",Early life and education,,Jeff Bezos,Career
1965,1,"Jacklyn (née Gise) left Jacklyn (née Gise)'s to live with Jacklyn (née Gise) and Ted Jorgensen, filing for divorce in June 1965 when Jeff Bezos was seventeen months old.",Early life and education,,Jeff Bezos,Career
1982,18,"Jeff Bezos was high school valedictorian, a National Merit Scholar, and a Silver Knight Award winner in 1982.",Early life and education,,Jeff Bezos,Career
1986,22,"After Jeff Bezos graduated from college in 1986, Jeff Bezos was offered jobs at Intel, Bell Labs, and Andersen Consulting, among others.",Business career,Early career,Jeff Bezos,Career
2016,52,"In May 2016, Jeff Bezos sold slightly more than one million shares of his holdings in the company for $671 million, the largest sum Jeff Bezos had ever raised from selling some of Jeff Bezos's an online bookstore stock.",Business career,Amazon,Jeff Bezos,Career
2018,54,"On January 29, 2018, Jeff Bezos was featured in an online bookstore's Super Bowl commercial.",Business career,Amazon,Jeff Bezos,Career
2017,53,"On July 27, 2017, Jeff Bezos momentarily became the world's's wealthiest person over Microsoft co-founder Bill Gates when Jeff Bezos's estimated net worth increased to just over $90 billion.",Business career,Amazon,Jeff Bezos,Personal Life
2016,52,"Since 2016, Jeff Bezos has spoken more freely about his hopes to colonize the solar system, and has been selling US$1 billion in Amazon stock each year to capitalize Blue Origin, a human spaceflight startup in an effort to support his hopes to colonize the solar system.",Business career,Blue Origin,Jeff Bezos,Career
2013,49,"On August 5, 2013, Jeff Bezos announced his purchase of The Washington Post for $250 million in cash, at the suggestion of Jeff Bezos's friend, Don Graham.",Business career,The Washington Post,Jeff Bezos,Career
2017,53,"Since 2017, Jeff Bezos has been portrayed by Kyle Mooney and Steve Carell on Saturday Night Live, usually as an undercutting, domineering figure.[better source",Public image,,Jeff Bezos,Career
2015,51,"Jeff Bezos has been known to publicly contest claims made in critical articles, as exemplified in 2015 when Jeff Bezos sent a memo to employees denouncing a The New York Times piece.",Public image,,Jeff Bezos,Career
1998,34,"Since 1998, Jeff Bezos has published an annual letter for Amazon shareholders wherein Jeff Bezos frequently refers to five principles: focus on customers, not competitors; take risks for market leadership; facilitate staff morale; build a company culture; and empower people.",Public image,Leadership style,Jeff Bezos,Career
1999,35,"Jeff Bezos was first included on the Forbes World's Billionaires list in 1999 with a registered net worth of $10.1 billion, which placed Jeff Bezos on the 19th position in the world and 10th in the USA.",Wealth,,Jeff Bezos,Personal Life
2018,54,"On March 6, 2018, Jeff Bezos was designated the wealthiest person in the world, with a registered net worth of $112 billion.",Wealth,,Jeff Bezos,Personal Life
2017,53,"Jeff Bezos is considered the first registered centi-billionaire (not adjusted for inflation).His wealth, in 2017–18 terms, equaled that of 2.7 million Americans.",Wealth,,Jeff Bezos,Personal Life
1997,33,"The Motley Fool estimated that if Jeff Bezos had not sold any of Jeff Bezos's shares from Amazon's's original public offering in 1997, His net worth would sit at $181 billion in 2018.",Wealth,,Jeff Bezos,Personal Life
2018,54,"On July 17, 2018, Jeff Bezos was designated the ""wealthiest person in modern history"" by the Bloomberg Billionaires Index, Fortune, MarketWatch, The Wall Street Journal, and Forbes.",Wealth,,Jeff Bezos,Personal Life
2022,58,"Jeff Bezos further expanded Jeff Bezos's residential holdings in February 2022, purchasing a $16.13-million-dollar apartment at a 24-story boutique condominium, located across from Madison Square Park in Manhattan in the Flatiron neighbourhood, where Jeff Bezos already owns all the units on the top floors.[0",Wealth,,Jeff Bezos,Career
2011,47,"In Jeff Bezos's initial discussion of Alexa Alexa with his technical advisor Greg Hart in 2011, Jeff Bezos told his technical advisor Greg Hart that the goal was to create ""the Star Trek computer.""",Personal life,,Jeff Bezos,Career
2010,46,"Jeff Bezos donated $100,000 towards a movement against a Washington state income tax in 2010 for ""top earners"".",Politics,,Jeff Bezos,Career
2016,52,"After the 2016 presidential election, Jeff Bezos was invited to join Donald Trump's's Defense Innovation Advisory Board, an advisory council to improve the technology used by the Defense Department.",Politics,,Jeff Bezos,Career
2018,54,"In March 2018, Jeff Bezos met in Seattle with Mohammad bin Salman, the crown prince and de facto ruler of Saudi Arabia, to discuss investment opportunities for Saudi Vision 2030.",Politics,Saudi hacking claim,Jeff Bezos,Career
2017,53,"On June 15, 2017, Jeff Bezos posted a message on Twitter asking for ideas for philanthropy: ""Jeff Bezos'm thinking about a philanthropy strategy that is the opposite of how Jeff Bezos mostly spend Jeff Bezos's time—working on the long term"".",Philanthropy,,Jeff Bezos,Career
