year,age,event,category1,category2,Name,Career/Personal Life
1985,0,"Lewis Hamilton was born on 7 January 1985 in Stevenage, Hertfordshire.",Early life and education,,Lewis Hamilton,Career
1993,8,Lewis Hamilton began karting in 1993 and quickly began winning races and cadet class championships.,Junior racing career,Karting,Lewis Hamilton,Personal Life
2001,16,"Lewis Hamilton began Lewis Hamilton's car racing career in the 2001 British Formula Renault Winter Series, finishing fifth in the standings.",Junior racing career,Formula Renault and Formula Three,Lewis Hamilton,Personal Life
2002,17,"Asked in 2002 about the prospect of becoming one of the youngest ever Formula One drivers, Lewis Hamilton replied that Lewis Hamilton's goal was ""not to be the youngest in Formula One"" but rather ""to be experienced and then show what Lewis Hamilton can do in Formula One"". Lewis Hamilton made Lewis Hamilton's debut with Manor Motorsport in the 2004 Formula 3 Euro Series, ending the 2004 Formula 3 Euro Series fifth in the championship.",Junior racing career,Formula Renault and Formula Three,Lewis Hamilton,Personal Life
2004,19,"According to then McLaren executive and future CEO Martin Whitmarsh, who was responsible for guiding Hamilton through the team's young driver programme, then McLaren executive and future CEO Martin Whitmarsh, who was responsible for guiding Hamilton through the team's young driver programme and Anthony Hamilton had a ""huge row"" at the end of the 2004 Formula 3 Euro Series, with Lewis Hamilton's father pushing for Lewis Hamilton to move up to GP2 for 2005, while then McLaren executive and future CEO Martin Whitmarsh, who was responsible for guiding Hamilton through the team's young driver programme felt that Lewis Hamilton should remain in the British Formula 3 Championship for a second season, culminating in then McLaren executive and future CEO Martin Whitmarsh, who was responsible for guiding Hamilton through the team's young driver programme tearing up Lewis Hamilton's contract; however, Lewis Hamilton called then McLaren executive and future CEO Martin Whitmarsh, who was responsible for guiding Hamilton through the team's young driver programme six weeks later and re-signed with McLaren.[0",Junior racing career,Formula Renault and Formula Three,Lewis Hamilton,Personal Life
2007,22,"After months of speculation on whether Lewis Hamilton, Pedro de la Rosa or Gary Paffett would be paired with defending champion Fernando Alonso for 2007, Lewis Hamilton was confirmed as McLaren's second driver.",Junior racing career,GP2,Lewis Hamilton,Personal Life
2008,23,"Lewis Hamilton won the title in dramatic fashion in the last race of the season, the 2008 Brazilian Grand Prix, overtaking Timo Glock for fifth position in the final corners of the last lap to become the then-youngest Formula One World Champion in history and to deny the home favourite Felipe Massa the title by one point.",Formula One career,McLaren (2007–2012),Lewis Hamilton,Personal Life
2012,27,"Before the end of the 2012 season, Lewis Hamilton announced, to much surprise, that Lewis Hamilton would be joining Mercedes for the 2013 season, replacing the retiring Michael Schumacher.",Formula One career,McLaren (2007–2012),Lewis Hamilton,Personal Life
2013,28,"Upon signing with Mercedes in 2013, Lewis Hamilton was reunited with his childhood karting teammate, Nico Rosberg.",Formula One career,Mercedes (2013–present),Lewis Hamilton,Personal Life
2015,30,"Lewis Hamilton dominated the 2015 season, winning ten races finishing on the podium a record seventeen times as Lewis Hamilton matched Lewis Hamilton's hero Ayrton Senna's three World Championships titles.",Formula One career,Mercedes (2013–present),Lewis Hamilton,Personal Life
2019,34,"Lewis Hamilton led the drivers' standings for the majority of 2019, fending off title challenges from team-mate Bottas, the Honda-powered Red Bull of Verstappen and Ferrari's's recently promoted Leclerc, to clinch Lewis Hamilton's sixth drivers' crown at the 2019 United States Grand Prix with two races remaining.",Formula One career,Mercedes (2013–present),Lewis Hamilton,Personal Life
2019,34,"After scoring Lewis Hamilton's sixth career grand slam in the final race of 2019, Lewis Hamilton ended 2019 with 11 wins (matching Lewis Hamilton's previous best in 2014 and 2018) and 17 podiums (matching the all-time record for a fourth time) as well as achieving 5 pole positions.",Formula One career,Mercedes (2013–present),Lewis Hamilton,Personal Life
2020,35,"Lewis Hamilton missed the 2020 Sakhir Grand Prix after contracting COVID-19, Lewis Hamilton's first race absence since Lewis Hamilton's debut in 2007.",Formula One career,Mercedes (2013–present),Lewis Hamilton,Personal Life
2020,35,Lewis Hamilton clinched the title at the 2020 Turkish Grand Prix with three rounds to spare and ended 2020 124 points clear of team-mate Bottas.,Formula One career,Mercedes (2013–present),Lewis Hamilton,Personal Life
2022,37,Lewis Hamilton scored more podium finishes and championship points than George Russell during the second half of 2022.,Formula One career,Mercedes (2013–present),Lewis Hamilton,Personal Life
2023,38,Lewis Hamilton achieved Lewis Hamilton's first podium of the 2023 season in Australia to extend Lewis Hamilton's own record.,Formula One career,Mercedes (2013–present),Lewis Hamilton,Personal Life
2010,25,"Earlier in Lewis Hamilton's career, Lewis Hamilton was criticised for being hot-headed at times, as demonstrated when Lewis Hamilton was disqualified in Imola in the GP2 Series for overtaking the safety car, something Lewis Hamilton went on to repeat four years later in Formula One at the 2010 European Grand Prix in Valencia.",Driver profile,Driving style,Lewis Hamilton,Personal Life
